descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"FARINHA DE TRIGO 25 KG - NA CENTRA",1298203,33,56250,ATIVO,kg,104625,1.86
"BICARBONATO DE SÓDIO - NA CENTRAL",1298205,5,18,ATIVO,kg,241.2,13.4
"BISCOITO MARIA - SEM LEITE - NA CENTRAL",1298206,11,8421,ATIVO,kg,53389.14,6.34
"ACHOCOLATADO EM PÓ - ZERO AÇÚCAR E ZERO LACTOSE - NA CENTRAL",1300279,59,17,ATIVO,UNIDADE,252.45,14.85
"BISCOITO ROSQUINHA DE POLVILHO TRADICIONAL - NA CENTRAL",1300281,63,150,ATIVO,kg,9585,63.9
"UNTA FORMAS - NA CENTRAL",1302345,71,159,ATIVO,UNIDADE,9373.05,58.95
"BISCOITO SALGADO TIPO ÁGUA E SAL - SEM LEITE - NA CENTRAL",1304422,12,3102,ATIVO,kg,19976.88,6.44
"BISCOITO TIPO COOKIES DIET - SABORES DIVERSOS - NA CENTRAL",1304423,61,153,ATIVO,kg,6617.25,43.25
"FARINHA DE TRIGO INTEGRAL - NA CENTRAL",1306442,34,988,ATIVO,kg,2756.52,2.79
"REFORÇADOR DE MASSA - NA CENTRAL",1308434,49,756,ATIVO,kg,7862.4,10.4
"BISCOITO DE NATA - SEM LEITE - NA CENTRAL",1308436,8,9185,ATIVO,kg,66132,7.2
"BISCOITO DE COCO - SEM LEITE - NA CENTRAL",1308437,9,7688,ATIVO,kg,55353.6,7.2
"PÃO SEM GLÚTEN, SEM LACTOSE E SEM AÇÚCAR - NA CENTRAL",1308440,69,103,ATIVO,kg,2008.5,19.5
"FARINHA DE TRIGO 25 KG - NA CENTRA",1310453,32,18750,ATIVO,kg,34875,1.86
"MACARRÃO TIPO CABELINHO DE ANJO - NA CENTRAL",1310455,42,21,ATIVO,kg,107.1,5.1
"BISCOITO MAISENA DE CHOCOLATE - SEM LEITE - NA CENTRAL",1310458,6,2333,ATIVO,kg,16517.64,7.08
"BISCOITO BROA DE POLVILHO - SABORES DIVERSOS (AMENDOIM, COCO",1310459,62,151,ATIVO,kg,2853.9,18.9
"BISCOITO SALGADO TIPO ÁGUA E SAL - SEM LEITE - NA CENTRAL",1312474,13,9307,ATIVO,kg,59937.08,6.44
"BISCOITO SALGADO INTEGRAL - SEM LEITE - NA CENTRAL",1312475,14,2447,ATIVO,kg,20187.75,8.25
"CANELA EM PÓ - NA CENTRAL",1312479,21,35,ATIVO,kg,2614.5,74.7
"PIMENTA DO REINO - NA CENTRAL",1314621,48,18,ATIVO,kg,1418.94,78.83
"FARINHA DE CEREAIS - Mix de cereais - NA CENTRAL",1314625,29,840,ATIVO,kg,15792,18.8
"BISCOITO MAISENA DE CHOCOLATE - SEM LEITE - NA CENTRAL",1318707,7,6999,ATIVO,kg,49552.92,7.08
"BISCOITO MARIA - SEM LEITE - NA CENTRAL",1318708,10,2806,ATIVO,kg,17790.04,6.34
"MACARRÃO DE ARROZ  SEM GLÚTEN E SEM OVOS - NA CENTRAL",1318710,68,48,ATIVO,kg,249.6,5.2
"LEITE INTEGRAL ZERO LACTOSE EM PÓ - NA CENTRAL",1326076,66,622,ATIVO,kg,21210.2,34.1
"LEITE INTEGRAL ZERO LACTOSE EM PÓ - NA CENTRAL",1341693,67,1868,ATIVO,kg,63698.8,34.1
