descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"CODEINA + PARACETAMOL 30MG+500MG CPR",1263165,197,30000,ATIVO,COMPRIMIDO,8058,0.2686
"TANSULOSINA 0,4MG CPR",1263168,664,25220,ATIVO,COMPRIMIDO,23202.4,0.92
"LATANOPROST 0,05MG SOL OFTALMICA 2,5ML",1263169,649,100,ATIVO,FRASCO,1287,12.87
"GABAPENTINA 300MG CP",1263170,637,7920,ATIVO,COMPRIMIDO,3397.68,0.429
"DIOSMINA + HESPERIDINA 450MG+50MG CPR",1263171,627,7000,ATIVO,COMPRIMIDO,2205,0.315
"TRAVOPROSTA 0,04% SOL OFT 2,5ML",1263172,580,100,ATIVO,FRASCO,1287,12.87
"TOPIRAMATO 50MG",1263173,574,17680,ATIVO,COMPRIMIDO,2811.12,0.159
"TERBUTALINA 0,5MG/ML INJ",1263174,558,1615,ATIVO,AMPOLA,2713.2,1.68
"PAROXETINA 20MG CPR",1263175,480,66600,ATIVO,COMPRIMIDO,13986,0.21
"OMEPRAZOL 20 MG (Embalagem em blister com no mínimo 7 cápsul",1263176,466,3808000,ATIVO,CAPSULAS,207536,0.0545
"NORADRENALINA 1MG/ML INJ 4ML",1263178,453,1000,ATIVO,AMPOLA,1985,1.985
"NIMESULIDA 100MG",1263179,444,582900,ATIVO,COMPRIMIDO,30310.8,0.052
"MONTELUCASTE 10MG CPR",1263180,435,2000,ATIVO,COMPRIMIDO,880,0.44
"MIDAZOLAN 15MG/3ML SOLUÇÃO INJ.",1263181,430,1000,ATIVO,AMPOLA,1559.9,1.5599
"METOCLOPRAMIDA GOTAS  4 MG/ML FR 10ML",1263182,417,7600,ATIVO,FRASCO,4636,0.61
"METIL PREDNISOLONA 125MG INJETAVEL",1263183,412,1000,ATIVO,AMPOLA,7550,7.55
"LATANOPROSTA + TIMOLOL 50MCG + 5MG SOL OFT.  2,5ML (GELAD.)",1263184,356,100,ATIVO,FRASCO,1300,13
"LACTULOSE 667MG  XPE 120ML",1263185,352,1000,ATIVO,FRASCO,5340,5.34
"ISOSSORBIDA, MONONITRATO 20MG CPR",1263186,347,539600,ATIVO,COMPRIMIDO,43114.04,0.0799
"IBUPROFENO 300 MG CPR",1263187,331,39960,ATIVO,COMPRIMIDO,4995,0.125
"HIDROCLOROTIAZIDA 50MG",1263188,321,100000,ATIVO,COMPRIMIDO,3800,0.038
"NIMESULIDA 50MG/ML 15ML",1263189,445,500,ATIVO,FRASCO,784.5,1.569
"GLIMEPIRIDA 2MG CPR",1263190,309,128360,ATIVO,COMPRIMIDO,9370.28,0.073
"FUROSEMIDA 20 MG SOL INJ. 2 ML",1263217,290,1000,ATIVO,AMPOLA,390,0.39
"FINASTERIDA 5MG CPR",1263218,279,115040,ATIVO,COMPRIMIDO,29795.36,0.259
"FUROSEMIDA 10MG SOL INJ. 2ML",1263242,289,2680,ATIVO,AMPOLA,1045.2,0.39
"FENTANILA, CITRATO DE. 0,05MG/ML 10ML INJ. - EV",1263245,278,500,ATIVO,AMPOLA,1950,3.9
"ETILEFRINA 10MG/ML INJ 1ML",1263246,267,150,ATIVO,AMPOLA,165,1.1
"ESTRIOL 1MG/G CREME VAGINAL 50GR",1263247,264,110,ATIVO,TUB,1415.7,12.87
"ENALAPRIL 5 MG",1263248,248,656800,ATIVO,COMPRIMIDO,32840,0.05
"DOXAZOSINA 4MG CPR",1263249,243,75360,ATIVO,COMPRIMIDO,21477.6,0.285
"DIVALPROATO SÓDICO 250MG CPR (ReferÊncia DEPAKOTE)",1263250,239,3940,ATIVO,COMPRIMIDO,1970,0.5
"DIMENIDRATO + PIRIDOXINA 25+5 MG / ML- GOTAS",1263251,231,1000,ATIVO,FRASCO,2390,2.39
"DIAZEPAM 5 MG  (blister CONTENDO 10 OU 15 comprimidos)",1263252,217,10000,ATIVO,COMPRIMIDO,560,0.056
"DIAZEPAM 10 MG  (blister CONTENDO 10 OU 15 comprimidos)",1263253,215,1150000,ATIVO,COMPRIMIDO,72450,0.063
"DEXCLORFENIRAMINA 2MG",1263254,211,82000,ATIVO,COMPRIMIDO,5412,0.066
"CITALOPRAM 20MG CPR",1263257,157,55000,ATIVO,COMPRIMIDO,7370,0.134
"CIPROFIBRATO 100MG CPR",1263258,154,20000,ATIVO,COMPRIMIDO,4680,0.234
"BROMOPRIDA 5MG/ML AMPOLA 2ML",1263259,113,200,ATIVO,AMPOLA,348,1.74
"BROMIDRATO DE FENOTEROL 0,5% 20ML",1263260,112,4210,ATIVO,FRASCO,11745.9,2.79
"BRIMONIDINA 0,20% 5ML SOL OFTALMICA",1263261,100,60,ATIVO,FRASCO,317.4,5.29
"BIMATOPROSTA 0,03% SOL. OFTALMICA 3ML",1263262,91,80,ATIVO,FRASCO,1200,15
"BENZILPENICILINA (PROCAÍNA 300.000 UI + POTÁSSIA 100.000 UI",1263263,83,3100,ATIVO,FRASCO,12245,3.95
"AMIODARONA 200 MG",1263264,55,86000,ATIVO,COMPRIMIDO,25370,0.295
"ACIDO ASCÓRBICO 100MG/ML INJ 5ML",1263265,20,5450,ATIVO,AMPOLA,3150.1,0.578
"ACEBROFILINA 50MG/5ML",1263266,14,5000,ATIVO,FRASCO,20000,4
"CLORETO DE POTÁSSIO 19,1% SOL  INJ.",1263267,170,1000,ATIVO,AMP,220,0.22
"PANTOPRAZOL 40MG CPR ZIPROL",1328326,475,1568,ATIVO,COMPRIMIDO,360.64,0.23
