descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Escova Robinson Cônica CA",1264254,127,400,ATIVO,UNIDADE,512,1.28
"RESINA NATURAL FLOW REP COR A2: SERINGA",1264255,328,100,ATIVO,UNIDADE,2766,27.66
"Pote dapen de vidro",1264256,314,12,ATIVO,UNIDADE,31.92,2.66
"Ponta diamantada p/ alta rotação esférica nº 1011L",1264257,289,300,ATIVO,UNIDADE,516,1.72
"Ponta diamantada p/ alta rotação esférica nº 1013L",1264258,290,300,ATIVO,UNIDADE,516,1.72
"Ponta diamantada p/ alta rotação esférica nº 1014",1264259,291,800,ATIVO,UNIDADE,1376,1.72
"Ponta diamantada p/ alta rotação esférica nº 1015L",1264260,292,200,ATIVO,UNIDADE,344,1.72
"Ponta diamantada p/ alta rotação esférica nº 1016L",1264261,293,200,ATIVO,UNIDADE,344,1.72
"Ponta diamantada p/ AR n 1031",1264262,297,500,ATIVO,UNIDADE,860,1.72
"PONTAS ABRASIVAS SILICONADAS C/7UN (KIT 2 DISCO, 2 TAÇAS E 3",1264263,304,60,ATIVO,kit,4140,69
"Porta agulha Mayo Hegar 14cm com videa",1264264,306,20,ATIVO,UNIDADE,2866.2,143.31
"Pote Dapen de plástico",1264265,313,50,ATIVO,UNIDADE,109.5,2.19
"Localizador apical eletrônico",1264266,317,2,ATIVO,UNIDADE,2930,1465
"Ionômero de vidro para RESTAURAÇÃO Pó frasco com 10gr",1264267,361,200,ATIVO,UNIDADE,7966,39.83
"Revelador de RX",1264268,330,300,ATIVO,UNIDADE,3150,10.5
"Seringa Luer Lock 5mL",1264269,334,500,ATIVO,UNIDADE,80,0.16
"Sistema de Acabamento de Compósitos. Três formatos",1264270,337,50,ATIVO,CAIXA,3450,69
"SORO FISIOLOGICO",1264271,342,500,ATIVO,UNIDADE,1365,2.73
"SUGADOR CIRÚRGICO DESCARTÁVEL",1264272,344,200,ATIVO,CAIXA,3660,18.3
"Suspensão otológica",1264273,347,60,ATIVO,UNIDADE,678.6,11.31
"Teste biológico para autoclave",1264274,351,150,ATIVO,CAIXA,4389,29.26
"Tiras de lixas de aço 4mm-pct com 12 un",1264275,354,100,ATIVO,CAIXA,618,6.18
"Tiras de lixas de aço 6 mm",1264276,355,60,ATIVO,CAIXA,400.8,6.68
"Ponta diamantada numero 4138 F",1264277,288,1000,ATIVO,UNIDADE,1720,1.72
"REMOVEDOR DE MANCHAS",1264278,319,12,ATIVO,UNIDADE,209.52,17.46
"Ponta diamantada dourada acab. de resina n 4138 ff",1264279,282,600,ATIVO,UNIDADE,1032,1.72
"Ponta diamantada dourada acab. de resina n 3168 f",1264281,279,1000,ATIVO,UNIDADE,1720,1.72
"Broca carbide para alta rotação FG N1/4",1264282,46,450,ATIVO,UNIDADE,1795.5,3.99
"Broca carbide para alta rotação FG N1/2",1264283,45,450,ATIVO,UNIDADE,1795.5,3.99
"Broca carbide para alta rotação FG N 8",1264284,44,450,ATIVO,UNIDADE,1795.5,3.99
"Broca carbide para alta rotação FG N 6",1264285,43,450,ATIVO,UNIDADE,1795.5,3.99
"Broca carbide para alta rotação FG N 4",1264286,42,450,ATIVO,UNIDADE,1795.5,3.99
"broca carbide para alta rotação FG N 2",1264287,41,450,ATIVO,UNIDADE,1795.5,3.99
"Broca carbide para alta rotação FG N 1",1264288,40,450,ATIVO,UNIDADE,1795.5,3.99
"Bicarbonato de Sódio, embalagem com 15 saches, 40g cada",1264289,34,600,ATIVO,CAIXA,15414,25.69
"Anestésico tópico benzocaina",1264290,29,500,ATIVO,POTE,3125,6.25
"Anestésico Lidocaína 3%",1264291,28,50,ATIVO,CAIXA,2662,53.24
"Anestesico injetável local: cloridrato de articaina 4% com v",1264292,27,50,ATIVO,CAIXA,6384,127.68
"Anestésico injetável lidocaína 2% com epinefrina. 1:100.000",1264293,26,50,ATIVO,CAIXA,3591,71.82
"Anestesico injetavel cloridrato lidocaina e felilefrina 2%(1",1264294,25,50,ATIVO,CAIXA,2211,44.22
"Anestesico injetavel cloridrato de mepivacaina HCI 2%  epine",1264295,24,50,ATIVO,CAIXA,5386.5,107.73
"Anestesico injetavel cloridrato de mepivacaina 3% sem  vaso",1264296,23,50,ATIVO,CAIXA,5386.5,107.73
"Anestésico 1:100.000",1264297,22,20,ATIVO,CAIXA,1436,71.8
"AMÁLGAMA (PARA UMA PORÇÃO)",1264298,21,1500,ATIVO,UNIDADE,1725,1.15
"ALGINATO TIPO II DE LONGA VIDA COMPATÍVEL COM GESSO NATURAL",1264299,17,150,ATIVO,UNIDADE,6684,44.56
"AGULHA ENDO-EZE TIPS",1264300,11,130,ATIVO,EMBALAGEM,3627,27.9
"Água oxigenada 10 volumes",1264301,10,60,ATIVO,FRASCO,351,5.85
"Afastador odontológico labial",1264302,8,200,ATIVO,UNIDADE,1480,7.4
"Afastador labial abritec INFANTIL",1264303,7,200,ATIVO,UNIDADE,796,3.98
"Afastador labial abritec ADULTO",1264304,6,200,ATIVO,UNIDADE,796,3.98
"Broca de tungstênio maxicut em forma tronco-conica com  regi",1264309,49,120,ATIVO,UNIDADE,5682,47.35
"Broca esférica carbide para baixa N 2",1264311,51,2520,ATIVO,UNIDADE,13406.4,5.32
"Broca esférica carbide para baixa N 6",1264312,53,2520,ATIVO,UNIDADE,13406.4,5.32
"Ponta diamantada dourada acab. de resina n 3195 ff",1264313,281,600,ATIVO,UNIDADE,1032,1.72
"Gluconato de Clorexidina a 0,12%,sem álcool",1264314,176,200,ATIVO,FRASCO,2654,13.27
FOTOPOLIMERIZADOR,1264315,170,4,ATIVO,UNIDADE,2356.24,589.06
"Fórceps número 151   inox. Autoclavável.",1264316,168,6,ATIVO,UNIDADE,335.4,55.9
"Fita Banda matriz metalica tipo toflemeir 0,5x7x500mm",1264317,163,250,ATIVO,UNIDADE,315,1.26
"Fita adesiva para indicação visual de materiais esterilizado",1264318,161,200,ATIVO,UNIDADE,520,2.6
"Filme radiográfico - filme infantil IP-21 Insight c/ 150 uni",1264319,149,12,ATIVO,CAIXA,2019,168.25
"Filme Infantil- Periapical de diagnostico para RX odontológi",1264320,147,100,ATIVO,CAIXA,15500,155
"ficha clinica para encadernar rx  com 1 furo",1264321,143,200,ATIVO,PACOTE,1660,8.3
"Extirpa nervo",1264322,141,50,ATIVO,PACOTE,1025,20.5
"Evidenciador  de placa bacteriana",1264323,140,60,ATIVO,FRASCO,471,7.85
Eugenol.,1264324,139,20,ATIVO,FRASCO,200,10
"Eucaliptol - Frasco 10 ml",1264325,138,20,ATIVO,FRASCO,142,7.1
"Espelhos de Mão.",1264326,136,12,ATIVO,UNIDADE,199.32,16.61
"Espaçador digital cônico-A-D-21mm",1264327,131,12,ATIVO,kit,1005.48,83.79
"Espaçador digital cônico-A-D- 25mm",1264328,130,12,ATIVO,kit,1005.48,83.79
"Esculpidor millennium",1264329,129,120,ATIVO,UNIDADE,4053.6,33.78
"Escova Robinson Reta - ANVISA",1264330,128,400,ATIVO,UNIDADE,504,1.26
"Cursor Stop",1264331,100,100,ATIVO,CAIXA,1620,16.2
"CURATIVO PARA ALVEOLO",1264332,90,60,ATIVO,UNIDADE,1020,17
"Compressa de gaze",1264333,79,1000,ATIVO,PACOTE,22200,22.2
"CAIXAS PERFURADAS DE INOX (20X10X5)",1264334,71,10,ATIVO,UNIDADE,565.3,56.53
"Caixa para coleta de resíduos hospitalares (perfurocortantes",1264335,70,800,ATIVO,UNIDADE,1920,2.4
"BROCA ZEKRYA- 28mm",1264336,67,150,ATIVO,UNIDADE,2895,19.3
"Broca esférica carbide para baixa rotação N 1/4",1264337,57,450,ATIVO,UNIDADE,2394,5.32
"Broca esférica carbide para baixa rotação N 1",1264338,55,660,ATIVO,UNIDADE,3511.2,5.32
"Broca esférica carbide para baixa N 8",1264339,54,2520,ATIVO,UNIDADE,13406.4,5.32
"Broca esférica carbide para baixa N 4",1264340,52,2520,ATIVO,UNIDADE,13406.4,5.32
"Broca esférica carbide para baixa rotação N 1/2",1264342,56,450,ATIVO,UNIDADE,2394,5.32
"Godiva em bastao embalagem 5 unidades",1264349,177,12,ATIVO,CAIXA,118.92,9.91
"HIDRÓXIDO DE CÁLCIO P.A",1264350,190,60,ATIVO,UNIDADE,216,3.6
"Kit de Cimento de Ionômero de Vidro pó e líquido",1264351,195,350,ATIVO,CAIXA,5019,14.34
"Kit para polimento de resina",1264352,200,50,ATIVO,kit,2185,43.7
"Lâmina descartável para bisturi n.º 12",1264353,201,12,ATIVO,CAIXA,264,22
"Lâmina descartável para bisturi n.º 15",1264354,202,30,ATIVO,CAIXA,660,22
"Luva cirúrgica estéril, nº 7 ,0",1264355,233,800,ATIVO,CAIXA,792,0.99
"Luva cirúrgica estéril, nº 7,5",1264356,234,1000,ATIVO,CAIXA,990,0.99
"LUVA LÁTEX PARA PROCEDIMENTO DESCARTAVEL TALCADA-Tam (M)",1264357,236,1000,ATIVO,CAIXA,18660,18.66
"Luva de procedimento EXP",1264358,239,600,ATIVO,CAIXA,10290,17.15
"Moldeiras numero 6",1264359,254,120,ATIVO,UNIDADE,612,5.1
"Moldeiras numero 7",1264360,255,120,ATIVO,UNIDADE,612,5.1
"Moldeiras numero 8",1264361,256,120,ATIVO,UNIDADE,612,5.1
"OLEO LUBRIFICANTE",1264362,259,120,ATIVO,UNIDADE,2146.8,17.89
"Óxido de Zinco puro 50gr",1264363,260,20,ATIVO,UNIDADE,69.2,3.46
"Papel para articulação carbonado dupla face",1264364,263,200,ATIVO,PACOTE,772,3.86
"pasta calen",1264365,264,50,ATIVO,PACOTE,2045,40.9
"PASTA PROFILATICA",1264366,266,200,ATIVO,UNIDADE,1250,6.25
"Pavio para reposição de lamparina",1264367,268,30,ATIVO,CAIXA,166.5,5.55
"Placa de vidro para manipulacao  15x7,5x1 unidade",1264368,272,30,ATIVO,UNIDADE,291.3,9.71
"Ponta diamantada dourada acab. de resina n 3118 f",1264370,277,1000,ATIVO,UNIDADE,1720,1.72
"LUVA LÁTEX PARA PROCEDIMENTO DESCARTAVEL TALCADA-Tam (G)",1264373,235,1000,ATIVO,CAIXA,18660,18.66
