descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"ACICLOVIR 200 MG",1328414,1,15000,ATIVO,COMPRIMIDO,2848.5,0.1899
"ACIDO FOLICO 5MG",1328431,5,400000,ATIVO,COMPRIMIDO,13160,0.0329
"Adenosina 3mg/mL solução injetável 2ml",1328446,9,1000,ATIVO,AMP,8420,8.42
"AMINOFILINA 100MG",1328447,17,5000,ATIVO,COMPRIMIDO,350,0.07
"Amiodarona, cloridrato 50mg/mL 3ml",1328448,20,1000,ATIVO,AMP,1800,1.8
"VERAPAMIL 80MG",1328477,240,480000,ATIVO,COMPRIMIDO,33600,0.07
"Benzilpenicilina Benzatina 600.000 UI.",1328478,37,1000,ATIVO,"Frasco ampola",6820,6.82
"Brometo de ipratrópio 0,250mg/mL solução para inalação 20ml",1328479,42,2000,ATIVO,FRASCO,1360,0.68
"Brometo de N-butilescopolamina 20mg/mL injetável 1ml",1328480,43,10000,ATIVO,AMP,8400,0.84
"Bromidrato de fenoterol 5mg/ml solução para inalação 20ml",1328481,45,2000,ATIVO,FRASCO,6090,3.045
"Cefalexina 500mg",1328482,61,500000,ATIVO,COMPRIMIDO,139500,0.279
"Clindamicina 300mg",1328483,68,1500,ATIVO,COMPRIMIDO,1395,0.93
"Dexametasona 0,1% creme 10g",1328484,83,30000,ATIVO,BISNAGA,24900,0.83
"Dexametasona, fosfato de dissódico 4mg/ml injetável 2,5mL",1328485,84,24000,ATIVO,AMP,12480,0.52
"Diazepam 10mg.",1328486,85,900000,ATIVO,COMPRIMIDO,54000,0.06
"Diazepam 5mg.",1328487,86,35000,ATIVO,COMPRIMIDO,2100,0.06
"Enalapril, maleato 10mg",1328488,100,2000000,ATIVO,COMPRIMIDO,56000,0.028
"Enalapril, maleato 20mg",1328489,101,800000,ATIVO,COMPRIMIDO,28800,0.036
"Enantoato de noretisterona + valerato de estradiol 1ml",1328491,102,2000,ATIVO,AMP,16300,8.15
"Fluoxetina, cloridrato 20mg",1328492,120,1300000,ATIVO,COMPRIMIDO,75140,0.0578
"Glicose 25% 10ml",1328493,126,2000,ATIVO,AMP,420,0.21
"HIDROCLOROTIAZIDA 25MG",1328494,135,2300000,ATIVO,COMPRIMIDO,27600,0.012
"Hidrocortisona 500mg",1328495,137,5000,ATIVO,"Frasco ampola",21950,4.39
"Ivermectina 6mg",1328496,148,5000,ATIVO,COMPRIMIDO,892.5,0.1785
"Metoclopramida 5mg/mL  2ml",1328497,175,27000,ATIVO,AMP,7654.5,0.2835
"Nifedipino 10mg",1328498,188,250000,ATIVO,COMPRIMIDO,7250,0.029
"Noradrenalina 2mg/ml ampola 4ml.",1328499,193,300,ATIVO,AMP,570,1.9
"Paracetamol 500mg blíster",1328500,201,2200000,ATIVO,COMPRIMIDO,80960,0.0368
"Sinvastatina 40 mg",1328501,221,400000,ATIVO,COMPRIMIDO,32800,0.082
"Tenoxicam 20 mg pó para solução injetável endovenoso e intra",1328502,230,1500,ATIVO,"Frasco ampola",6000,4
"Terbutalina, Sulfato 0,5mg/mL solução injetável 1ml",1328503,231,1000,ATIVO,AMP,1700,1.7
"Fluconazol 150mg",1328504,117,75000,ATIVO,COMPRIMIDO,20475,0.273
