descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
RABANETE,1298111,66,20,ATIVO,kg,79.8,3.99
BERINJELA,1298116,52,40,ATIVO,kg,166,4.15
PERA,1298117,38,25,ATIVO,kg,182.25,7.29
AGRIÃO,1298118,45,150,ATIVO,UNIDADE,343.5,2.29
ABOBRINHA,1298119,43,150,ATIVO,kg,510,3.4
Abacate.,1300177,24,20,ATIVO,kg,119,5.95
MANGA,1300179,33,15,ATIVO,kg,77.25,5.15
BETERRABA,1300180,53,150,ATIVO,kg,510,3.4
"ABOBORA TRONCO",1300181,42,30,ATIVO,kg,88.5,2.95
MELANCIA,1300182,36,250,ATIVO,kg,612.5,2.45
TOMATE,1302223,71,500,ATIVO,kg,2225,4.45
AMEIXA,1302227,26,30,ATIVO,kg,236.7,7.89
"MANDIOCA (AIPIM)",1302230,61,400,ATIVO,kg,1780,4.45
"COUVE FLOR",1302231,58,250,ATIVO,UNIDADE,987.5,3.95
VAGEM,1304334,72,150,ATIVO,kg,823.5,5.49
RUCULA,1304336,69,300,ATIVO,UNIDADE,690,2.3
LIMÃO,1304341,31,15,ATIVO,kg,81,5.4
"Banana Branca",1304342,27,1500,ATIVO,kg,3975,2.65
Chuchu,1304344,57,100,ATIVO,kg,300,3
"BATATA INGLESA",1304345,51,600,ATIVO,kg,1950,3.25
PESSEGO,1304346,39,30,ATIVO,kg,167.7,5.59
"TEMPERO VERDE .",1306325,70,350,ATIVO,UNIDADE,682.5,1.95
LARANJA,1306330,29,900,ATIVO,kg,2205,2.45
GOIABA,1306331,28,30,ATIVO,kg,190.5,6.35
ABACAXI,1306332,25,70,ATIVO,UNIDADE,315,4.5
MAÇA,1306333,32,800,ATIVO,kg,4384,5.48
MAMAO,1306335,34,200,ATIVO,kg,794,3.97
ESPINAFRE.,1306336,60,30,ATIVO,UNIDADE,84,2.8
"COUVE FOLHA",1306337,59,200,ATIVO,UNIDADE,430,2.15
ACELGA,1306338,44,200,ATIVO,UNIDADE,590,2.95
"MILHO VERDE.",1308359,62,20,ATIVO,kg,122,6.1
CENOURA,1308360,56,200,ATIVO,kg,690,3.45
"MORANGA CABOTIÁ",1308361,63,200,ATIVO,kg,740,3.7
MARACUJA,1310354,35,15,ATIVO,kg,64.35,4.29
PEPINO,1310355,64,150,ATIVO,kg,517.5,3.45
"ALMEIRÃO FOLHA LARGA",1310356,49,250,ATIVO,UNIDADE,712.5,2.85
"Cebola de cabeça",1312375,55,800,ATIVO,kg,3176,3.97
UVA,1312376,41,20,ATIVO,kg,180,9
BRÓCOLIS,1314523,54,250,ATIVO,UNIDADE,1050,4.2
PINHAO,1314524,40,30,ATIVO,kg,219,7.3
"ALFACE LISA",1314525,47,500,ATIVO,UNIDADE,950,1.9
"REPOLHO ROXO",1316587,68,150,ATIVO,UNIDADE,592.5,3.95
"BATATA DOCE",1316588,50,300,ATIVO,kg,855,2.85
MELAO,1316589,37,100,ATIVO,kg,435,4.35
Alho,1316590,48,50,ATIVO,kg,850,17
"LARANJA POKAN",1318618,30,600,ATIVO,kg,1740,2.9
REPOLHO,1318622,67,150,ATIVO,UNIDADE,442.5,2.95
PIMENTAO,1318623,65,50,ATIVO,kg,222.5,4.45
"Alface crespa",1318624,46,1200,ATIVO,UNIDADE,2136,1.78
