descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Adesivo monocomponente para esmalte e dentina",1264407,5,100,ATIVO,FRASCO,1645,16.45
"Arco dobrável para isolamento",1264408,30,200,ATIVO,UNIDADE,1550,7.75
"ARCO ODONTOLÓGICO DIÂMETRO 10 CM",1264409,31,200,ATIVO,UNIDADE,1580,7.9
"Broca de alta rotacao 703 longa 25mm",1264410,47,120,ATIVO,UNIDADE,586.8,4.89
"broca PM  703 jet",1264411,66,800,ATIVO,UNIDADE,8704,10.88
"Cureta periodontal 0-0  Aço inox.  Autoclavável.",1264412,91,24,ATIVO,UNIDADE,267.36,11.14
"Curetas para raspagem",1264413,95,150,ATIVO,UNIDADE,1671,11.14
"Disco de feltro natural",1264414,108,20,ATIVO,kit,512.8,25.64
"Escova Robinson Color Brush CA",1264415,126,120,ATIVO,UNIDADE,300,2.5
"Disco sof lex",1264416,112,20,ATIVO,kit,8060,403
"Escova de lã  MSHS 784-3  para polimento",1264417,117,12,ATIVO,UNIDADE,67.68,5.64
"ESCOVA DENTAL DE 2 TUFOS EXTRA-MACIA.",1264418,123,400,ATIVO,UNIDADE,3764,9.41
"Esponja hemostática de colágeno Hidrolisado",1264419,137,60,ATIVO,CAIXA,1434,23.9
"Filme radiografico odontologico  adulto",1264420,150,50,ATIVO,CAIXA,4439,88.78
"Filme radiográfico odontológico Adulto",1264421,152,50,ATIVO,CAIXA,6645,132.9
"Fio dental em poliamida Embalagem com 500m",1264422,159,10,ATIVO,EMBALAGEM,92.2,9.22
"gesso pedra TIPO III  1KG",1264423,174,60,ATIVO,UNIDADE,395.4,6.59
"Hemostático em gel",1264425,188,100,ATIVO,UNIDADE,1815,18.15
"Disco de Lixa Sof-Lex Pop On Kit",1264426,109,20,ATIVO,kit,7860,393
"Indicador Biológico",1264443,192,570,ATIVO,CAIXA,19083.6,33.48
"Kit de Polimento de Amálgama",1264454,198,20,ATIVO,kit,657.8,32.89
"Máscara Tripla descartável",1264455,245,200,ATIVO,CAIXA,1046,5.23
"Lima # 6 tamanho 31 mm",1264456,207,300,ATIVO,UNIDADE,3945,13.15
"Seringa para irrigação autoclávavel",1264457,335,30,ATIVO,UNIDADE,105.3,3.51
"Sonda milimetrada goldman fox dupla",1264458,341,10,ATIVO,UNIDADE,107.6,10.76
"Spray para teste de vitalidade -50º C - com Aroma",1264459,343,200,ATIVO,UNIDADE,5100,25.5
"Sugador endodôntico descartável.",1264460,345,200,ATIVO,CAIXA,15000,75
"Tesoura Íris Reta 8 ou 9 cm",1264461,350,24,ATIVO,UNIDADE,404.64,16.86
"Tiras de lixa - Sof-lex c/ 150 unidades",1264462,352,200,ATIVO,CAIXA,18392,91.96
"Vaselina solida.",1264463,358,100,ATIVO,UNIDADE,417,4.17
"Ionômero de vidro para RESTAURAÇÃO",1264464,360,100,ATIVO,UNIDADE,959,9.59
"Selante Fotopolimerizável",1264467,332,100,ATIVO,kit,1434,14.34
"Selante com flúor",1264480,331,100,ATIVO,UNIDADE,1434,14.34
"Prendedor de Babado",1264481,315,50,ATIVO,UNIDADE,97.5,1.95
"POSICIONADOR RADIOGRÁFICO ESTERILIZAÇÃO QUÍMICA CONE INFANTI",1264482,312,100,ATIVO,UNIDADE,3227,32.27
"Lima # 8 tamanho 25 mm",1264483,208,600,ATIVO,UNIDADE,7890,13.15
"Lima endodôntica 1º série 21mm",1264484,210,300,ATIVO,UNIDADE,3945,13.15
"Lima endodôntica 1º série 25mm",1264485,211,300,ATIVO,UNIDADE,3945,13.15
"Lima endodôntica 2º série 21mm",1264486,212,300,ATIVO,UNIDADE,3945,13.15
"Lima K flexivel   de primeira serie de 21mm",1264487,224,12,ATIVO,CAIXA,164.64,13.72
"lima K flexivel   de primeira serie de 25 mm",1264488,225,50,ATIVO,CAIXA,686,13.72
"lima k flexivel de primeira serie de 31 mm",1264489,226,30,ATIVO,CAIXA,411.6,13.72
"Lima lentulo sortida  25mm cx 4 unidades",1264490,229,20,ATIVO,CAIXA,766.2,38.31
"Mandril CA Pop-On",1264491,240,50,ATIVO,UNIDADE,1287,25.74
"Máscara descartável, retangular",1264492,243,200,ATIVO,CAIXA,1046,5.23
"Matriz de poliéster transparent",1264493,246,60,ATIVO,CAIXA,60,1
"Micro - brush extra fino",1264494,247,150,ATIVO,CAIXA,1057.5,7.05
"Micro - brush regular",1264495,248,60,ATIVO,CAIXA,423,7.05
"Micro - brush  fino",1264496,249,40,ATIVO,CAIXA,282,7.05
"Micro brush descartavel fino",1264497,250,100,ATIVO,CAIXA,705,7.05
"pacote de disco  lixa",1264498,261,20,ATIVO,PACOTE,843.4,42.17
"Polidor de acrílico SK 2131 para peça reta",1264499,273,1,ATIVO,UNIDADE,12.22,12.22
"Polidor de acrílico SK 2133 para peça reta",1264500,274,1,ATIVO,UNIDADE,12.22,12.22
"Polidor de acrílico SK 2135 para peça reta",1264501,275,1,ATIVO,UNIDADE,12.22,12.22
"Porta Agulha 12cm",1264502,305,30,ATIVO,UNIDADE,1124.1,37.47
"PORTA AMÁLGAMA",1264503,308,12,ATIVO,UNIDADE,114,9.5
"Porta gase odontológico",1264504,309,12,ATIVO,UNIDADE,359.4,29.95
"POSICIONADOR RADIOGRÁFICO ESTERILIZAÇÃO QUÍMICA CONE ADULTO",1264505,311,100,ATIVO,UNIDADE,3227,32.27
"Lençol de borracha-",1264506,203,100,ATIVO,CAIXA,1966,19.66
