descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"AUTO DE INFRAÇÃO LEI 1.193",0,50,PERDEU," ",425,8.5
"AUTO DE INFRAÇÃO LEI 3.070",0,50,PERDEU," ",425,8.5
"AUTORIZAÇÃO SAÍDA DE VEÍCULOS",0,500,PERDEU," ",2150,4.3
"BOLETIM DE CADASTRO IMOBILIÁRIO",0,100,PERDEU," ",940,9.4
"CAPAS AMARELAS",0,2000,PERDEU," ",620,0.31
"CARTÃO DE PROTOCOLO GERAL.",0,40000,PERDEU," ",2800,0.07
"CARTÃO DE VISITAS",0,100,PERDEU," ",9900,99
"CARTAO PONTO.",0,12000,PERDEU," ",3840,0.32
"COMPROVANTE ENTREGA CORREIOS.",0,4000,PERDEU," ",1280,0.32
"ENVELOPE GRANDE TIMBRADO",0,3000,PERDEU," ",2760,0.92
"ENVELOPE MÉDIO TIMBRADO.",0,6000,PERDEU," ",3060,0.51
"Envelope ofício com timbre",0,7000,PERDEU," ",1400,0.2
"FATO VIOLAÇÃO",0,50,PERDEU," ",450,9
"FOLHA ADESIVO",0,4000,PERDEU," ",2200,0.55
"MEMORANDO INTERNO - 15x21cm, offset 56gr + SB amarelo 50gr,",0,600,PERDEU," ",2880,4.8
"MEMORANDO INTERNO - 15x21cm, offset 56gr, 1x0 cor, COLADO",0,500,PERDEU," ",2150,4.3
"NOTIFICAÇÃO LEI 1.193",0,50,PERDEU," ",310,6.2
"NOTIFICAÇÃO LEI 2.425",0,70,PERDEU," ",434,6.2
"NOTIFICAÇÃO LEI 3.070",0,70,PERDEU," ",434,6.2
"NOTIFICAÇÃO LEI 8.666",0,70,PERDEU," ",434,6.2
"PASTA COMISSÃO DE LICITAÇÃO",0,1500,PERDEU," ",2040,1.36
"PASTA DE PROCESSO.",0,50000,PERDEU," ",35000,0.7
"PASTA PODER EXECUTIVO.",0,1500,PERDEU," ",2475,1.65
"PASTA PODER EXECUTIVO P/B.",0,6000,PERDEU," ",4260,0.71
"REQUERIMENTO SIMPLES",0,300,PERDEU," ",2790,9.3
"REQUISIÇÃO DE ABASTECIMENTO",0,500,PERDEU," ",1470,2.94
"REQUISIÇÃO DE GÁS",0,50,PERDEU," ",233,4.66
"REQUISIÇÃO DE MATERIAL",0,200,PERDEU," ",1040,5.2
"REQUISIÇÃO DE MATERIAL (pequeno)",0,200,PERDEU," ",776,3.88
"Agenda com 142 páginas",0,100,PERDEU," ",2800,28
