descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"AÇÚCAR MASCAVO - NA CENTRAL",4389831,7875,PERDEU,KG,60480,7.68
"AÇÚCAR MASCAVO - NA CENTRAL",4389832,2625,PERDEU,KG,20160,7.68
"AÇÚCAR REFINADO - NA CENTRAL",4389833,58238,PERDEU,KG,119387.9,2.05
"AÇÚCAR REFINADO - NA CENTRAL",4389834,19412,PERDEU,KG,40765.2,2.1
"BISCOITO MARIA - SEM LEITE - NA CENTRAL",4389837,10668,DESCLASSIFICADO,KG,87584.28,8.21
"BISCOITO MARIA - SEM LEITE - NA CENTRAL",4389838,3556,DESCLASSIFICADO,KG,29194.76,8.21
"BISCOITO SALGADO TIPO ÁGUA E SAL - SEM LEITE - NA CENTRAL",4389839,8238,DESCLASSIFICADO,KG,67633.98,8.21
"BISCOITO SALGADO TIPO ÁGUA E SAL - SEM LEITE - NA CENTRAL",4389840,2746,DESCLASSIFICADO,KG,22544.66,8.21
"BISCOITO DE GERGELIM - SEM LEITE - NA CENTRAL",4389842,6525,DESCLASSIFICADO,KG,71122.5,10.9
"BISCOITO SALGADO INTEGRAL - SEM LEITE - NA CENTRAL",4389843,6108,DESCLASSIFICADO,KG,66577.2,10.9
"BISCOITO SALGADO INTEGRAL - SEM LEITE - NA CENTRAL",4389844,2036,DESCLASSIFICADO,KG,22192.4,10.9
"BISCOITO ROSQUINHA DE COCO - SEM LEITE - NA CENTRAL",4389845,8688,DESCLASSIFICADO,KG,75846.24,8.73
"BISCOITO ROSQUINHA DE COCO - SEM LEITE - NA CENTRAL",4389846,2895,DESCLASSIFICADO,KG,25273.35,8.73
"BISCOITO ROSQUINHA DE CHOCOLATE - SEM LEITE - NA CENTRAL",4389847,8280,DESCLASSIFICADO,KG,72284.4,8.73
"BISCOITO ROSQUINHA DE CHOCOLATE - SEM LEITE - NA CENTRAL",4389848,2760,DESCLASSIFICADO,KG,24094.8,8.73
"CAFÉ TORRADO MOÍDO - TRADICIONAL",4389850,11199,DESCLASSIFICADO,KG,135507.9,12.1
"CAFÉ TORRADO MOÍDO - TRADICIONAL",4389851,3732,DESCLASSIFICADO,KG,45157.2,12.1
"CANELA,  EM PÓ - NA CENTRAL",4389852,184,PERDEU,KG,10028,54.5
"COLORÍFICO - NA CENTRAL",4389855,2648,PERDEU,KG,14961.2,5.65
"DOCE DE FRUTAS, SORTIDO - NA CENTRAL",4389858,6702,INABILITADO,KG,34649.34,5.17
"DOCE DE FRUTAS, SORTIDO - NA CENTRAL",4389859,2234,INABILITADO,KG,11549.78,5.17
"DOCE DE LEITE -",4389860,4070,PERDEU,KG,28367.9,6.97
"FARINHA DE CEREAIS - AVEIA - NA CENTRAL",4389863,948,CANCELADO,KG,9006,9.5
"FARINHA DE CEREAIS - Mix de cereais - NA CENTRAL",4389864,945,INABILITADO,KG,10867.5,11.5
"FARINHA DE MILHO, PRÉ-COZIDA - NA CENTRAL",4389865,3369,CANCELADO,KG,6738,2
"FARINHA DE TRIGO,  NA CENTRAL",4389866,741,PERDEU,KG,1422.72,1.92
"FARINHA DE TRIGO, 5 KG - NA CENTRAL",4389867,19446,PERDEU,KG,37336.32,1.92
"FARINHA DE TRIGO - NA CENTRAL",4389868,76495,CANCELADO,KG,156049.8,2.04
"FARINHA DE TRIGO - NA CENTRAL",4389869,25498,PERDEU,KG,52015.92,2.04
"FARINHA DE TRIGO 1 kg",4389870,483,INABILITADO,KG,1159.2,2.4
"FARINHA DE TRIGO, INTEGRAL, 25 KG - NA CENTRAL",4389871,15750,CANCELADO,KG,33705,2.14
"FARINHA DE TRIGO, INTEGRAL, 25 KG - NA CENTRAL",4389872,5250,CANCELADO,KG,11235,2.14
"FERMENTO BIOLÓGICO SECO - NA CENTRAL",4389873,1435,PERDEU,KG,34870.5,24.3
"FERMENTO QUÍMICO, EM PÓ - NA CENTRAL",4389874,1405,CANCELADO,KG,17703,12.6
"LEITE INTEGRAL EM PÓ INSTANTÂNEO VITAMINADO - NA CENTRAL",4389876,56018,PERDEU,KG,918135.02,16.39
"LEITE INTEGRAL EM PÓ INSTANTÂNEO VITAMINADO - NA CENTRAL",4389877,3350,PERDEU,KG,55275,16.5
"MACARRÃO DE SÊMOLA, FORMATO FUSILLI OU PARAFUSO - NA CENTRAL",4389879,15204,DESCLASSIFICADO,KG,53822.16,3.54
"MILHO PARA PIPOCA - NA CENTRAL",4389881,1541,PERDEU,KG,5085.3,3.3
"ÓLEO DE SOJA - NA CENTRAL",4389886,17354,PERDEU,UND,61606.7,3.55
"SAL IODADO - NA CENTRAL",4389890,13640,PERDEU,KG,12003.2,0.88
"VINAGRE DE ALCOOL - NA CENTRAL",4389892,6911,DESCLASSIFICADO,UND,10573.83,1.53
"ALIMENTO A BASE DE SOJA - ORIGINAL - NA CENTRAL",4389902,5061,PERDEU,UND,24292.8,4.8
"LEITE SEMI DESNATADO ZERO LACTOSE , LÍQUIDO - NA CENTRAL",4389908,6626,DESCLASSIFICADO,UND,22395.88,3.38
