descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Apagador para Quadro Branco.",4388953,400,CANCELADO,UND,988,2.47
"Apontador com depósito retangular",4388956,700,PERDEU,CX,10150,14.5
"Aquarelas com paleta com 12 cores",4388957,1000,DESCLASSIFICADO,CX,11400,11.4
"Bastão de Cola Quente Grosso 11,2 mmx30cm",4388964,8000,PERDEU,PCT,5200,0.65
"Bastão de Cola Quente Grosso 7 mm mmx30cm",4388965,1000,PERDEU,UND,300,0.3
"Bloco de Papel para desenho na cor branca formato A3",4388967,1820,VENCEU,BLOC,8026.2,4.41
"Borracha  branca escolar",4388968,200,DESCLASSIFICADO,CX,1300,6.5
"Caderno Brochurão com capa Flexível",4388969,10000,PERDEU,UND,21000,2.1
"Caderno Pequeno brochura não reciclado",4388971,5000,PERDEU,UND,4250,0.85
"CANETA PARA RETROPROJETOR",4388977,10,PERDEU,UND,12,1.2
"Canetas hidrográficas",4388979,200,DESCLASSIFICADO,UND,1300,6.5
"Cola Branca 1 kg a base de PVA",4388984,1200,DESCLASSIFICADO,UND,19080,15.9
"Cola Branca 100g",4388985,2000,VENCEU,UND,4400,2.2
"Compasso escolar",4388987,1820,CANCELADO,UND,6006,3.3
"Fita adesiva em papel crepado",4388992,3000,PERDEU,UND,9030,3.01
"Folha em EVA 600x400x2mm",4388993,1000,PERDEU,UND,1020,1.02
"Giz branco plastificado",4388994,1000,CANCELADO,CX,1550,1.55
"Giz colorido plastificado",4388995,1000,CANCELADO,CX,1900,1.9
"Giz de cera, grosso e curto",4388997,5000,PERDEU,CX,10500,2.1
"Grampeador médio de mesa metálico, 26/6",4389000,150,PERDEU,UND,1395,9.3
"Grampo para grampeador em aço galvanizado, 26/6",4389001,400,DESCLASSIFICADO,CX,1140,2.85
"Lápis colorido.",4389002,1000,CANCELADO,CX,2750,2.75
"Lápis de cor aquarelável 12 cores",4389003,1200,DESCLASSIFICADO,CX,14760,12.3
"Lápis preto de grafite nº 2.",4389004,500,VENCEU,CX,10200,20.4
"Massa de modelar",4389006,5000,PERDEU,CX,7750,1.55
"Papelão Paraná",4389011,100,VENCEU,PCT,3200,32
"Pasta L",4389012,50,VENCEU,PCT,207.5,4.15
"PINCEL ATOMICO",4389013,1000,CANCELADO,UND,860,0.86
"Pincel para Quadro Branco Recarregável",4389015,2000,CANCELADO,UND,1800,0.9
"Régua de alumínio 30 cm",4389019,1820,VENCEU,UND,4277,2.35
"Tesoura de picotar",4389023,100,VENCEU,UND,2450,24.5
"Tesoura de ponta arredondada",4389024,4000,CANCELADO,UND,4720,1.18
"Tesoura Doméstica",4389025,100,PERDEU,UND,330,3.3
"Tinta PVA para artesanato",4389027,100,VENCEU,UND,436,4.36
