descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Arco de serra manual 12",0,8,PERDEU," ",124,15.5
"Capacete de segurança para uso na indústria modelo V",0,6,PERDEU," ",119.16,19.86
"carrinho de mão de chapa",0,3,PERDEU," ",717.18,239.06
"Colete de sinalização de alta visibilidade",0,6,PERDEU," ",229.92,38.32
"Colher para pedreiro 8",0,9,PERDEU," ",111.33,12.37
"Compactador de solo à gasolina",0,1,PERDEU," ",10310.53,10310.53
"Cone 75 cm preto/amarelo",0,15,PERDEU," ",385.65,25.71
"Disco diamantado 350mm segmentado para asfalto 10mm",0,30,PERDEU," ",16005,533.5
"Esquadro 10 com cabo",0,3,PERDEU," ",78.57,26.19
"Furadeira de Impacto",0,1,PERDEU," ",226.21,226.21
"Gerador de energia a gasolina de no 7,2 KVA",0,1,PERDEU," ",5820,5820
"Grampeador/Pinador pneumático F 15 a 50 mm",0,1,PERDEU," ",257,257
"JOGO DE FERRAMENTAS",0,1,PERDEU," ",374.7,374.7
"Kit abafador do tipo concha para capacete",0,6,PERDEU," ",1210.56,201.76
"Kit amarração de cargas de 2",0,2,PERDEU," ",114.96,57.48
"Luva Tricotada Grip",0,20,PERDEU," ",145.8,7.29
"LUVA VAQUETA",0,20,PERDEU," ",269.4,13.47
"Marreta 5 kg",0,1,PERDEU," ",194,194
"Martelete combinado",0,1,PERDEU," ",549.99,549.99
"Martelete demolidor",0,1,PERDEU," ",7383.03,7383.03
"Misturador de concreto (betoneira)",0,1,PERDEU," ",1512.5,1512.5
"Nível de alumínio 48",0,8,PERDEU," ",454,56.75
"Óculos de proteção antirisco",0,20,PERDEU," ",103.8,5.19
"Serra aço 1/2x12cm",0,30,PERDEU," ",102,3.4
"Serra Circular elétrica portátil profissional 7.1/4",0,1,PERDEU," ",479.29,479.29
"Serra mármore 5 com no mínimo 1500w",0,1,PERDEU," ",290.03,290.03
"Suspensão para capacete do tipo Push-Key, com jugular",0,6,PERDEU," ",151.98,25.33
"Trena eletrônica",0,1,PERDEU," ",354.2,354.2
