descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"ACELADOR SECAGEM PU 900ML",0,40,PERDEU," ",1088,27.2
"AMARELO CASE ESM SINT AUTOMOTIVO 3,6L",0,15,PERDEU," ",1327.2,88.48
"AMARELO NEW HOLLAND ESM SINT AUTOMOTIVO 3,6L",0,30,PERDEU," ",2654.4,88.48
"FITA DUPLA FACE EXTRA FORTE 15MM X 20M",0,20,PERDEU," ",1258.2,62.91
"BRANCO ACABAMENTO ESM SINT AUTOMOTIVO 3,6L",0,50,PERDEU," ",3400,68
"BRANCO BANCHISA POLIURETANO 3,6L",0,30,PERDEU," ",5018.4,167.28
"BRANCO DIAMANTE FORD POLIURETANO 3,6L",0,5,PERDEU," ",836.4,167.28
"CATALISADOR 900ML",0,40,PERDEU," ",2116,52.9
"CATALISADOR RESINA",0,35,PERDEU," ",52.5,1.5
"CERA 200g",0,50,PERDEU," ",750,15
"COADOR PINTURA",0,100,PERDEU," ",59.5,0.595
"DISCO ROQUITE N80 A  1200",0,300,PERDEU," ",526.5,1.755
"ESTOPA DE PANO",0,200,PERDEU," ",926,4.63
"ESTOPA PCT 400GR",0,100,PERDEU," ",301,3.01
"FITA CREPE 16MM X 50M",0,100,PERDEU," ",350,3.5
"FUNDO PU 5:1 900ML",0,50,PERDEU," ",1300,26
"LIXA DAGUA Nº 100 A 400",0,700,PERDEU," ",840,1.2
"LIXA FERRO Nº 36 A 220",0,500,PERDEU," ",1015,2.03
"MANTA DE FIBRA 500G",0,40,PERDEU," ",432,10.8
"MASSA DE POLIR BASE AGUA 900ML",0,45,PERDEU," ",945,21
"MASSA PLASTICA UNIV 900g",0,80,PERDEU," ",1465.6,18.32
"MASSA RAPIDA 900ML",0,50,PERDEU," ",938,18.76
"PAPEL ISOLAMENTO 180X45 (ROLO)",0,15,PERDEU," ",292.5,19.5
"PAPEL ISOLAMENTO 180X95 (ROLO)",0,15,PERDEU," ",525,35
"PISTOLA PINTURA BICO 1,3MM, 32 PSI, 190ML/MIN",0,1,PERDEU," ",614,614
"PRETO CHASSI SB ESM SINT AUTOMOTIVO 3,6L",0,50,PERDEU," ",3125,62.5
"PRETO FOSCO SINT. 3,6L",0,50,PERDEU," ",3125,62.5
"RESINA 800ML",0,40,PERDEU," ",720,18
"THINNER REF 2750 5L",0,80,PERDEU," ",3096,38.7
"THINNER REF 5000 P/ PU 5L",0,50,PERDEU," ",3600,72
"VERDE FOLHA SINT. 3,6L",0,40,PERDEU," ",4400,110
"VERMELHO SINT. 3,6L",0,40,PERDEU," ",3200,80
