descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"RACK 19 (470mm) DE PAREDE, 12U, COM PORTA FRONTAL ACRÍLICA",0,5,VENCEU," ",3400,680
"CAIXA DE CABO UTP CAT 6, DE 300m",0,15,VENCEU," ",17835,1189
"SWITCH 24+4 PORTAS GIGABIT (10/100/1000 )",0,10,VENCEU," ",17323.2,1732.32
"ROTEADOR WIRELESS DUAL BAND",0,5,VENCEU," ",1400,280
"TAMPA CEGA 19",0,20,VENCEU," ",2120,106
"ORGANIZADOR DE CABO 19",0,10,VENCEU," ",960,96
"PATCH PANEL DE 2U",0,5,VENCEU," ",5990,1198
"PATCH CORD CAT 6 DE 1,5m",0,340,VENCEU," ",15946,46.9
"ESPELHO 4 X 2 DOIS FUROS RJ 45",0,170,VENCEU," ",1445,8.5
"KEYSTONE RJ 45 FEMEA CAT 6",0,320,VENCEU," ",15040,47
"NOBREAK 600 VA",0,5,VENCEU," ",2195,439
"VOICE PANEL 24 PORTAS, 1U, MONTÁVEL EM RACK 19",0,5,VENCEU," ",2450,490
SERVICOS,0,600,VENCEU," ",48000,80
