descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"CARNE BOVINA CORTE ACÉM",4383437,550,PERDEU,KG,8767,15.94
"CARNE BOVINA BIFE DE COXÃO MOLE",4383440,550,VENCEU,KG,10450,19
"CARNE BOVINA CORTE FRALDINHA",4383441,825,VENCEU,KG,11797.5,14.3
"CARNE SUÍNA CARRÉ",4383442,550,VENCEU,KG,6017,10.94
"CARNE SUÍNA LOMBO",4383443,825,VENCEU,KG,10758,13.04
BACON,4383447,550,PERDEU,KG,10450,19
"FILEZINHO DE PEITO DE FRANGO (SASSAMI)",4383449,110,VENCEU,KG,1076.9,9.79
"Sobrecoxa de frango",4383450,550,VENCEU,KG,4625.5,8.41
"FRANGO INTEIRO CAIPIRA",4383451,440,VENCEU,KG,3630,8.25
"ACHOCOLATADO EM PO",4383493,275,PERDEU,LAT,2062.5,7.5
"AÇUCAR BRANCO REFINADO",4383494,275,PERDEU,KG,657.25,2.39
"AÇUCAR EM SACHÊ",4383495,55,VENCEU,CX,1014.2,18.44
"Arroz parboilizado",4383498,825,VENCEU,KG,1666.5,2.02
"Azeite de oliva tipo extra virgem",4383499,84,VENCEU,EMB,1806,21.5
"biscoito doce",4383500,550,PERDEU,EMB,2200,4
CAFE,4383501,1440,PERDEU,EMB,14112,9.8
"DOCE DE FRUTAS",4383505,165,VENCEU,POT,693,4.2
"Doce de Leite",4383506,275,PERDEU,POT,1292.5,4.7
ERVILHA,4383508,275,PERDEU,LAT,742.5,2.7
"EXTRATO DE TOMATE",4383509,275,PERDEU,KG,962.5,3.5
"Farinha de mandioca",4383510,360,VENCEU,KG,1778.4,4.94
"FEIJAO PRETO",4383514,300,PERDEU,KG,1800,6
"FEIJAO VERMELHO",4383515,300,VENCEU,KG,1941,6.47
"fermento em pó quimico.",4383516,20,PERDEU,EMB,110,5.5
"Gelatina em pó",4383517,550,VENCEU,EMB,885.5,1.61
"LEITE CONDENSADO",4383519,275,PERDEU,UND,937.75,3.41
"MACARRÃO ESPAGUETE",4383520,550,VENCEU,EMB,1534.5,2.79
"MACARRÃO PENNE",4383521,330,PERDEU,EMB,1023,3.1
"MACARRÃO PARAFUSO",4383522,330,VENCEU,EMB,920.7,2.79
"Maionese Tradicional",4383523,550,PERDEU,POT,3767.5,6.85
"MARGARINA CREMOSA.",4383524,550,PERDEU,POT,3954.5,7.19
"OLEO DE SOJA REFINADO",4383528,550,PERDEU,EMB,2007.5,3.65
"OVOS CLASSE A",4383530,930,VENCEU,CX,4166.4,4.48
"REFRESCO EM PÓ",4383532,1375,VENCEU,EMB,1911.25,1.39
"REFRIGERANTE SABOR COLA",4383533,55,VENCEU,GRF,350.9,6.38
"REFRIGERANTE SABOR GUARANÁ",4383534,55,VENCEU,GRF,350.9,6.38
"REFRIGERANTE SABOR LIMÃO",4383535,55,VENCEU,GRF,350.9,6.38
"VINAGRE DE ALCOOL",4383539,165,PERDEU,EMB,231,1.4
"VINAGRE DE VINHO",4383540,165,PERDEU,EMB,536.25,3.25
"BATATA PALHA",4383541,60,PERDEU,EMB,1080,18
"Leite líquido integral",4383544,1980,PERDEU,CX,5742,2.9
"PRESUNTO SUÍNO",4383548,600,PERDEU,KG,14550,24.25
Queijo,4383549,600,PERDEU,KG,14040,23.4
"AGUA MINERAL COM GÁS",4383550,275,VENCEU,FRD,508.75,1.85
"Agua Mineral sem gás",4383551,275,VENCEU,FRD,492.25,1.79
"PALITO DE DENTE",4383554,275,VENCEU,CX,684.75,2.49
"SACO PLASTICO",4383555,60,VENCEU,RL,360,6
"PAPEL ALUMÍNIO",4383556,60,VENCEU,RL,394.2,6.57
