descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Alimento nutricionalmente completo para nutrição enteral ou",4442205,1120,DESCLASSIFICADO,LAT,60928,54.4
"Alimento a base de proteína isolada de soja",4442206,696,VENCEU,LAT,24360,35
"Dieta nutricionalmente completa para crianças de 1 a 10 anos",4442208,492,DESCLASSIFICADO,LAT,28536,58
"Dieta semi-elementar e hipoalergênica, a base de 100% prote",4442209,2220,PERDEU,LAT,245398.8,110.54
"Dieta semi-elementar e hipoalergênica cumprimento de decisão",4442210,120,PERDEU,LAT,13264.8,110.54
"Espessante a base de amido de milho modificado ou maltodextr",4442211,960,DESCLASSIFICADO,LAT,59788.8,62.28
"Formula infantil em pó p/ lactentes e crianças até 36 meses",4442212,1800,PERDEU,LAT,313200,174
"Fórmula infantil em pó para nutrição oral e enteral, em pó",4442213,460,PERDEU,LAT,30323.2,65.92
"Fórmula infantil para lactentes menores de um ano de idade",4442214,622,PERDEU,LAT,30478,49
"Fórmula elementar à base de 100% de aminoácidos livres",4442215,610,PERDEU,LAT,140470.8,230.28
"Fórmula infantil de aminoácidos livres para lactentes e de s",4442216,2050,DESCLASSIFICADO,LAT,465350,227
"Formula p/ lactentes que apresentam regurgitação e/ou reflux",4442217,316,DESCLASSIFICADO,LAT,20113.4,63.65
"Fórmula infantil para lactentes até 06 meses, em pó",4442218,4252,PERDEU,LAT,233179.68,54.84
"Formula infantil de segmento, à base de leite de vaca, com n",4442219,3220,PERDEU,LAT,152402.6,47.33
"Fórmula infantil de transição, à base de leite de vaca",4442220,600,PERDEU,LAT,35118,58.53
"Fórmula infantil de seguimento, a base de proteínas isolada",4442221,626,PERDEU,LAT,44815.34,71.59
"Fórmula infantil para lactentes à base de proteínas isolada",4442222,576,PERDEU,LAT,41235.84,71.59
"Nutrição enteral, em pó, à base de proteína isolada de soja",4442223,1200,PERDEU,LAT,93324,77.77
