descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"AAS - ÁCIDO ACETILSALICÍLICO 100 MG",4441457,4962000,PERDEU,COMP,91797,0.0185
"ACEBROFILINA 25MG/5ML",4441463,14250,DESCLASSIFICADO,FRA,46386.6,3.2552
"ACEBROFILINA 50MG/5ML",4441464,15600,DESCLASSIFICADO,FRA,89375.52,5.7292
"ACETATO DE MEDROXIPROGESTERONA 150MG/ML - FRASCO AMPOLA 1 ML",4441465,9320,DESCLASSIFICADO,AM,139706.8,14.99
"ACETATO DE NORETISTERONA + ESTRADIOL 0,5-1MG",4441466,40000,VENCEU,COMP,29280,0.732
"ACETATO DE RETINOL 10.000 UI+ AMINOACIDOS 25 MG + METIONINA",4441467,410,DESCLASSIFICADO,TB,4270.85,10.4167
"ACETILCISTEINA 600MG/ENV5GR",4441468,4000,DESCLASSIFICADO,ENV,4062.4,1.0156
"ACICLOVIR 200MG",4441469,245800,DESCLASSIFICADO,COMP,70421.7,0.2865
"ACICLOVIR 50MG/GR CREME",4441470,31870,DESCLASSIFICADO,TB,77185.95,2.4219
"ACIDO ASCÓRBICO 100MG/ML INJ 5ML",4441471,24400,DESCLASSIFICADO,AM,19063.72,0.7813
"ACIDO ASCORBICO 500MG",4441472,1000,PERDEU,COMP,257.8,0.2578
"ACIDO FÓLICO 0,2MG/ML SOL ORAL 30ML",4441473,28250,DESCLASSIFICADO,FRA,161025,5.7
"ÁCIDO FÓLICO 5 MG",4441474,784800,DESCLASSIFICADO,COMP,36807.12,0.0469
"ACIDO FOLINICO 15MG",4441475,11500,DESCLASSIFICADO,COMP,14974.15,1.3021
"ÁCIDO TRANEXÂMICO 50MG/ML 5ML",4441478,250,PERDEU,AMP,813.8,3.2552
"ACIDO VALPRÓICO 250 MG CAPS",4441481,547000,DESCLASSIFICADO,CAPS,142438.8,0.2604
"ACIDO VALPROICO 500MG",4441483,848600,DESCLASSIFICADO,COMP,508311.4,0.599
"ACIDO VALPROICO 50MG/ML SOL. ORAL 100ML",4441484,23918,DESCLASSIFICADO,FRA,74743.75,3.125
"ADENOSINA 3MG/ML INJ 2ML",4441485,1000,DESCLASSIFICADO,AM,9765.6,9.7656
"ADESIVO TRANSDÉRMICO DE NICOTINA 14MG",4441486,2000,DESCLASSIFICADO,ADES,23526.8,11.7634
"ADESIVO TRANSDÉRMICO DE NICOTINA 21MG",4441487,2000,DESCLASSIFICADO,ADES,24579.6,12.2898
"ADESIVO TRANSDÉRMICO DE NICOTINA 7MG",4441488,2000,DESCLASSIFICADO,ADES,22470.2,11.2351
"ADRENALINA 1/1000 SOL. INJ. 1 ML (EPINEFRINA)",4441489,6000,PERDEU,AM,11220,1.87
"ÁGUA DEIONIZADA 5000 ML (ÁGUA PARA AUTOCLAVE)",4441491,500,DESCLASSIFICADO,UN,12150,24.3
"AGUA DESTILADA 10ML",4441492,39700,DESCLASSIFICADO,AM,6927.65,0.1745
"AGUA DESTILADA 5ML",4441493,37000,PERDEU,AM,6660,0.18
"ALBENDAZOL 400MG CPR",4441494,142000,DESCLASSIFICADO,COMP,58702.8,0.4134
"ALBENDAZOL 400MG/10ML",4441495,46000,DESCLASSIFICADO,FRA,58696,1.276
"ALENDRONATO SÓDICO 70MG CPR",4441497,151280,PERDEU,COMP,25717.6,0.17
"ALOPURINOL 100 MG",4441498,940400,DESCLASSIFICADO,COMP,83225.4,0.0885
"ALOPURINOL 300MG CPR",4441499,49200,PERDEU,COMP,9608.76,0.1953
"ALPRAZOLAM 0,5MG CPR",4441500,4000,DESCLASSIFICADO,COMP,572.8,0.1432
"ALPRAZOLAM 1MG CPR",4441501,12000,DESCLASSIFICADO,COMP,2797.2,0.2331
"ALPRAZOLAM 2MG CPR",4441502,32040,DESCLASSIFICADO,COMP,29620.98,0.9245
"AMBROXOL 3MG/ML",4441503,12480,DESCLASSIFICADO,FRA,21937.34,1.7578
"AMBROXOL 6MG/ML",4441505,12000,DESCLASSIFICADO,FRA,21093.6,1.7578
"AMINAFTONA 75MG",4441506,7000,DESCLASSIFICADO,COMP,9296.7,1.3281
"AMINOFILINA 100 MG",4441507,69310,DESCLASSIFICADO,COMP,5413.11,0.0781
"AMINOFILINA 200 MG",4441508,72000,DESCLASSIFICADO,COMP,14997.6,0.2083
"AMINOFILINA 240 MG SOL. INJ.10 ML",4441509,2600,PERDEU,AM,2704,1.04
"AMIODARONA 100MG",4441510,30000,DESCLASSIFICADO,COMP,15141,0.5047
"AMIODARONA 150MG/ML C/3ML",4441511,1200,PERDEU,AM,2292,1.91
"AMIODARONA 200 MG",4441512,366000,DESCLASSIFICADO,COMP,262092.6,0.7161
"AMITRIPTILINA 25 MG",4441515,2819300,PERDEU,COMP,73301.8,0.026
"AMITRIPTILINA 75 MG",4441516,10000,DESCLASSIFICADO,COMP,3646,0.3646
"AMOXICILINA + CLAVULANATO DE POTASSIO 250MG + 62,5MG/5ML  SU",4441517,40675,DESCLASSIFICADO,FR.,680899.5,16.74
"AMOXICILINA 250 MG SUSP. ORAL 60 ML",4441518,54250,DESCLASSIFICADO,FRA,236638.5,4.362
"AMOXICILINA 500MG + ÁCIDO CLAVULCÂNICO 125MG",4441520,762850,DESCLASSIFICADO,COMP,762850,1
"AMPICILINA 500 MG",4441521,5040,DESCLASSIFICADO,COMP,1903.1,0.3776
"ANLODIPINO 10MG CPR",4441522,150540,DESCLASSIFICADO,COMP,11365.77,0.0755
"ANLODIPINO 5MG",4441523,1979500,DESCLASSIFICADO,COMP,66709.15,0.0337
"ATENOLOL 100MG CPR",4441524,26400,DESCLASSIFICADO,COMP,2059.2,0.078
"ATENOLOL 25MG CPR",4441525,54000,PERDEU,COMP,1728,0.032
"ATENOLOL 50MG CPR",4441526,1837600,PERDEU,COMP,71850.16,0.0391
"ATORVASTATINA 20MG CPR",4441528,30000,DESCLASSIFICADO,COMP,7050,0.235
"ATROPINA 0,25 MG SOL INJ. 1 ML",4441529,3490,PERDEU,AM,1221.5,0.35
"ATROPINA 0,5MG INJ. 1ML",4441530,700,DESCLASSIFICADO,AM,6170.57,8.8151
"AZITROMICINA 200MG/5ML",4441531,36890,DESCLASSIFICADO,FRA,234989.3,6.37
"AZITROMICINA 500MG CPR",4441532,311670,DESCLASSIFICADO,COMP,236869.2,0.76
"BACLOFENO 10MG CPR",4441533,15000,DESCLASSIFICADO,COMP,5371.5,0.3581
"BENZILPENICILINA (1.200.000 UI)",4441541,26510,VENCEU,FR.,222684,8.4
"BENZILPENICILINA (600.000 UI)",4441542,8300,PERDEU,FR.,74534,8.98
"BENZILPENICILINA (PROCAÍNA 300.000 UI + POTÁSSIA 100.000 UI",4441543,3600,PERDEU,FR.,17343.72,4.8177
"BENZOATO DE BENZILA  25% 100 ML",4441544,450,PERDEU,FRA,1755,3.9
"BETAISTINA 24MG CPR",4441545,2000,DESCLASSIFICADO,COMP,651,0.3255
"BETAISTINA 8MG CPR",4441546,27000,DESCLASSIFICADO,COMP,7735.5,0.2865
"BETAMETASONA (DIPROPIONATO 5MG + FOSFATO DISSÓDICO 2MG) SOL",4441548,1700,DESCLASSIFICADO,AMP,7304.73,4.2969
"BETAMETASONA 0,1MG ELIXIR 120M L",4441549,45,DESCLASSIFICADO,FR.,270,6
"BETAMETASONA VALERATO  CREME 0,1% 30GR",4441550,100,PERDEU,TUB,557.29,5.5729
"Bicarbonato de Sódio 8,4% sol inj",4441552,600,DESCLASSIFICADO,AMP,382.8,0.638
"BIMATOPROSTA 0,03% SOL. OFTALMICA 3ML",4441553,100,DESCLASSIFICADO,FR.,2473.96,24.7396
"BIPERIDENO 2 MG",4441555,487000,DESCLASSIFICADO,COMP,116880,0.24
"BIPERIDENO 5 MG/ML SOL INJ. 1 ML",4441556,1100,DESCLASSIFICADO,AM,2291.63,2.0833
"BISOPROLOL 5MG CPR",4441560,60000,DESCLASSIFICADO,COMP,136434,2.2739
"BRIMONIDINA 0,15% 5ML SOL OFTALMICA",4441561,50,PERDEU,FRA,1659.5,33.19
"BRIMONIDINA 0,20% 5ML SOL OFTALMICA",4441562,550,DESCLASSIFICADO,FRA,3194.02,5.8073
"BROMAZEPAM 3MG  (blister CONTENDO 10 OU 15 comprimidos)",4441564,154100,PERDEU,COMP,14639.5,0.095
"BROMAZEPAM 6MG  (blister CONTENDO 10 OU 15 comprimidos)",4441565,30800,VENCEU,COMP,3264.8,0.106
"BROMETO DE IPRATROPIO 0,250MG/ML SOL INALAÇÃO 20ML",4441566,8380,PERDEU,FRA,5606.22,0.669
"BROMETO DE N-BUTIL ESCOPOLAMINA + DIPIRONA 10MG+250MG CPR",4441567,350000,DESCLASSIFICADO,COMP,147210,0.4206
"BROMETO DE N-BUTIL ESCOPOLAMINA + DIPIRONA 4MG+500MG SOL INJ",4441568,27230,PERDEU,AM,37228.86,1.3672
"BROMETO DE N-BUTIL ESCOPOLAMINA + DIPIRONA 6,67MG+333,4MG/ML",4441569,15500,DESCLASSIFICADO,FRA,100911.2,6.5104
"BROMETO DE N-BUTIL ESCOPOLAMINA 10MG CPR",4441570,300000,DESCLASSIFICADO,COMP,166020,0.5534
"BROMETO DE N-BUTIL ESCOPOLAMINA 20 MG SOL INJ. 1ML",4441571,14000,DESCLASSIFICADO,AM,17903.2,1.2788
"BUDESONIDA 32MCG AEROSSOL NASAL",4441575,300,DESCLASSIFICADO,FRA,5616,18.72
"BUDESONIDA 50MCG AEROSSOL NASAL.",4441576,2500,DESCLASSIFICADO,FR.,68750,27.5
