descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Cabo de Cobre Isol. PVC 0,6/1,0KV 6,0mm2",0,3190,CANCELADO," ",14004.1,4.39
"Cabo de Cobre Isol. PVC 0,6/1,0KV 10,0mm2",0,4900,CANCELADO," ",30674,6.26
"Cabo de Cobre Isol. PVC 0,6/1,0KV 16,0mm2",0,17500,CANCELADO," ",149275,8.53
"Cabo de Cobre Isol. PVC 0,6/1,0KV 25,0mm2",0,17700,CANCELADO," ",223374,12.62
"Cabo de Cobre Isol. PVC 0,6/1,0KV 70,0mm2",0,3240,CANCELADO," ",130928.4,40.41
"Cabo de cobre tipo PP 3 x #2,5mm² 0,6/1,0kV",0,3400,CANCELADO," ",11492,3.38
"Cabo de cobre nú, tipo bimetálico aço/cobre 16mm² p/ aterram",0,450,CANCELADO," ",3582,7.96
"Disj. Unipolar Termomagnético 32A IEC/DIN",0,6,CANCELADO," ",42.18,7.03
"Disj. Unipolar Termomagnético 50A IEC/DIN",0,7,CANCELADO," ",64.89,9.27
"Disj. Unipolar Termomagnético 50A IEC/DIN",0,5,CANCELADO," ",46.35,9.27
"Disj. Unipolar Termomagnético 80A IEC/DIN",0,11,CANCELADO," ",615.89,55.99
"Disj. Tripolar Termomagnético 40A IEC/DIN",0,6,CANCELADO," ",205.2,34.2
"Disj. Tripolar Termomagnético 80A IEC/DIN",0,2,CANCELADO," ",274.8,137.4
"Disj. Tripolar Termomagnético em caixa moldada 150A (40kA)",0,2,CANCELADO," ",514.18,257.09
"Disj. Tripolar Termomagnético em caixa moldada 200A (40kA)",0,1,CANCELADO," ",286.34,286.34
"Dispositivo de Proteção contra Surto (275V - 40kA)",0,4,CANCELADO," ",459.88,114.97
"Quadro de distribuição em chapa de aço  AxLxP (100x70x20)cm",0,2,CANCELADO," ",1304.48,652.24
"Quadro de distribuição em chapa de aço (40x40x12)cm",0,4,CANCELADO," ",662.16,165.54
"Eletroduto Corrugado 3/4",0,3600,CANCELADO," ",4644,1.29
"Eletroduto  Corrugado 2",0,7800,CANCELADO," ",23556,3.02
"Eletroduto Corrugado 3",0,800,CANCELADO," ",3560,4.45
"Caixa de passagem em concreto (50x50)cm c/ tampa",0,14,CANCELADO," ",925.4,66.1
"Caixa de passagem em concreto com tampa - 30X30cm",0,287,CANCELADO," ",7091.77,24.71
"Grampo estanhado para aterramento 5/8 x 3/4",0,300,CANCELADO," ",624,2.08
"Haste de aterramento tipo Copperweld 1,2m",0,300,CANCELADO," ",4608,15.36
"Terminal a compressão para cabo de cobre nú 16mm²",0,300,CANCELADO," ",366,1.22
"Luminária Pública (Tipo II/média) - ?90W ?150lm/W - 13500lm",0,143,CANCELADO," ",177902.01,1244.07
"Luminária Pública (Tipo II/média) - ?135W ?150lm/W - 20250lm",0,348,CANCELADO," ",541101.72,1554.89
"Luminária Pública (Tipo II/média) - ?54W ?150lm/W - 8100lm",0,15,CANCELADO," ",12065.4,804.36
"Projetor de LED (abertura 60°) - ?180W ?120lm/W - 21600lm",0,56,CANCELADO," ",57682.8,1030.05
"Projetor de LED (abertura 60°) - ?240W ?120lm/W - 28800lm",0,36,CANCELADO," ",48723.48,1353.43
"Luminária para monumento  LED RGB- ?150W Feixe Médio",0,5,CANCELADO," ",6029,1205.8
"Poste Concreto Circular 12m - 300daN",0,20,CANCELADO," ",29100,1455
"Cruzeta de Aço tubular - 2400mm - 400daN",0,20,CANCELADO," ",4793.4,239.67
"Cinta para poste circular 110 mm",0,20,CANCELADO," ",437.8,21.89
"Cinta para poste circular 120 mm",0,20,CANCELADO," ",448.4,22.42
"Sela para fixação da cruzeta ao poste",0,20,CANCELADO," ",204.4,10.22
"Parafuso para fixação Cabeça Abaulada 16 x 150 mm",0,20,CANCELADO," ",103.8,5.19
"Parafuso para fixação Cabeça Abaulada 16 x 125 mm",0,20,CANCELADO," ",100.4,5.02
"Parafuso para fixação CCabeça Quadrada 16 x 45 mm",0,20,CANCELADO," ",53.4,2.67
"Mão Francesa Perfilada de 726 mm, reforçada.",0,20,CANCELADO," ",560.6,28.03
"Poste ferro galvanizado á fogo com pintura poliéster, 11m",0,87,CANCELADO," ",133253.55,1531.65
