descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Apontador de lápis em plástico",4382469,500,DESCLASSIFICADO,CX,2720,5.44
"Borracha  branca escolar",4382471,200,DESCLASSIFICADO,CX,2994,14.97
"Caixa de arquivo morto.",4382474,1000,PERDEU,UND,2580,2.58
"Caixa em papelão para arquivo morto.",4382475,1000,DESCLASSIFICADO,UND,1890,1.89
"Caneta ponta esférica cor azul",4382477,300,DESCLASSIFICADO,CX,5757,19.19
"Caneta ponta esférica cor Vermelha",4382478,30,PERDEU,CX,575.7,19.19
"clips para papel tamanho 2/0",4382481,1200,PERDEU,CX,1200,1
"clips para papel tamanho 8/0",4382482,500,PERDEU,CX,500,1
"COLA BRANCA",4382483,300,DESCLASSIFICADO,KG,4137,13.79
"Cola Branca não toxica",4382484,6000,DESCLASSIFICADO,UND,13440,2.24
"Fita adesiva em papel crepado",4382485,1000,VENCEU,UND,2940,2.94
"Folha de Isopor 1,5 mm",4382487,50,PERDEU,FL,93.5,1.87
"Folha de Isopor 2,5 mm",4382488,50,PERDEU,FL,151,3.02
"Guache Cores básicas",4382495,3000,DESCLASSIFICADO,UND,11790,3.93
"Lápis colorido.",4382496,2000,DESCLASSIFICADO,CX,19840,9.92
"Lápis colorido.",4382497,6000,DESCLASSIFICADO,CX,59520,9.92
"Lápis preto de grafite nº 2.",4382498,1000,DESCLASSIFICADO,CX,77160,77.16
"Lápis preto grafite 6B",4382499,150,PERDEU,CX,3196.5,21.31
"Massa de modelar macia",4382501,4000,DESCLASSIFICADO,CX,6000,1.5
"papel cartão 180 Gr/m2",4382503,15000,PERDEU,UND,10950,0.73
"PAPEL CERA",4382504,500,PERDEU,UND,155,0.31
"PAPEL DUPLEX",4382505,10000,PERDEU,UND,6100,0.61
"Papel Off-Set",4382506,225,DESCLASSIFICADO,CX,44977.5,199.9
"Papel Off-Set",4382507,675,DESCLASSIFICADO,CX,134932.5,199.9
"Pasta Polionda Média",4382509,450,PERDEU,UND,810,1.8
"PINCEL ATOMICO",4382511,4000,DESCLASSIFICADO,UND,9160,2.29
"Pincel chato - numero 12",4382512,800,DESCLASSIFICADO,UND,2104,2.63
"Pincel chato - numero 8",4382513,800,DESCLASSIFICADO,UND,1664,2.08
"PINCEL PARA QUADRO BRANCO",4382514,500,DESCLASSIFICADO,UND,2865,5.73
"Tecido não tecido  TNT gramatura 40/45g rolos de 580 metros",4382517,10,PERDEU,RL,471,47.1
