descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"CALÇA OPERACIONAL (MASCULINA) TECIDO RIP STOP) Nº 40 à Nº 60",0,500,CANCELADO," ",53769.97,107.53994
"CALÇA OPERACIONAL (FEMININA) (TECIDO RIP STOP) Nº 36 à Nº 54",0,30,CANCELADO," ",534.96,17.832
"CAMISA OPERACIONAL (MASCULINA) (TECIDO RIP STOP) Nº 2 à Nº 7",0,500,CANCELADO," ",48816.1,97.6322
"CAMISA OPERACIONAL (FEMININA) (TECIDO RIP STOP) Nº 1 à Nº 6",0,30,CANCELADO," ",2928.97,97.6322
"Cobertura operacional (tecido rip stop) P, M, G E GG",0,500,CANCELADO," ",21436.93,42.87386
"GORRO SEM PALA (Bibico) SEM FILETE: Nº 54 ao nº 62",0,30,CANCELADO," ",1162.07,38.7357
"Bota comando Nº 35 à Nº 46",0,500,PERDEU," ",204445,408.89
"CALÇÃO BEGE (SEM LISTRA) M ao XG",0,300,CANCELADO," ",9890,32.96667
"Insígnia de tecido op. cáqui  (tecido rip stop) de Sd 2ª Cla",0,500,PERDEU," ",6910,13.82
"Medalha de metal (brasão de mérito) branca, vermelha ou verd",0,200,PERDEU," ",1900,9.5
"Insígnia em metal para Bibico: de Sub Ten à Cap",0,50,PERDEU," ",750,15
"Insígnia em metal para Bibico: de Sd 1ª Classe  à 1º Sgt",0,100,PERDEU," ",700,7
