descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Apagador para Quadro Branco.",4382467,150,VENCEU,UND,1072.5,7.15
"Apagador quadro negro escolar",4382468,300,PERDEU,UND,870,2.9
"Apontador de lápis em plástico",4382469,500,DESCLASSIFICADO,CX,6150,12.3
"Bastão de Cola Quente Grosso",4382470,500,PERDEU,UND,245,0.49
"Borracha  branca escolar",4382471,200,DESCLASSIFICADO,CX,2530,12.65
"Caderno espiral universitário capa dura 10 matérias",4382472,300,DESCLASSIFICADO,UND,2745,9.15
"Caderno Pequeno brochura não reciclado",4382473,5000,VENCEU,UND,3950,0.79
"Caixa de arquivo morto.",4382474,1000,PERDEU,UND,2570,2.57
"Caixa em papelão para arquivo morto.",4382475,1000,VENCEU,UND,1200,1.2
"Caneta destaca texto.",4382476,50,PERDEU,CX,518.5,10.37
"Caneta ponta esférica cor azul",4382477,300,VENCEU,CX,4935,16.45
"Caneta ponta esférica cor Vermelha",4382478,30,VENCEU,CX,491.7,16.39
"Cartolina com gramatura mínima 180/gm2",4382479,1300,VENCEU,PCT,48750,37.5
"CARTOLINA TAMANHO OFICIO",4382480,17000,VENCEU,UND,1870,0.11
"clips para papel tamanho 2/0",4382481,1200,VENCEU,CX,1140,0.95
"clips para papel tamanho 8/0",4382482,500,VENCEU,CX,475,0.95
"COLA BRANCA",4382483,300,DESCLASSIFICADO,KG,3804,12.68
"Cola Branca não toxica",4382484,6000,DESCLASSIFICADO,UND,14400,2.4
"Fita adesiva em papel crepado",4382485,1000,DESCLASSIFICADO,UND,3990,3.99
"Fita adesiva plastica transparente",4382486,1500,DESCLASSIFICADO,UND,2460,1.64
"Folha de Isopor 1,5 mm",4382487,50,VENCEU,FL,94,1.88
"Folha de Isopor 2,5 mm",4382488,50,VENCEU,FL,150,3
"Folha em EVA",4382489,10000,VENCEU,UND,9400,0.94
"Giz branco plastificado",4382490,2000,VENCEU,CX,3900,1.95
"Giz colorido plastificado",4382491,2000,VENCEU,CX,4200,2.1
"GIZ DE CERA",4382492,350,VENCEU,UND,3920,11.2
"Grampeador médio de mesa metálico 26/6",4382493,150,DESCLASSIFICADO,UND,1845,12.3
"Grampo para grampeador em aço galvanizado 26/6",4382494,400,VENCEU,CX,936,2.34
"Guache Cores básicas",4382495,3000,PERDEU,UND,9720,3.24
"Lápis colorido.",4382496,2000,VENCEU,CX,8760,4.38
"Lápis colorido.",4382497,6000,VENCEU,CX,26280,4.38
"Lápis preto de grafite nº 2.",4382498,1000,PERDEU,CX,21600,21.6
"Lápis preto grafite 6B",4382499,150,PERDEU,CX,1777.5,11.85
"Maleta organizadora",4382500,20,PERDEU,UND,658,32.9
"Massa de modelar macia",4382501,4000,DESCLASSIFICADO,CX,5760,1.44
"Papel Almaço com pauta e margem",4382502,80,VENCEU,RES,2000,25
"papel cartão 180 Gr/m2",4382503,15000,VENCEU,UND,9450,0.63
"PAPEL CERA",4382504,500,VENCEU,UND,110,0.22
"PAPEL DUPLEX",4382505,10000,VENCEU,UND,5700,0.57
"Papel Off-Set",4382506,225,VENCEU,CX,34087.5,151.5
"Papel Off-Set",4382507,675,PERDEU,CX,102600,152
"PAPEL PARDO KRAFT",4382508,500,VENCEU,RL,28950,57.9
"Pasta Polionda Média",4382509,450,PERDEU,UND,918,2.04
"Perfurador 2 furos para ate 20 folhas.",4382510,90,PERDEU,UND,899.1,9.99
"PINCEL ATOMICO",4382511,4000,DESCLASSIFICADO,UND,7960,1.99
"Pincel chato - numero 12",4382512,800,PERDEU,UND,1072,1.34
"Pincel chato - numero 8",4382513,800,PERDEU,UND,1008,1.26
"PINCEL PARA QUADRO BRANCO",4382514,500,VENCEU,UND,650,1.3
"Pistola p/ Cola Quente elétrico",4382515,90,DESCLASSIFICADO,UND,799.2,8.88
"Régua escritório.",4382516,3500,DESCLASSIFICADO,UND,3640,1.04
"Tecido não tecido  TNT gramatura 40/45g rolos de 580 metros",4382517,10,VENCEU,RL,428,42.8
"Tesoura de ponta arredondada",4382518,1000,PERDEU,UND,1620,1.62
"Tesoura Doméstica",4382519,700,PERDEU,UND,3241,4.63
