descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"ABRACADEIRA 3/4 CZ",0,2000,VENCEU," ",2160,1.08
"ADAPTADOR  3/4",0,3000,VENCEU," ",1620,0.54
"ARRUELA LISA  1/4.",0,10000,VENCEU," ",800,0.08
"BUCHA DE PVC N. 06.",0,10000,VENCEU," ",800,0.08
"C.D.  SOBR.  P/18 DISJ. NEMA 24 DIN",0,30,VENCEU," ",2842.5,94.75
"CABO FLEX 750V-   1,50MM-AZUL.",0,15000,VENCEU," ",10950,0.73
"CABO FLEX 750V-   1,50MM-BRANCO",0,15000,VENCEU," ",10950,0.73
"CABO FLEX 750V-   1,50MM-PRETO.",0,15000,VENCEU," ",10950,0.73
"CABO FLEX 750V-   1,50MM-VERDE.",0,15000,VENCEU," ",10950,0.73
"CABO FLEX 750V-   2,50MM-AZUL.",0,20000,VENCEU," ",22800,1.14
"CABO FLEX 750V-   2,50MM-PRETO.",0,20000,VENCEU," ",22800,1.14
"CABO FLEX 750V-   2,50MM-VERDE.",0,20000,VENCEU," ",22800,1.14
"CABO FLEX 750V-   2,50MM-VERMELHO.",0,20000,VENCEU," ",22800,1.14
"CABO FLEX 750V-   4,00MM-AZUL",0,10000,VENCEU," ",19500,1.95
"CABO FLEX 750V-   4,00MM-PRETO",0,10000,VENCEU," ",19500,1.95
"CABO FLEX 750V-   4,00MM-VERDE",0,10000,VENCEU," ",19500,1.95
"CABO FLEX 750V-   4,00MM-VERMEHO",0,10000,VENCEU," ",19500,1.95
"CABO FLEX 750V-   6,00MM-AZUL",0,8000,VENCEU," ",22000,2.75
"CABO FLEX 750V-   6,00MM-PRETO",0,8000,VENCEU," ",22000,2.75
"CABO FLEX 750V-   6,00MM-VERDE",0,8000,VENCEU," ",22000,2.75
"CABO SINT. 1KV 10,0MM-AZUL",0,5000,VENCEU," ",22000,4.4
"CABO SINT. 1KV 10,0MM-PRETO",0,5000,VENCEU," ",22000,4.4
"CABO SINT. 1KV 16,0MM-AZUL",0,4000,VENCEU," ",32480,8.12
"CABO SINT. 1KV 16,0MM-PRETO",0,4000,VENCEU," ",32480,8.12
"Cabo sint. 1kv 25,0mm-azul",0,2000,VENCEU," ",26420,13.21
"Cabo sint. 1kv 25,0mm-preto",0,2000,VENCEU," ",26420,13.21
"Cabo sint. 1kv 35,0mm-azul",0,1500,VENCEU," ",26370,17.58
"Cabo sint. 1kv 35,0mm-preto",0,1500,VENCEU," ",26370,17.58
"CAIXA 4 X 2 UNIVERSAL  BRANCA",0,100,VENCEU," ",383,3.83
"Caixa ar lig com disjuntor 20a",0,100,VENCEU," ",2382,23.82
"CAIXA BOX  240 X 190 X  90",0,30,VENCEU," ",1232.1,41.07
"CAIXA INSPECAO PVC 32 X 40 GRANDE",0,150,VENCEU," ",1927.5,12.85
"CAIXA MONOFASICA ACESSO DPS DISJ",0,30,VENCEU," ",2371.8,79.06
"CAIXA PADRAO BRANCO",0,450,VENCEU," ",873,1.94
"CAIXA POLIWETZEL 1/2-3/4",0,600,VENCEU," ",1758,2.93
"CAIXA TRIF. 6 ACESSO DPS E DISJUNTOR",0,30,VENCEU," ",3315.9,110.53
"CALHA FLUORESCENTE  1 X 40",0,800,VENCEU," ",10544,13.18
"CALHA FLUORESCENTE  2 X 20",0,400,VENCEU," ",3996,9.99
"CALHA FLUORESCENTE 2X40WC/SUPORTE",0,1200,VENCEU," ",29376,24.48
"CANALETA BRANCA  20X10X2,00 361E/SD",0,1200,VENCEU," ",6468,5.39
"CANALETA BRANCA  50X20X2,00",0,400,VENCEU," ",8640,21.6
"CANO GALV. FOGO 2  NBR5598",0,250,VENCEU," ",10752.5,43.01
"CHAVE VELOCIDADE OSCILANTE EXT.",0,100,VENCEU," ",2380,23.8
"CONECTOR P/HASTE TERRA",0,120,VENCEU," ",362.4,3.02
"CONTATOR 220V  25A AZUL",0,10,VENCEU," ",1330.8,133.08
"CRUZETA DE CONCRETO  2,40 MTS  400 DAN",0,25,VENCEU," ",4217.5,168.7
"CURVA DE PVC 90 2",0,150,VENCEU," ",397.5,2.65
"Fita isolante 20mts amarelo homol. Celesc",0,50,VENCEU," ",255,5.1
"Fita isolante 20mts azul homol. Celesc",0,50,VENCEU," ",255,5.1
"Fita isolante 20mts branca homol. Celesc",0,50,VENCEU," ",255,5.1
"Fita isolante 20mts vermelho homol. Celesc",0,50,VENCEU," ",255,5.1
"Fita isolante p-22-20mts-preto homol. Celesc",0,350,VENCEU," ",1785,5.1
"HASTE TER.COBRE 2,40MT X5/8-DUPLA CAMADA",0,200,VENCEU," ",7978,39.89
"INTER. ART BCA-1 TEC-SIM.C/TOMADA",0,500,VENCEU," ",4230,8.46
"INTER. ART BCA-1 TEC-SIMPLES",0,500,VENCEU," ",2010,4.02
"INTER. ART BCA-2 TEC-SIMPLES",0,500,VENCEU," ",3735,7.47
"L/E INTER. 1 TEC. SIMP.C/TOM JUN",0,500,VENCEU," ",6450,12.9
"L/E INTER. 1 TEC. SIMPLES",0,800,VENCEU," ",4536,5.67
"L/E TOMADA 2P+T 10A",0,1000,VENCEU," ",7470,7.47
"Lampada bulbo led 35w 220v",0,300,VENCEU," ",15567,51.89
"Lampada bulbo led 42w 220v",0,300,VENCEU," ",20388,67.96
"Lâmpada Bulbo LED 75W - E27",0,120,VENCEU," ",11898,99.15
"LAMPADA FLUORESCENTE  20W",0,800,VENCEU," ",5952,7.44
"Lâmpada fluorescente  40w",0,1500,VENCEU," ",11700,7.8
"Lampada led tubular 18w 6500k selo procel",0,2500,VENCEU," ",41350,16.54
"Lampada led tubular 9w 6500k selo procel",0,1200,VENCEU," ",17808,14.84
"Lampada vapor sodio  250w e40 selo procel",0,50,VENCEU," ",1835,36.7
"Luminaria blindada 2x40w ip 66",0,60,VENCEU," ",4474.8,74.58
"Luminaria led de iluminação publica100w  Homologada no inmet",0,50,VENCEU," ",64168.5,1283.37
"luva de pvc 2",0,180,VENCEU," ",262.8,1.46
"MINI DISJUNTOR 1P  16A",0,200,VENCEU," ",1114,5.57
"MINI DISJUNTOR 1P  25A",0,150,VENCEU," ",835.5,5.57
"Mini disjuntor 1p  32a",0,150,VENCEU," ",835.5,5.57
"MINI DISJUNTOR 1P  40A",0,150,VENCEU," ",903,6.02
"MINI DISJUNTOR 3P  50A",0,150,VENCEU," ",4999.5,33.33
"MINI DISJUNTOR 3P 100A",0,150,VENCEU," ",25101,167.34
"Padrao de entrada compl. Mono instalado",0,20,VENCEU," ",29301,1465.05
"Padrao de entrada compl. Trif. Instalado",0,20,VENCEU," ",36805.2,1840.26
"PARAFUSO  AA  3,9 X 32  CAB.PANELA",0,1500,VENCEU," ",345,0.23
"PEVEDUTO  (63)      2",0,800,VENCEU," ",2144,2.68
"poste de concreto duplo t 11/300",0,10,VENCEU," ",9394.6,939.46
"POSTE METALICO GF 9 METROS LIVRE",0,10,VENCEU," ",9919.2,991.92
"Programador horario digital din 220v",0,50,VENCEU," ",3742.5,74.85
"Protetor de surto 40ka 440v",0,90,VENCEU," ",3102.3,34.47
"Reator eletronico 1x40w af 220v",0,300,VENCEU," ",9000,30
"Reator eletronico 2x20w af 220v",0,200,VENCEU," ",6954,34.77
"REATOR ELETRONICO 2X40W AF 220V",0,400,VENCEU," ",12960,32.4
"REATOR V.SOD 250W AF EXT.PINT.",0,34,VENCEU," ",3394.9,99.85
"REFLETOR  400W  FUNDIDO E40 BEGE",0,35,VENCEU," ",289.8,8.28
"RELE FOTOELETRICO",0,50,VENCEU," ",1035.5,20.71
"Sirene 220v alcance 300mts",0,30,VENCEU," ",5276.7,175.89
"SOQUETE P/FL. ANTIVIB.",0,1500,VENCEU," ",12000,8
"TOMADA ARTIS BCA 2P+T",0,250,VENCEU," ",1240,4.96
"TOMADA ARTIS BCA 3P  20A",0,77,VENCEU," ",495.11,6.43
"Torneira elétrica 220v 7800w giratória br.",0,30,VENCEU," ",3742.8,124.76
"Transformador trifasico 75kva 220v marca Homologada na celes",0,5,VENCEU," ",31166.05,6233.21
"TUBO ELETR. PVC 2  X 3.00MT",0,110,VENCEU," ",1127.5,10.25
"TUBO ELETR. S/ROSCA CZ 3/4",0,170,VENCEU," ",1742.5,10.25
"VENTILADOR OSCILANTE PRETO 60CM 220V",0,250,VENCEU," ",51960,207.84
