descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Apagador para Quadro Branco.",4388953,400,VENCEU,UND,2080,5.2
"Adesivo de contato",4388954,30,VENCEU,UND,183,6.1
"Apagador quadro negro escolar",4388955,600,VENCEU,UND,1650,2.75
"Apontador com depósito retangular",4388956,700,DESCLASSIFICADO,CX,10465,14.95
"Aquarelas com paleta com 12 cores",4388957,1000,VENCEU,CX,4800,4.8
"Avental escolar",4388958,1000,PERDEU,UND,9780,9.78
"Barbante na cor amarelo",4388959,50,PERDEU,UND,514.5,10.29
"Barbante na cor avermelho",4388960,50,PERDEU,UND,514.5,10.29
"Barbante na cor azul marinho",4388961,50,PERDEU,UND,514.5,10.29
"Barbante na cor cru",4388962,50,DESCLASSIFICADO,RL,575,11.5
"Barbante na cor marron",4388963,50,PERDEU,UND,514.5,10.29
"Bastão de Cola Quente Grosso 11,2 mmx30cm",4388964,8000,DESCLASSIFICADO,PCT,5520,0.69
"Bastão de Cola Quente Grosso 7 mm mmx30cm",4388965,1000,VENCEU,UND,240,0.24
"Bloco Adesivo Puxa Fácil",4388966,200,PERDEU,UND,1360,6.8
"Bloco de Papel para desenho na cor branca formato A3",4388967,1820,PERDEU,BLOC,8990.8,4.94
"Borracha  branca escolar",4388968,200,DESCLASSIFICADO,CX,1500,7.5
"Caderno Brochurão com capa Flexível",4388969,10000,VENCEU,UND,20600,2.06
"Caderno espiral universitário capa dura 08 matérias",4388970,400,PERDEU,UND,2996,7.49
"Caderno Pequeno brochura não reciclado",4388971,5000,PERDEU,UND,4200,0.84
"Cadernos De Cifras E Partituras",4388972,120,VENCEU,UND,2340,19.5
"Caixa de arquivo morto.",4388973,2000,DESCLASSIFICADO,UND,6960,3.48
"Caixa organizadora de plástico baixa 8,6 litros",4388974,200,INABILITADO,UND,3196,15.98
"Caixa organizadora de Plástico 50 litros",4388975,200,CANCELADO,UND,8580,42.9
"Caixa organizadora extra grande",4388976,1000,VENCEU,UND,25900,25.9
"CANETA PARA RETROPROJETOR",4388977,10,PERDEU,UND,19.9,1.99
"Caneta para tecido",4388978,300,DESCLASSIFICADO,CX,7170,23.9
"Canetas hidrográficas",4388979,200,CANCELADO,UND,474,2.37
"Cartolina tamanho ofício.",4388980,10000,DESCLASSIFICADO,PCT,5200,0.52
"Carvão vegetal para desenho",4388981,700,DESCLASSIFICADO,CX,41300,59
"Clips tamanho 2/0 caixa com 100 unidades",4388982,1200,PERDEU,CX,1704,1.42
"Clips tamanho 8/0 caixa com 25  unidades",4388983,600,DESCLASSIFICADO,CX,900,1.5
"Cola Branca 1 kg a base de PVA",4388984,1200,CANCELADO,UND,11268,9.39
"Cola Branca 100g",4388985,2000,CANCELADO,UND,3340,1.67
"Cola instantânea",4388986,150,DESCLASSIFICADO,CX,1035,6.9
"Compasso escolar",4388987,1820,VENCEU,UND,8099,4.45
"Esquadro  em poliestireno cristal  26x45",4388988,1820,VENCEU,UND,3385.2,1.86
"Esquadro  em poliestireno cristal 26x60",4388989,1820,VENCEU,UND,3112.2,1.71
"Esquadro em poliestireno cristal 21x45",4388990,1820,PERDEU,UND,3094,1.7
"Estilete recarregável.",4388991,200,DESCLASSIFICADO,UND,2900,14.5
"Fita adesiva em papel crepado",4388992,3000,DESCLASSIFICADO,UND,11970,3.99
"Folha em EVA 600x400x2mm",4388993,1000,PERDEU,UND,1020,1.02
"Giz branco plastificado",4388994,1000,DESCLASSIFICADO,CX,2480,2.48
"Giz colorido plastificado",4388995,1000,DESCLASSIFICADO,CX,3100,3.1
"Giz de cera pastel a óleo",4388996,580,DESCLASSIFICADO,UND,7656,13.2
"Giz de cera, grosso e curto",4388997,5000,DESCLASSIFICADO,CX,11750,2.35
"Globo terrestre",4388998,50,DESCLASSIFICADO,UND,5950,119
"Grafite para compasso 2 mm",4388999,1000,PERDEU,CX,900,0.9
"Grampeador médio de mesa metálico, 26/6",4389000,150,VENCEU,UND,1372.5,9.15
"Grampo para grampeador em aço galvanizado, 26/6",4389001,400,PERDEU,CX,1000,2.5
"Lápis colorido.",4389002,1000,DESCLASSIFICADO,CX,8220,8.22
"Lápis de cor aquarelável 12 cores",4389003,1200,DESCLASSIFICADO,CX,11880,9.9
"Lápis preto de grafite nº 2.",4389004,500,DESCLASSIFICADO,CX,17500,35
"Lupa De Aumento",4389005,1820,PERDEU,UND,12558,6.9
"Massa de modelar",4389006,5000,DESCLASSIFICADO,CX,8200,1.64
"papel celofane",4389007,1000,PERDEU,UND,600,0.6
"PAPEL CREPOM",4389008,300,DESCLASSIFICADO,UND,234,0.78
"Papel Off-Set, alcalino, formato A-4",4389009,300,DESCLASSIFICADO,CX,51900,173
"Papel Pardo Kraft  natura",4389010,200,PERDEU,RL,21300,106.5
"Papelão Paraná",4389011,100,PERDEU,PCT,5898,58.98
"Pasta L",4389012,50,DESCLASSIFICADO,PCT,395,7.9
"PINCEL ATOMICO",4389013,1000,DESCLASSIFICADO,UND,1480,1.48
"Pincel Marcador para Vidro",4389014,500,PERDEU,UND,1300,2.6
"Pincel para Quadro Branco Recarregável",4389015,2000,DESCLASSIFICADO,UND,3860,1.93
"Pistola p/ Cola Quente elétrico 11,2 mm x 30 cm",4389016,100,DESCLASSIFICADO,UND,1404,14.04
"Pistola p/ Cola Quente elétrico 7 mm x 30 cm",4389017,100,DESCLASSIFICADO,UND,1099,10.99
"Reabastecedor de Pincel para Quadro Branco",4389018,150,CANCELADO,UND,499.5,3.33
"Régua de alumínio 30 cm",4389019,1820,DESCLASSIFICADO,UND,5132.4,2.82
"Régua escritório, material acrílico/plástico",4389020,300,PERDEU,UND,345,1.15
"Régua Geométrica escolar",4389021,1820,VENCEU,UND,2256.8,1.24
"Tecido não tecido  TNT gramatura 40/45g rolos de 580 metros",4389022,20,DESCLASSIFICADO,RL,990,49.5
"Tesoura de picotar",4389023,100,DESCLASSIFICADO,UND,3131,31.31
"Tesoura de ponta arredondada",4389024,4000,VENCEU,UND,5280,1.32
"Tesoura Doméstica",4389025,100,DESCLASSIFICADO,UND,499,4.99
"Tinta Nanquin",4389026,100,DESCLASSIFICADO,UND,192,1.92
"Tinta PVA para artesanato",4389027,100,DESCLASSIFICADO,UND,620,6.2
"Tinta relevo dimensional c/6",4389028,200,INABILITADO,UND,1410,7.05
"Tinta universal para marcadores de quadro branco",4389029,400,DESCLASSIFICADO,UND,29480,73.7
"Transferidor 360º",4389030,1820,VENCEU,UND,1710.8,0.94
