descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"COLETE EQUILIBRADOR PARA MERGULHO",4389537,4,PERDEU,UND,5940,1485
"FACA PARA MERGULHO COM LÂMINA DE APROXIMADAMENTE 8,5 CM",4389538,6,VENCEU,UND,504,84
"FACA PARA MERGULHO COM LÂMINA DE APROXIMADAMENTE 10 CM",4389539,6,VENCEU,UND,548.04,91.34
"LANTERNA PARA MERGULHO",4389541,4,VENCEU,UND,1540,385
"NADADEIRA ABERTA PARA MERGULHO",4389543,6,VENCEU,UND,1230.9,205.15
"NADADEIRA  PARA MERGULHO",4389544,20,VENCEU,UND,4140,207
"COLETE COM CAPUZ PARA MERGULHO 3 MM",4389545,20,PERDEU,UND,4182.4,209.12
"MEIA EM NEOPRENE 3MM",4389546,8,PERDEU,UND,472,59
"LUVA PARA MERGULHO",4389547,12,PERDEU,UND,912,76
"BOTA PARA MERGULHO",4389548,20,PERDEU,UND,3980,199
"REGULADOR DE 2o ESTÁGIO COMPACTO + LP 02",4389549,12,PERDEU,UND,4788,399
"REGULADOR DE 1° ESTAGIO - PISTÃO SIMPLES",4389550,12,PERDEU,UND,8400,700
"SNORKEL PARA MERGULHO EM PVC PRETO E BOCAL EM SILICONE",4389552,12,DESCLASSIFICADO,UND,636,53
"BOLSA PARA MERGULHO",4389553,16,VENCEU,UND,1920,120
"KIT DIVE TOOL DE INOX",4389554,2,PERDEU,UND,218,109
"CINTO PARA LASTRO COM FIVELA EM INOX",4389555,12,PERDEU,UND,420,35
"BOTA DE BORRACHA PARA PROTEÇÃO DE CILINDRO S80",4389560,20,VENCEU,UND,1460,73
