descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"AAS - ACIDO ACETILSALICILICO TAMPONADO 100MG",4441458,18000,PERDEU,COMP,9540,0.53
"AAS - ACIDO ACETILSALICILICO TAMPONADO 100MG MICROEMCAPSULAD",4441459,2000,PERDEU,CAPS,1040,0.52
"AAS - ACIDO ACETILSALICILICO TAMPONADO 200MG",4441460,2300,DESCLASSIFICADO,COMP,1564,0.68
"AAS - ACIDO ACETILSALICILICO TAMPONADO 325MG",4441461,5000,DESCLASSIFICADO,COMP,4950,0.99
"AAS - ACIDO ACETILSALICILICO TAMPONADO 81MG",4441462,15000,DESCLASSIFICADO,COMP,5550,0.37
"ACEBROFILINA 50MG/5ML",4441464,15600,PERDEU,FRA,74100,4.75
"ACETATO DE NORETISTERONA + ESTRADIOL 0,5-1MG",4441466,40000,DESCLASSIFICADO,COMP,36000,0.9
"ACIDO URSODESOXICÓLICO 150MG CPR",4441479,1500,DESCLASSIFICADO,COMP,6000,4
"ACIDO URSODESOXICÓLICO 300MG CPR",4441480,1500,DESCLASSIFICADO,COMP,11250,7.5
"ALENDRONATO SÓDICO 70MG CPR",4441497,151280,DESCLASSIFICADO,COMP,31768.8,0.21
"AMINAFTONA 75MG",4441506,7000,PERDEU,COMP,8330,1.19
"AMISULPRIDA 200MG- (Referência SOCIAN 200MG- judicial)",4441514,5000,DESCLASSIFICADO,COMP,47500,9.5
"AMOXICILINA + CLAVULANATO DE POTASSIO 250MG + 62,5MG/5ML  SU",4441517,40675,DESCLASSIFICADO,FR.,528775,13
"AMOXICILINA 500MG + ÁCIDO CLAVULCÂNICO 125MG",4441520,762850,DESCLASSIFICADO,COMP,717079,0.94
"ATORVASTATINA 10MG CPR",4441527,23600,VENCEU,COMP,4484,0.19
"ATORVASTATINA 20MG CPR",4441528,30000,PERDEU,COMP,6300,0.21
"BAMIFILINA 300MG CPR",4441534,3500,DESCLASSIFICADO,COMP,4970,1.42
"BAMIFILINA 600MG CPR",4441535,3500,DESCLASSIFICADO,COMP,7875,2.25
"BECLOMETASONA 200MCG SPRAY- AEROSOL ORAL",4441538,100,PERDEU,FR.,6500,65
"BETAISTINA 24MG CPR",4441545,2000,DESCLASSIFICADO,COMP,540,0.27
"BIMATOPROSTA+TIMOLOL 0,03+0,5% 3ML",4441554,60,VENCEU,FRA,5289,88.15
"BRIMONIDINA 0,15% 5ML SOL OFTALMICA",4441561,50,DESCLASSIFICADO,FRA,4000,80
"BRINZOLAMIDA 1% 5ML SOL OFTALMICA",4441563,230,VENCEU,FRA,14490,63
"BUDESONIDA 32MCG AEROSSOL NASAL",4441575,300,DESCLASSIFICADO,FRA,3300,11
"BUDESONIDA 50MCG AEROSSOL NASAL.",4441576,2500,DESCLASSIFICADO,FR.,65000,26
