nomeEntidade,numeroProcesso,anoProcesso,numeroLicitacao,anoLicitacao,dataPublicacao,objeto,modalidade,tipoObjeto,formaJulgamento,dataHomologacao,situacao,adesao,atasRegistroPrecos,cidadeCertame,contratos,dataAberturaEnvelopes,dataAnulacao,dataCriacao,dataJulgamento,dataRevogacao,despesas,documentosRelacionados,emailContato,empenhos,enderecoCertame,enderecoEntrega,estadoCertame,formaContratacao,"inicioRecebimentoEnvelopes",itensVencedores,meioDivulgacao,motivoAnulacao,motivoRevogacao,nomeContato,participantes,registroPrecos,telefoneContato,"terminoRecebimentoEnvelopes",fundamentoLegal,valorEstimado,valorHomologado
"FUNDAÇÃO MUNICIPAL DE ESPORTES DE CRICIÚMA",2,2020,2,2020,2020-02-17,"O presente edital tem por objetivo a contratação de empresa especializada, para o fornecimento de refeições (café, almoço, lanche e janta), a serem servidas para os atletas, comissão técnica e demais funcionários, quando da participação em campeonatos, em atendimento a Fundação Municipal de Esportes do município de Criciúma/SC.","Pregão presencial","Compras e Serviços","MENOR PRECO GLOBAL",2020-03-04,Homologado," "," ",Criciúma,"contratos_7950fe86-9802-4cf2-977a-cc23fc09205b.csv",2020-03-04T09:00:00Z," ",2020-02-17,2020-03-04," ","despesas_0253e25f-2893-4468-bb81-7ffcd6b9177d.csv","documentosRelacionados_7c344708-f009-4a35-835b-de8bc96cb9d4.csv"," "," "," "," ",SC,Licitação,2020-03-04T08:00:00Z,"itensVencedores_fb8d53ce-21e3-4c76-9822-4bb355f4fff7.csv","Mural Público"," "," ","NELI SEHNEM DOS SANTOS","participantes_1dede97e-8ffc-4a24-a1af-091a1f905e67.csv",NÃO," ",2020-03-04T09:00:00Z," "," "," "
"FUNDAÇÃO MUNICIPAL DE ESPORTES DE CRICIÚMA",3,2020,3,2020,2020-02-26,"Aquisição de troféus e medalhas para a premiação de atletas participantes de competições organizadas pela Fundação Municipal de Esportes de Criciúma/SC.","Pregão presencial","Compras e Serviços","MENOR PRECO POR ITEM",2020-03-13,Revogada," "," ",Criciúma," ",2020-03-12T09:00:00Z," ",2020-02-21,2020-03-12,2020-10-16,"despesas_8035aa8f-8d33-492b-86aa-f904b7282fb8.csv","documentosRelacionados_9423daf0-55f6-4e72-8585-7e0cb2ab84d0.csv"," "," "," "," ",SC,Licitação,2020-03-12T08:00:00Z,"itensVencedores_6b16a631-f519-4658-914f-9e317ed5ada0.csv",Internet," ","CONSIDERANDO a justificativa contida no memorando 320/2020 expedido Fundação da Fundação Municipal de Esportes de Criciúma, em anexo.","NELI SEHNEM DOS SANTOS","participantes_2e6d18b8-a434-4db8-a4d5-2bbcf294122e.csv",NÃO," ",2020-03-12T08:00:00Z," "," "," "
"FUNDAÇÃO MUNICIPAL DE ESPORTES DE CRICIÚMA",4,2020,4,2020,2020-02-21,"Contratação de empresa especializada, para a execução dos serviços de transportes, quando da participação em campeonatos oficiais, amistosos e outros eventos, em atendimento a Fundação Municipal de Esportes - FME.","Pregão presencial","Compras e Serviços","MENOR PRECO POR ITEM",2020-03-17,Homologado," "," ",Criciúma,"contratos_13174466-3ba4-4551-8e3b-f9e71c842376.csv",2020-03-12T10:30:00Z," ",2020-02-21,2020-03-12," ","despesas_4ab23157-5079-4904-a367-f131fcf2a62c.csv","documentosRelacionados_74e430d1-4eda-406d-bced-397875fed651.csv"," "," "," "," ",SC,Licitação,2020-03-12T08:00:00Z,"itensVencedores_f4862443-d64a-46bf-9535-375d47be0a12.csv","Mural Público"," "," ","NELI SEHNEM DOS SANTOS","participantes_dfc67dd0-e266-403b-ba8b-f1eab6b1477a.csv",NÃO," ",2020-03-12T10:30:00Z," "," "," "
"FUNDAÇÃO MUNICIPAL DE ESPORTES DE CRICIÚMA",7,2020,7,2020,2020-10-29,"O presente edital tem por objetivo a contratação de empresa especializada, para a execução dos serviços de forração de duas canchas de bochas, compreendendo a mão de obra, pintura, preparação, nivelamento, forração lateral e instalação de carpete, localizadas no Parque das Nações Cincinato Naspolini, em atendimento a Fundação Municipal de Esportes - FME.","Pregão presencial","Compras e Serviços","MENOR PRECO GLOBAL",2020-11-12,Homologado," "," ",Criciúma,"contratos_3daf8fbe-ffb2-4f68-a641-119438094ee9.csv",2020-11-12T09:00:00Z," ",2020-10-29,2020-11-12," ","despesas_842688e2-cba9-4c4f-8d54-faa8b154f067.csv","documentosRelacionados_1abaa31d-efc9-4b6c-a191-0c7a8036f178.csv"," "," "," "," ",SC,Licitação,2020-11-12T08:00:00Z,"itensVencedores_234d1bf5-913d-4f8f-95ab-be1d1547bcbe.csv","Mural Público"," "," ","NELI SEHNEM DOS SANTOS","participantes_43c62bf6-0705-49d3-81d7-c9c6a4509ac4.csv",NÃO," ",2020-11-12T09:00:00Z," "," "," "
"PREFEITURA MUNICIPAL DE CRICIUMA",1,2020,1,2020,2020-01-08,"O presente edital tem por objetivo o registro de preços de materiais de limpeza, para aquisições futuras, em atendimento a Secretaria de Administração, Secretaria Municipal de Saúde, Secretaria Municipal de Assistência Social e Habitação, Secretaria Municipal de Educação, Diretoria de Trânsito e Transportes do município de Criciúma/SC.","Pregão presencial","Compras e Serviços","MENOR PRECO POR ITEM",2020-03-17,HOMOLOGADO," ","atasRegistroPrecos_d62702d1-45be-449d-8803-95a986c5123f.csv"," "," ",2020-02-26T09:01:00Z," ",2020-01-07,2020-02-26," "," "," ","tributos@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,"Pregão presencial",2020-02-26T08:00:00Z,"itensVencedores_19f81712-b41f-4a6b-9b6e-853673551e99.csv",INTERNET,,," ","participantes_3222bfd7-8a2e-4d96-8bf6-ad8335846532.csv",SIM," ",2020-02-26T09:00:00Z,," "," "
"PREFEITURA MUNICIPAL DE CRICIUMA",2,2020,2,2020,2020-01-08,"Registro de preços de abrigos metálicos de ponto de ônibus, compreendendo a confecção e instalação, sob demanda, em atendimento a Diretoria de Trânsito e Transportes do município de Criciúma/SC.","Pregão presencial","Compras e Serviços","MENOR PRECO GLOBAL",2020-02-04,HOMOLOGADO," ","atasRegistroPrecos_b5ef94a4-c021-44d0-9d04-f4ad78bfda81.csv"," "," ",2020-02-04T09:01:00Z," ",2020-01-07,2020-02-04," ","despesas_f4334b5e-d7c9-4702-9502-11ff49be70eb.csv"," ","tributos@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,"Pregão presencial",2020-02-04T08:00:00Z,"itensVencedores_2b061a79-524d-458c-aac4-7bc680b25e7d.csv","JORNAL_DIVULGACAO_MUNICIPAL",,," ","participantes_2e584dfc-aa7e-4dd2-9e07-93f034c4e9f4.csv",SIM," ",2020-02-04T09:00:00Z,," "," "
"PREFEITURA MUNICIPAL DE CRICIUMA",5,2020,5,2020,2020-01-07,"O presente edital tem por objetivo o registro de preços de vinis refletivos e de grau de engenharia, além de materiais de trabalho para o setor de sinalização, em atendimento a Diretoria de Trânsito e Transportes do município de Criciúma/SC.","Pregão presencial","Compras e Serviços","MENOR PRECO POR ITEM",2020-01-23,HOMOLOGADO," ","atasRegistroPrecos_fe92c728-2d22-4e3b-83f2-aabbf99febd1.csv"," "," ",2020-01-22T14:01:00Z," ",2020-01-07,2020-01-22," ","despesas_ff9bff84-01c7-4e16-8b35-f65636ca2c45.csv"," ","tributos@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,"Pregão presencial",2020-01-22T08:00:00Z,"itensVencedores_93c8a472-cd5e-430f-9f2f-e8483a4ffc01.csv",MURAL_PUBLICO,,," ","participantes_369bf105-a187-4793-b7a7-02ba3f74b920.csv",SIM," ",2020-01-22T14:00:00Z,," "," "
"PREFEITURA MUNICIPAL DE CRICIUMA",3,2020,3,2020,2020-01-08,"Registro de preços de guarda-corpo, corrimão e portão, compreendendo o fornecimento, a instalação e equipamentos necessários, para aquisições futuras, no atendimento a Rede Municipal de Ensino de Criciúma/SC.","Pregão presencial","Compras e Serviços","MENOR PRECO GLOBAL",2020-01-22,HOMOLOGADO," ","atasRegistroPrecos_caff4e89-3eb7-4b45-9444-841de2db8d07.csv"," "," ",2020-01-21T15:31:00Z," ",2020-01-07,2020-01-21," ","despesas_c9a4cd0b-d54f-4928-9f5f-ccbfe1456e4b.csv"," ","tributos@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,"Pregão presencial",2020-01-21T08:00:00Z,"itensVencedores_cd5638c1-f0f2-4841-9b1e-c86df099d7a5.csv",INTERNET,,," ","participantes_fc8f3037-ead7-4da3-8407-adc1190ec802.csv",SIM," ",2020-01-21T15:30:00Z,," "," "
"PREFEITURA MUNICIPAL DE CRICIUMA",4,2020,4,2020,2020-01-08,"O presente edital tem por objetivo o registro de preços de equipamentos individuais e materiais de trabalho para os agentes da autoridade de Trânsito e Transportes do município de Criciúma/SC.","Pregão presencial","Compras e Serviços","MENOR PRECO POR ITEM",2020-01-28,HOMOLOGADO," ","atasRegistroPrecos_e3e25b13-f989-4488-ac43-b53a18e87430.csv"," "," ",2020-01-22T09:01:00Z," ",2020-01-07,2020-01-22," ","despesas_753af025-5c69-48e2-8bfc-74e27849b3a9.csv"," ","tributos@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,"Pregão presencial",2020-01-22T08:00:00Z,"itensVencedores_76545db0-12d4-4d85-bb75-4a889e39c33c.csv",INTERNET,,," ","participantes_60235c43-3122-4c3f-82e6-7a335096d94f.csv",SIM," ",2020-01-22T09:00:00Z,," "," "
"PREFEITURA MUNICIPAL DE CRICIUMA",8,2020,8,2020,2020-01-15,"Contratação de empresa especializada para manutenção, conserto e recuperação de equipamentos instalados sobre chassis de caminhões, pertencentes ao patrimônio do município de Criciúma/SC",Convite,"Compras e Serviços","MENOR PRECO GLOBAL"," ",REVOGADO," "," "," "," ",2020-01-20T09:00:00Z," ",2020-01-08,2020-01-20,2020-01-20,"despesas_71478ac7-5d40-4dd1-87e3-ac8e535b48e2.csv"," ","tributos@criciuma.sc.gov.br"," ","Rua Domênico Sônego","Rua Domênico Sônego",SC,Convite,2020-01-20T08:00:00Z," ",INTERNET,"Razões de Interesse Público","Razões de Interesse Público"," "," ",NÃO," ",2020-01-20T08:45:00Z,"Lei 8666/1993, Art. 22, III"," "," "
