descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Afastador de Minessota",4444743,60,VENCEU,UNI,540,9
"Alavanca apical curva Esquerda",4444744,10,CANCELADO,UN,230,23
"Alavanca apical curva Direita",4444745,10,CANCELADO,UN,230,23
"Alavanca apical reta",4444746,10,CANCELADO,UNI,230,23
"Alavanca Seldin (tipo bandeirinha) Direita Nº 1R",4444747,15,CANCELADO,UN,345,23
"Alavanca Seldin (tipo bandeirinha) Esquerda Nº 1L",4444748,15,CANCELADO,UN,345,23
"Alavanca Seldin Reta",4444749,15,CANCELADO,UN,345,23
"Alicate Ortodôntico 139",4444750,1,VENCEU,UNI,64,64
"Alicate Ortodôntico Bico Chato 121",4444751,1,CANCELADO,UN,55,55
"Alicate ortodôntico conformador de bandas",4444753,1,PERDEU,UNI,84,84
"Alicate Ortodôntico Corte Amarrilho 151",4444754,1,VENCEU,UNI,378,378
"Alicate Ortodôntico De La Rosa 109",4444756,1,PERDEU,UNI,83.4,83.4
"Alicate ortodontico Jarabak 755",4444757,1,VENCEU,UNI,95,95
"Alicate Ortodôntico Removedor de Bráquete 346R",4444758,1,PERDEU,UN,74,74
"Alicate ortodôntico saca banda 347",4444759,1,VENCEU,UNI,76,76
"Alicate Ortodôntico Tridente 200",4444760,1,VENCEU,UN,57,57
"Alicate ortodôntico universal 325",4444761,1,PERDEU,UN,76,76
"Alicate perfurador Ainsworth-5 furos",4444764,10,PERDEU,UN,747.9,74.79
"Alveolótomo curvo 16cm",4444765,10,CANCELADO,UN,670,67
"APLICADOR DE DYCAL",4444766,20,CANCELADO,UN,136,6.8
"Arco Ostby infantil dobrável",4444768,5,DESCLASSIFICADO,UN,46.2,9.24
"Arco Young Adulto",4444769,5,PERDEU,UN,80,16
"Bandeja p/ esterelizacao",4444770,100,CANCELADO,UN,1750,17.5
"Cabo para bisturi nº3",4444772,40,PERDEU,UN,318,7.95
"Calcador Paiva kit nº1; 2; 3; 4",4444776,5,PERDEU,KIT,136,27.2
"Cinzel micro Ochsenbein nº 1",4444777,2,VENCEU,UN,96,48
"Compasso Willis-Jon",4444779,1,VENCEU,UN,29,29
"Cuba Inox Redonda 13cm",4444780,6,DESCLASSIFICADO,UN,165,27.5
"Cureta de Lucas nº 85",4444781,5,PERDEU,UN,37.5,7.5
"Cureta dentina (escavador), nº 05 PEQUENA",4444782,15,PERDEU,UN,102,6.8
"Cureta dentina (escavador)nº20, GRANDE",4444783,15,PERDEU,UNI,102,6.8
"CURETA GRACEY 11-12 - EM AÇO INOX",4444784,15,PERDEU,UNI,420,28
"CURETA GRACEY 13-14 - EM AÇO INOX",4444785,15,PERDEU,UNI,420,28
"CURETA GRACEY 5-6 - EM AÇO INOX",4444786,50,PERDEU,UN,1400,28
"CURETA GRACEY 7-8 - EM AÇO INOX",4444787,15,PERDEU,UNI,420,28
"Cureta Maccall 17-18",4444788,15,PERDEU,UN,420,28
"Descolador cirurgico Molt Nº 09",4444789,100,PERDEU,UNI,2500,25
"Descolador Freer Duplo",4444790,2,CANCELADO,UN,50,25
"Espatula 24",4444792,50,VENCEU,UN,355.5,7.11
"Espatula 7",4444793,5,PERDEU,UNI,37.5,7.5
"Espátula de inserção dupla p/ resina n° 1",4444794,120,CANCELADO,UN,900,7.5
"Espátula Lecron com ponta ativa em aço",4444795,10,VENCEU,UN,75,7.5
"Espátula para Gesso de inox",4444796,5,VENCEU,UN,23.75,4.75
"Espátula para manipulação nº 72",4444797,10,PERDEU,UNI,75,7.5
"Espátula Para Resina com Calcador N° 3",4444798,100,CANCELADO,UN,2500,25
"Espátula plástica para alginato",4444799,5,VENCEU,UN,8,1.6
"Espelho bucal Nº3",4444800,30,CANCELADO,UN,120,4
"Espelho bucal Nº5",4444801,30,CANCELADO,UN,120,4
"Espelho clinico Nº 5",4444802,1100,CANCELADO,UN,1980,1.8
"Estojo Endodontico 24 furos 07x06x05cm",4444803,8,PERDEU,UN,464,58
"Grampo para isolamento nº00",4444806,20,VENCEU,UNI,199,9.95
"Grampo para isolamento nº200",4444807,20,VENCEU,UN,200,10
"Grampo para isolamento nº202",4444808,20,VENCEU,UN,200,10
"Grampo para isolamento nº206",4444809,20,VENCEU,UN,200,10
"Grampo para isolamento nº207",4444810,10,VENCEU,UN,100,10
"Grampo para isolamento nº210",4444811,10,VENCEU,UN,100,10
"Grampo para isolamento nº211",4444812,10,VENCEU,UN,100,10
"Grampo para isolamento nº212",4444813,20,VENCEU,UN,200,10
"Grampo para isolamento nº26",4444814,10,VENCEU,UN,100,10
"Grampo para isolamento nºW8A",4444815,25,VENCEU,UNI,250,10
"Kit posicionador para RX adulto",4444817,5,PERDEU,KIT,261.5,52.3
"Kit posicionador para RX infantil",4444818,5,PERDEU,KIT,275,55
"Lamparina de inox 60ml",4444819,2,VENCEU,UN,60,30
"Lamparina Hannau",4444820,2,PERDEU,UNI,42,21
"Lima seldin para osso numero 12",4444821,100,CANCELADO,UN,3000,30
"Micro Tesoura Castroviejo Curva 11 cm",4444822,2,PERDEU,UN,186,93
"Pinça Backhaus 10cm",4444823,2,VENCEU,UN,53,26.5
"Pinça clinica odontológica p/algodão",4444824,250,CANCELADO,UN,2000,8
"Pinça Dietrich 16cm",4444825,2,VENCEU,UN,140,70
"Pinça Hemostática KELLY curva 14cm",4444826,10,VENCEU,UN,220,22
"Pinça Hemostática KELLY curva 16cm",4444827,5,VENCEU,UN,131.3,26.26
"Pinça Mosquito 12cm",4444828,5,VENCEU,UN,95,19
"Pinça porta grampo palmer",4444829,10,INABILITADO,UNI,20,2
"Porta Agulha Castroviejo Especial Wídea 14cm",4444830,2,VENCEU,UN,296,148
"Porta Agulha Castroviejo simples 14cm",4444831,2,VENCEU,UN,280,140
"Porta algodão e/ou resíduos",4444834,15,VENCEU,UNI,570,38
"Porta-amálgama de plástico, autoclavável",4444835,2,PERDEU,UN,20.6,10.3
"Porta-matriz, tipo Toflemire adulto, em aço inox",4444836,10,PERDEU,UN,220,22
"Porta-matriz, tipo Toflemire infantil, em aço inox",4444837,10,VENCEU,UN,210,21
"Posicionador Radiográfico digital",4444838,6,PERDEU,UN,1590,265
"Pote dappen de vidro",4444839,20,VENCEU,UNI,34,1.7
"Régua endodontica milimetrada calibradora",4444840,10,VENCEU,UN,494,49.4
"Seringa Carpule com refluxo-12,5cm",4444841,100,VENCEU,UN,2600,26
"Sindesmótomo em aço inox",4444842,60,PERDEU,UN,450,7.5
"Sonda Exploradora endodontica nº6",4444843,10,PERDEU,UN,80,8
"Sonda Exploradora Odontológica nº5",4444844,150,PERDEU,UNI,1020,6.8
"Sonda Milimetrada Carolina do Norte Nº 15",4444845,2,PERDEU,UN,68.8,34.4
