descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Apagador para Quadro Branco.",4397090,565,DESCLASSIFICADO,UND,7271.55,12.87
"Aparelho telefônico com fio.",4397091,298,DESCLASSIFICADO,UND,16151.6,54.2
"APARELHO TELEFONICO SEM FIO.",4397092,165,NAO_COTOU,UND,0,0
"Apontador COM DEPÓSITO.",4397093,1250,DESCLASSIFICADO,UND,29762.5,23.81
"ARMARIO para organização de chaves",4397094,111,DESCLASSIFICADO,UND,21078.9,189.9
"BALAO n°7",4397095,1790,DESCLASSIFICADO,PCT,8216.1,4.59
"BANDEJA Acrílica dupla fixa",4397096,305,VENCEU,UND,6737.45,22.09
"BARBANTE FIO 8",4397097,292,NAO_COTOU,UND,0,0
"Bateria 9 volts no tamanho padrão",4397098,437,DESCLASSIFICADO,CAR,8696.3,19.9
"Bateria Alcalina 1,5V",4397099,55,DESCLASSIFICADO,CAR,263.45,4.79
"Bateria Recarregável 3,5 V",4397100,33,PERDEU,UND,7953,241
"Bloco de recado autoadesivo",4397101,520,DESCLASSIFICADO,PCT,1814.8,3.49
"Bobina de saco plástico transparente",4397102,2480,DESCLASSIFICADO,RL,31223.2,12.59
"BOBINA DE SENHA NUMERICA 00 a 99",4397103,128,NAO_COTOU,UND,0,0
"BOBINA DE SENHA NUMERICA 000 a 999",4397104,208,NAO_COTOU,UND,0,0
"Borracha Amarradilha",4397105,950,DESCLASSIFICADO,PCT,2916.5,3.07
"Borracha apagadora escritas branca escolar - nº 40",4397106,160,DESCLASSIFICADO,CX,1052.8,6.58
"Borracha de vinil para grafite  de apagar",4397107,670,DESCLASSIFICADO,UND,1172.5,1.75
"Caderno brochura (pequeno) 1/4 capa dura.",4397108,650,VENCEU,UND,1150.5,1.77
"Caderno espiral (pequeno) 1/4 capa dura.",4397109,915,VENCEU,UND,2342.4,2.56
"Caderno Universitario capa dura.",4397110,680,DESCLASSIFICADO,UND,3481.6,5.12
"Caixa de arquivo morto polionda",4397111,1282,VENCEU,UND,2999.88,2.34
"Caixa em papelão para arquivo morto.",4397112,10000,DESCLASSIFICADO,UND,19900,1.99
"CAIXA organizadora alta transparente  30 litros",4397113,650,NAO_COTOU,UND,0,0
"CAIXA organizadora baixa transparente retangular 15 lt",4397114,285,NAO_COTOU,UND,0,0
"Caixa organizadora média (20,39 litros) em polipropileno",4397115,270,NAO_COTOU,UND,0,0
"Caixa para correspondência em polietileno injetado",4397116,220,PERDEU,UND,7139,32.45
"Calculadora de mesa 12 digitos.",4397117,460,PERDEU,UND,4015.8,8.73
"Caneta destaca texto.",4397118,1275,DESCLASSIFICADO,CX,14892,11.68
"Caneta esferografica azul ponta fina",4397119,650,DESCLASSIFICADO,CX,19246.5,29.61
"Caneta esferografica preta ponta fina",4397120,235,DESCLASSIFICADO,CX,6958.35,29.61
"Caneta esferografica verde ponta fina",4397121,72,DESCLASSIFICADO,CX,2131.92,29.61
