descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Álcool etílico 70° antisséptico",4397877,5125,DESCLASSIFICADO,FRA,30186.25,5.89
"Álcool etílico 70° antisséptico",4397878,15375,DESCLASSIFICADO,FRA,90558.75,5.89
"Álcool gel 70% para higiene das mãos",4397879,3875,NAO_COTOU,FRA,0,0
"Álcool gel 70% para higiene das mãos",4397880,11625,NAO_COTOU,FRA,0,0
"Clorexidina aquosa",4397881,3500,NAO_COTOU,UND,0,0
"Desinfetante de uso geral 5 Litros.",4397882,2124,NAO_COTOU,GAL,0,0
"Desinfetante de uso geral 5 Litros.",4397883,6375,NAO_COTOU,GAL,0,0
"Desodorizador sanitário em gel",4397884,1300,NAO_COTOU,UND,0,0
"Dispenser plástico de parede para papel Toalha",4397885,400,DESCLASSIFICADO,UND,10000,25
"Dispenser plástico de sabonete liquido",4397886,700,DESCLASSIFICADO,UND,17500,25
"Frasco com Válvula pump",4397887,3000,PERDEU,UND,18000,6
"Luva Látex não Estéril Tamanho G Caixa",4397888,1000,DESCLASSIFICADO,CX,47400,47.4
"Luva Látex não Estéril Tamanho M",4397889,1000,DESCLASSIFICADO,CX,47400,47.4
"Máscara de oxigênio com bolsa reservatório e de não reinalaç",4397890,120,VENCEU,UND,3000,25
"Máscara Protetora facial (FACE SHIELD), reutilizável",4397891,2000,DESCLASSIFICADO,UND,29800,14.9
"Protetor de balcão/Mesa Stay",4397892,200,PERDEU,UND,46000,230
"Pulverizador 2 em 1 com gatilho anatômico",4397893,470,PERDEU,UND,4700,10
"Pulverizador de compreensão prévia 1,2L, pressão máxima3,0ba",4397894,720,NAO_COTOU,UND,0,0
"Refil Mop seco 60 cm",4397895,500,NAO_COTOU,UND,0,0
"Refil Mop Úmido com no mínimo 340 g",4397896,1200,NAO_COTOU,UND,0,0
"Saca de tecido 100 % alvejado",4397897,1600,NAO_COTOU,UND,0,0
"Saca de tecido crua",4397898,1600,NAO_COTOU,PCT,0,0
"Saco plástico de lixo doméstico 150 litros",4397899,400,NAO_COTOU,PCT,0,0
"Saco plástico de lixo doméstico 200 litros",4397900,100,NAO_COTOU,PCT,0,0
"Tapete barreira sanitária ( pedilúvio ) 1,00 metros de compr",4397901,210,PERDEU,UND,39690,189
"Tapete barreira sanitária ( pedilúvio ) tamanho 1,50 metros",4397902,31,PERDEU,UND,9269,299
"Termômetro Clínico Digital de Testa sem contato",4397903,120,PERDEU,UND,20388,169.9
"Desinfetante à base de quaternário de amônio de 5a geração",4397904,222,NAO_COTOU,GL,0,0
