descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"ACICLOVIR 200MG",4443291,10000,PERDEU,COMP,1960,0.196
"ACICLOVIR 50MG/GR CREME",4443292,500,DESCLASSIFICADO,TB,1240,2.48
"ÁCIDO FÓLICO 5 MG",4443294,30000,DESCLASSIFICADO,COMP,1440,0.048
"ACIDO VALPRÓICO 250 MG CAPS",4443297,30000,DESCLASSIFICADO,CAPS,4800,0.16
"ACIDO VALPROICO 500MG",4443298,30000,DESCLASSIFICADO,COMP,11970,0.399
"ACIDO VALPROICO 50MG/ML SOL. ORAL 100ML",4443299,500,PERDEU,FRA,1445,2.89
"ALBENDAZOL 400MG CPR",4443300,1000,PERDEU,COMP,330,0.33
"ALBENDAZOL 400MG/10ML",4443301,3000,PERDEU,FRA,3150,1.05
"ALENDRONATO SÓDICO 70MG CPR",4443303,3600,DESCLASSIFICADO,COMP,716.4,0.199
"ALOPURINOL 100 MG",4443305,12000,DESCLASSIFICADO,COMP,1152,0.096
"ALOPURINOL 300MG CPR",4443306,4000,DESCLASSIFICADO,COMP,820,0.205
"AMBROXOL 3MG/ML",4443307,500,DESCLASSIFICADO,FRA,870,1.74
"AMBROXOL 6MG/ML",4443308,500,DESCLASSIFICADO,FRA,870,1.74
"AMITRIPTILINA 25 MG",4443312,100000,DESCLASSIFICADO,COMP,4000,0.04
"AMOXICILINA + CLAVULANATO DE POTASSIO 250MG + 62,5MG/5ML  SU",4443313,1000,DESCLASSIFICADO,FR.,16980,16.98
"AMOXICILINA 250 MG SUSP. ORAL 60 ML",4443314,1000,VENCEU,FRA,2990,2.99
"amoxicilina 500 mg",4443315,30000,VENCEU,CPLA,8850,0.295
"AMOXICILINA 500MG + ÁCIDO CLAVULCÂNICO 125MG",4443316,30000,PERDEU,COMP,23400,0.78
"ANLODIPINO 10MG CPR",4443317,15000,PERDEU,COMP,840,0.056
"ANLODIPINO 5MG",4443318,100000,DESCLASSIFICADO,COMP,3200,0.032
"ATENOLOL 50MG CPR",4443321,50000,PERDEU,COMP,2000,0.04
"AZITROMICINA 200MG/5ML",4443322,3000,VENCEU,FRA,16290,5.43
"AZITROMICINA 500MG CPR",4443323,5000,VENCEU,COMP,3245,0.649
"BENZILPENICILINA (1.200.000 UI)",4443329,500,DESCLASSIFICADO,FR.,5485,10.97
"BENZILPENICILINA (600.000 UI)",4443330,100,DESCLASSIFICADO,FR.,938,9.38
"BIPERIDENO 2 MG",4443332,15000,PERDEU,COMP,2940,0.196
"BROMETO DE N-BUTIL ESCOPOLAMINA 10MG CPR",4443337,10000,PERDEU,COMP,3600,0.36
"CARBAMAZEPINA 200 MG  (blister CONTENDO 10 OU 15 comprimidos",4443341,100000,DESCLASSIFICADO,CP,15000,0.15
"CARVEDILOL 12,5MG CPR",4443346,30000,DESCLASSIFICADO,COMP,5070,0.169
"CARVEDILOL 3,125MG CPR",4443348,2000,DESCLASSIFICADO,COMP,338,0.169
"CARVEDILOL6,25MG CPR",4443349,30000,DESCLASSIFICADO,COMP,5070,0.169
"CEFALEXINA 250 MG SUSP. ORAL 60 ML",4443350,5000,PERDEU,FRA,34950,6.99
"CEFALEXINA 500 MG Cápsulas / comprimidos",4443351,40000,PERDEU,CAP/C,12800,0.32
"CETOCONAZOL 200 MG",4443353,5000,PERDEU,COMP,850,0.17
"CINARIZINA 75 MG CPR",4443355,20000,VENCEU,COMP,1780,0.089
"Ciprofloxacino 500mg.",4443356,25000,VENCEU,CP,8000,0.32
"CITALOPRAM 20MG CPR",4443357,20000,PERDEU,COMP,2780,0.139
"CLONAZEPAM 2,5 MG/ML 20ML",4443360,13500,DESCLASSIFICADO,FRA,26865,1.99
"CLOPIDOGREL 75MG CPR",4443364,30000,VENCEU,COMP,7650,0.255
"CLORPROMAZINA 100 MG",4443369,40000,PERDEU,COMP,10320,0.258
"CLORPROMAZINA 25 MG",4443370,25000,PERDEU,COMP,5725,0.229
"CODEINA + PARACETAMOL 30MG+500MG CPR",4443374,15000,PERDEU,COMP,4950,0.33
"CODEINA 30MG CPR",4443375,40000,PERDEU,COMP,37200,0.93
"DEXAMETASONA CREME 10 G",4443380,1000,DESCLASSIFICADO,TB,1200,1.2
"DEXCLORFENIRAMINA 2MG",4443381,5000,DESCLASSIFICADO,COMP,350,0.07
"DEXCLORFENIRAMINA 2MG/5ML 120ML",4443382,500,PERDEU,FRA,625,1.25
"DIAZEPAM 10 MG (blister CONTENDO 10 OU 15 comprimidos)",4443383,70000,DESCLASSIFICADO,CP,6930,0.099
"DICLOFENACO DE SÓDIO 75 MG SOL INJ. 3 ML",4443386,500,DESCLASSIFICADO,AM,360,0.72
"DIPIRONA 500 MG CPR",4443395,30000,DESCLASSIFICADO,CP,2550,0.085
"DIPIRONA 500 MG/ML GOTAS 10 ML",4443396,700,DESCLASSIFICADO,FRA,665,0.95
"DIPIRONA SÓDICA 500MG/ML SOL INJ. 2ML",4443397,500,PERDEU,AM,270,0.54
"Dipropionato de Beclometasona 250mcg - SPRAY ORAL",4443398,100,VENCEU,FRA,2499,24.99
"DIPROPIONATO DE BECLOMETASONA 50MCG - SPRAY NASAL",4443400,1000,DESCLASSIFICADO,FRA,23960,23.96
"ENALAPRIL 10 MG",4443406,60000,DESCLASSIFICADO,COMP,2400,0.04
"ENALAPRIL 20 MG",4443407,20000,DESCLASSIFICADO,COMP,1040,0.052
"ESCITALOPRAM, OXALATO 10MG CPR",4443412,15000,PERDEU,COMP,2940,0.196
"ESPIRONOLACTONA 25 MG",4443413,30000,DESCLASSIFICADO,COMP,4740,0.158
