descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Algemas de aço tipo punho duplo",4390538,60,VENCEU,UND,4980,83
"Bastão Retrátil em aço niquelado",4390539,60,VENCEU,UND,5400,90
"Placa de perna modular",4390540,60,VENCEU,UND,4380,73
"Porta utilidades vertical médio",4390541,60,VENCEU,UND,3540,59
"Cinto Tático NA",4390542,60,VENCEU,UND,2520,42
"Bota tática Impermeável e Antiperfurante",4390543,60,VENCEU,UND,21600,360
"Capa Modular para colete balístico",4390544,60,VENCEU,UND,21000,350
"Porta algema modular",4390545,60,VENCEU,UND,1620,27
"Porta rádio modular",4390546,60,VENCEU,UND,2100,35
"Porta utilidade vertical pequena",4390547,60,VENCEU,UND,2220,37
"Apito profissional",4390548,120,VENCEU,UND,3300,27.5
