descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Fluído de Freio e Embreagem DOT4 (cx 30-500ml) J1703(20-500",4391146,60,VENCEU,UND,663,11.05
"Graxa a base de sabão de lítio com aditivação extrema pressã",4391147,8,VENCEU,BLD,2178.8,272.35
"Graxa lubrificante a base de sabão de calcio e oleo mineral",4391148,8,VENCEU,TB,7176,897
"Oleo lubrificante multifuncional unitactor 10W30 para transm",4391149,60,VENCEU,BLD,13611,226.85
"Óleo lubrificante multiviscoco SAE 15W40",4391150,3,VENCEU,TB,4797,1599
"Óleo lubrificante multiviscoco SAE 15W40",4391151,100,VENCEU,TB,16705,167.05
"Óleo lubrificante para caixa de direção hidráulica e transmi",4391152,50,VENCEU,BLD,15507.5,310.15
"Óleo lubrificante para caixa de marchas SAE 80W90 API GL3",4391153,10,VENCEU,BLD,1813.5,181.35
"Óleo lubrificante para caixa de transmissão (EATON) E Motore",4391154,10,VENCEU,BLD,2333.5,233.35
"Óleo lubrificante para sistema de embreagem e freios SAE 20W",4391155,55,VENCEU,BLD,10582,192.4
"Óleo lubrificante para sistemas hidráulicos ISO VG68-DIN 515",4391156,150,VENCEU,BLD,19597.5,130.65
"Óleo lubrificante para transmissões (caixas e diferenciais)",4391157,13,VENCEU,BLD,2391.35,183.95
"Óleo lubrificante para transmissões automotivas SAE 85W140 A",4391158,13,VENCEU,BLD,2687.1,206.7
"Oleo Mineral LHM, especifico para sistema hidraulico de frei",4391159,100,VENCEU,LT,4590,45.9
"OLEO MINERAL PARA ENGRENAGEM FECHADAS ISO 150",4391160,8,PERDEU,BLD,1768,221
"OLEO MINERAL PARA ENGRENAGEM FECHADAS ISO 220",4391161,8,VENCEU,BLD,1557.6,194.7
"OLEO MINERAL PARA ENGRENAGEM FECHADAS ISO 460",4391162,8,VENCEU,BLD,1206.4,150.8
"Oleo parafinico refinado utilizado como fluido termico em si",4391163,8,VENCEU,BLD,1274,159.25
