descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Pino articulação",0,2,VENCEU," ",1012,506
"Kit cano hidráulico",0,1,VENCEU," ",1628.4,1628.4
"bucha pino articulação",0,2,VENCEU," ",828,414
Sobre-chassis,0,1,VENCEU," ",2024,2024
"Kit reparo cilindro sapata",0,1,VENCEU," ",331.2,331.2
"brunimento cilindro sapata",0,1,VENCEU," ",220.8,220.8
"FILTRO HIDRAULICO",0,1,VENCEU," ",193.2,193.2
"Mangueiras hidráulicas árvore",0,11,VENCEU," ",4048,368
"mangueiras hidráulicas lança",0,4,VENCEU," ",1288,322
"TOMADA DE FORÇA",0,1,VENCEU," ",2300,2300
"capa proteção completo",0,1,VENCEU," ",690,690
"OLEO HIDRAULICO",0,6,VENCEU," ",1159.2,193.2
"pintura equipamento",0,1,VENCEU," ",3220,3220
"conjunto técnil",0,2,VENCEU," ",368,184
"Plataforma operacional",0,2,VENCEU," ",1012,506
GRAMPO,0,8,VENCEU," ",1104,138
"serviço de mão de obra, com solda, mecânico e outros.",0,1,VENCEU," ",4508,4508
