descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Apagador para Quadro Branco.",4399030,3000,PERDEU,UND,27900,9.3
"Bloco Adesivo Puxa Fácil cores variadas",4399031,2000,NAO_COTOU,PCT,0,0
"Caderno Brochurão com capa Flexível.",4399032,3750,DESCLASSIFICADO,UND,8775,2.34
"Caderno Brochurão com capa Flexível.",4399033,11250,DESCLASSIFICADO,UND,26325,2.34
"Caixa de arquivo morto polionda",4399034,1000,PERDEU,UND,3900,3.9
"Caixa organizadora extra grande",4399035,750,CANCELADO,UND,18187.5,24.25
"Caixa organizadora extra grande",4399036,2250,CANCELADO,UND,54562.5,24.25
"Caixa para correspondência.",4399037,300,NAO_COTOU,UND,0,0
"Corretivo em fita.",4399038,700,DESCLASSIFICADO,UND,4550,6.5
"Grampeador para papeis base 18 - 20cm",4399039,200,NAO_COTOU,UND,0,0
"Grampeador para papeis base 14 - 17cm",4399040,200,PERDEU,UND,2340,11.7
"Grampo para grampeador galvanizado 23/13",4399041,1000,DESCLASSIFICADO,CX,16900,16.9
"Grampo para grampeador galvanizado 26/6",4399042,1000,CANCELADO,CX,2800,2.8
"Papel Off-set A-4",4399043,138,CANCELADO,CX,20286,147
"Papel Off-set A-4",4399044,417,PERDEU,CX,61299,147
"Papel Sulfite Colorido (tonalidade Amarelo,)",4399045,200,DESCLASSIFICADO,PCT,988,4.94
"Papel Sulfite Colorido (tonalidade Azul,)",4399046,200,DESCLASSIFICADO,PCT,988,4.94
"Papel Sulfite Colorido (tonalidade Marfim,)",4399047,200,NAO_COTOU,PCT,0,0
"Papel Sulfite Colorido (tonalidade Rosa,)",4399048,200,DESCLASSIFICADO,PCT,988,4.94
"Papel Sulfite Colorido (tonalidade Verde,)",4399049,200,DESCLASSIFICADO,PCT,988,4.94
"Pasta catálogo para documentos tamanho ofício com 50 plástic",4399050,272,DESCLASSIFICADO,UND,2828.8,10.4
"Pincel Marcador para Vidro.",4399051,1000,NAO_COTOU,UND,0,0
"PINCEL PARA QUADRO BRANCO",4399052,1200,DESCLASSIFICADO,UND,9048,7.54
"Tinta universal para marcadores de quadro branco",4399053,130,NAO_COTOU,UND,0,0
"Umidificafor de Dedos",4399054,498,PERDEU,CX,8416.2,16.9
