descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Cabo PP 4x2,5mm",0,100,PERDEU," ",550,5.5
"Caixa de Passagem Split",0,15,PERDEU," ",60,4
"Cano cobre ½",0,50,PERDEU," ",950,19
"Cano cobre ¼",0,50,PERDEU," ",400,8
"Cano cobre ¾",0,50,PERDEU," ",1350,27
"Cano cobre 3/8",0,50,PERDEU," ",650,13
"Cano cobre 5/8",0,50,PERDEU," ",1100,22
"Cano esponjoso ¼",0,40,PERDEU," ",80,2
"Cano esponjoso ½",0,40,PERDEU," ",80,2
"Cano esponjoso ¾",0,40,PERDEU," ",80,2
"Cano esponjoso 3/8",0,40,PERDEU," ",80,2
"Cano esponjoso 5/8",0,40,PERDEU," ",80,2
"Capacitor 380V 2 MF",0,5,PERDEU," ",60,12
"Capacitor 380V 3 MF",0,5,PERDEU," ",90,18
"Capacitor 380V 4 MF",0,5,PERDEU," ",95,19
"Capacitor 380V 5 MF",0,5,PERDEU," ",100,20
"Capacitor 380V 8 MF",0,5,PERDEU," ",100,20
"Capacitor 380V 10 MF",0,5,PERDEU," ",100.2,20.04
"Capacitor 380V 15 MF",0,4,PERDEU," ",75.88,18.97
"Capacitor 380V 20 MF",0,4,PERDEU," ",76,19
"Capacitor 380V 25 MF",0,4,PERDEU," ",113.24,28.31
"Capacitor 380V 30 MF",0,4,PERDEU," ",128,32
"Capacitor 380V 35 MF",0,4,PERDEU," ",124,31
"Capacitor 380V 40 MF",0,4,PERDEU," ",112,28
"Capacitor 380V 45 MF",0,4,PERDEU," ",180,45
"Capacitor 380V 55 MF",0,4,PERDEU," ",153.4,38.35
"Chave contactora CWM 09",0,2,PERDEU," ",460,230
"Chave contactora CWM 10",0,4,PERDEU," ",920,230
"Compressor para Split 7000 BTUS",0,2,PERDEU," ",570,285
"Compressor para Split 9000 BTUS",0,2,PERDEU," ",834.7,417.35
"Compressor para Split 12000 BTUS",0,2,PERDEU," ",881,440.5
"Compressor para Split 18000 BTUS",0,2,PERDEU," ",1156,578
"Compressor para Split 24000 BTUS",0,2,PERDEU," ",1160,580
"Compressor para Split 30000 BTUS",0,2,PERDEU," ",1500,750
"Compressor para Split 60000 BTUS",0,1,PERDEU," ",1538.91,1538.91
"Controle remoto univ. ar split",0,20,PERDEU," ",800,40
"Dreno ar condicionado",0,60,PERDEU," ",477,7.95
"Filtro do pó ar cond",0,20,PERDEU," ",600,30
"Fita PVC 100mm branca",0,80,PERDEU," ",296,3.7
"Gás R22 (carga)",0,50,PERDEU," ",11500,230
"Gas R410 A (carga)",0,30,PERDEU," ",5400,180
"Hélice ar cond. 10/18000btus",0,2,PERDEU," ",240,120
"PLACA ELETRONICA",0,4,PERDEU," ",760,190
"SENSOR DE TEMPERATURA",0,10,PERDEU," ",300,30
"Suporte split 7/12000btus",0,10,PERDEU," ",300,30
"Suporte split 18/30000btus",0,10,PERDEU," ",400,40
"Limpeza de ar gaveta 7/30.000btus",0,20,PERDEU," ",2000,100
"Limpeza de ar split 9/24.000 btus sem retirada do aparelho",0,60,PERDEU," ",9000,150
"Limpeza completa do ar split com retirda do aparelho",0,100,PERDEU," ",18000,180
"Serviços de Manutenção, Conserto e Instalação dos Aparelhos",0,200,PERDEU," ",18000,90
