descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Alicate perfurador furo unico",4391068,80,DESCLASSIFICADO,UND,501.6,6.27
"Apagador para Quadro Branco.",4391069,1000,DESCLASSIFICADO,UND,9560,9.56
"Apagador quadro negro escolar",4391070,400,DESCLASSIFICADO,UND,1432,3.58
"Apontador de lápis.",4391071,1000,DESCLASSIFICADO,CX,15080,15.08
"Barbante cru nº6",4391072,150,VENCEU,RL,381,2.54
"Bastão de Cola Quente Grosso",4391073,3000,DESCLASSIFICADO,UND,2190,0.73
"Borracha  branca escolar",4391074,500,DESCLASSIFICADO,CX,3185,6.37
"Caderno Brochurão",4391075,5000,PERDEU,UND,8250,1.65
"Caderno Pequeno brochura.",4391076,2000,PERDEU,UND,1520,0.76
"Caderno quadriculado com arame",4391077,100,NAO_COTOU,UND,0,0
"Caixa de arquivo morto.",4391078,400,PERDEU,UND,1128,2.82
"Caixa em papelão para arquivo morto.",4391079,350,PERDEU,UND,525,1.5
"Caixa organizadora 42,0cm x 31,0cm x 20,0cm",4391080,500,NAO_COTOU,UND,0,0
"CAIXA ORGANIZADORA plástica 6 litros",4391081,100,NAO_COTOU,UND,0,0
"CAIXA ORGANIZADORA plástica alta 36 litros",4391082,100,NAO_COTOU,UND,0,0
"Caneta destaca texto.",4391083,300,PERDEU,CX,2433,8.11
"Caneta hidrográfica 24 cores",4391084,100,VENCEU,PCT,496,4.96
"Caneta ponta esférica cor azul",4391085,500,DESCLASSIFICADO,CX,14170,28.34
"Caneta ponta esférica cor Vermelha",4391086,70,DESCLASSIFICADO,CX,2093,29.9
"Cartolina com gramatura mínima 180/gm2",4391087,500,DESCLASSIFICADO,PCT,31525,63.05
"Cartolina tamanho ofício.",4391088,20000,PERDEU,PCT,3400,0.17
"clips para papel tamanho 2/0",4391089,800,DESCLASSIFICADO,CX,1064,1.33
"Clips para papel tamanho 4/0",4391090,600,DESCLASSIFICADO,UND,1680,2.8
"clips para papel tamanho 8/0",4391091,300,DESCLASSIFICADO,CX,561,1.87
"COLA  EXTRA ADESIVO 1KG",4391092,300,DESCLASSIFICADO,UND,3978,13.26
"Cola Branca 1 kg a base de PVA.",4391093,500,CANCELADO,UND,5775,11.55
"Cola Branca não toxica",4391094,5000,CANCELADO,UND,7950,1.59
"Compasso corpo de metal",4391095,100,NAO_COTOU,UND,0,0
"ESTILETE PROFISSIONAL",4391096,100,NAO_COTOU,UND,0,0
"Fita adesiva colorida 12x30mt",4391097,100,NAO_COTOU,PCT,0,0
"Fita adesiva em papel crepado",4391098,1875,DESCLASSIFICADO,UND,25106.25,13.39
"Fita adesiva em papel crepado",4391099,5625,DESCLASSIFICADO,UND,75318.75,13.39
"Fita adesiva plastica transparente",4391100,3000,DESCLASSIFICADO,UND,11160,3.72
"Folha de Isopor 1,5 mm",4391101,30,PERDEU,FL,61.5,2.05
"Folha de Isopor 2,5 mm",4391102,30,PERDEU,FL,101.4,3.38
"Folha de Papelão Ondulado",4391103,8,NAO_COTOU,PCT,0,0
"Folha em EVA 600x400x2mm",4391104,6000,PERDEU,UND,5640,0.94
"Folha em EVA COM GLITTER",4391105,5000,VENCEU,UND,14450,2.89
"FOLHA OFÍCIO colorida",4391106,500,DESCLASSIFICADO,PCT,2515,5.03
"Giz branco plastificado",4391107,500,DESCLASSIFICADO,CX,1295,2.59
"Giz colorido plastificado",4391108,500,DESCLASSIFICADO,CX,1600,3.2
"Giz de Cera: colorido",4391109,5000,PERDEU,UND,9950,1.99
"Giz de cera: tons de pele",4391110,250,NAO_COTOU,CX,0,0
"Grampeador médio de mesa metálico, 26/6",4391111,300,NAO_COTOU,UND,0,0
"Grampeador para madeira de pressão",4391112,72,DESCLASSIFICADO,UND,3744,52
"Grampo para grampeador de madeira",4391113,200,DESCLASSIFICADO,CX,1742,8.71
"Grampo para grampeador 26/6",4391114,1000,PERDEU,CX,2820,2.82
"Guache Cores básicas",4391115,2000,VENCEU,UND,4400,2.2
"Lápis colorido.",4391116,5000,VENCEU,CX,25750,5.15
"Lápis preto de grafite nº 2.",4391117,1000,DESCLASSIFICADO,CX,34260,34.26
"Lápis preto grafite 6B",4391118,300,DESCLASSIFICADO,CX,7440,24.8
"Massa de modelar macia",4391119,5000,DESCLASSIFICADO,CX,14950,2.99
"Papel Almaço com pauta e margem n 05",4391120,80,VENCEU,RES,2088,26.1
"Papel Almaço quadriculado 1x1cm",4391121,15,NAO_COTOU,PCT,0,0
"Papel cartão COLORIDO NOS DOIS LADOS",4391122,15000,NAO_COTOU,UND,0,0
"Papel Criativo Colorido Na Massa",4391123,3000,NAO_COTOU,PCT,0,0
"Papel Duplex, COM BRILHO",4391124,6000,NAO_COTOU,UND,0,0
"Papel Off-Set, alcalino, formato A-4",4391125,225,PERDEU,CX,34875,155
"Papel Off-Set, alcalino, formato A-4",4391126,675,DESCLASSIFICADO,CX,104625,155
"PAPEL PARDO KRAFT",4391127,500,NAO_COTOU,RL,0,0
"Papel SEDA, COM BRILHO",4391128,4000,NAO_COTOU,UND,0,0
"PAR DE ESQUADROS DE 28 CM",4391129,100,NAO_COTOU,KIT,0,0
"Pasta Polionda Média",4391130,400,NAO_COTOU,UND,0,0
"Perfurador 2 furos para ate 20 folhas de papel",4391131,200,NAO_COTOU,UND,0,0
"PINCEL ATOMICO",4391132,3000,DESCLASSIFICADO,UND,7380,2.46
"Pincel chato - numero 12",4391133,1000,DESCLASSIFICADO,UND,950,0.95
"Pincel chato - numero 8",4391134,1000,PERDEU,UND,810,0.81
"Pincel marcador permanete 2pontas",4391135,80,NAO_COTOU,CX,0,0
