descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Louro folha",1267543,75,30,ATIVO,UNIDADE,94.5,3.15
Vinagre,1267544,80,300,ATIVO,FRASCO,537,1.79
"Milho verde em conserva",1267545,76,150,ATIVO,UNIDADE,273,1.82
"ERVILHA EM CONSERVA",1267546,74,50,ATIVO,UNIDADE,91,1.82
"POLPA DE TOMATE",1267547,78,200,ATIVO,UNIDADE,880,4.4
"Sal Refinado",1267548,79,200,ATIVO,kg,240,1.2
"OLEO DE SOJA",1267549,82,500,ATIVO,UNIDADE,1870,3.74
"CRAVO DA INDIA",1267555,73,20,ATIVO,PACOTE,76,3.8
"Cominho moído",1267558,72,50,ATIVO,UNIDADE,157.5,3.15
"fermento biologico",1267559,52,200,ATIVO,EMBALAGEM,380,1.9
"Chá de hortelã",1267560,70,80,ATIVO,CAIXA,280,3.5
"Chá de camomila",1267561,69,80,ATIVO,CAIXA,280,3.5
"CANELA EM PAU",1267562,68,20,ATIVO,UNIDADE,79.8,3.99
"Canela moída",1267563,67,20,ATIVO,UNIDADE,90,4.5
"Margarina (Creme Vegetal)",1267564,65,400,ATIVO,UNIDADE,1552,3.88
"Gelatina de fruta",1267565,64,50,ATIVO,UNIDADE,55,1.1
"Doce de Leite em Pasta",1267566,63,250,ATIVO,UNIDADE,837.5,3.35
"DOCE DE FRUTAS",1267567,62,250,ATIVO,POTE,992.5,3.97
"Leite Integral UHT",1267568,59,3300,ATIVO,CAIXA,14520,4.4
"LEITE EM PÓ",1267569,58,20,ATIVO,kg,188,9.4
"Macarrão Tipo Parafuso",1267570,55,400,ATIVO,kg,1472,3.68
"Fermento em Pó Químico",1267571,53,150,ATIVO,UNIDADE,603,4.02
"FARINHA DE TRIGO",1267572,51,550,ATIVO,kg,1419,2.58
"Biscoito doce sem recheio",1267573,49,450,ATIVO,UNIDADE,1786.5,3.97
"Colorau (colorífico)",1267575,71,50,ATIVO,UNIDADE,193.5,3.87
