descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"RESISTENCIA 220 SELADORA PLUS",1266682,88,3,ATIVO,UNIDADE,430.98,143.66
"PCI MONTADA SIENA VZ PT OLSEN",1266683,78,1,ATIVO,UNIDADE,629.15,629.15
"Reservatorio completo em co-polimero",1266684,87,2,ATIVO,UNIDADE,901.62,450.81
"RELE ESTADO SOLIDO ODONTOLOGICO 220V 10A",1266685,86,3,ATIVO,UNIDADE,410.19,136.73
"REGISTRO LONGO DE AGUA COMPLETO OLSEN",1266686,85,3,ATIVO,UNIDADE,240.75,80.25
"REGISTRO DE AGUA MONTADA MOD. KAVO UNIK",1266687,84,3,ATIVO,UNIDADE,65.4,21.8
"Protetor integral sobrecarga 6a 220v",1266688,83,6,ATIVO,UNIDADE,338.82,56.47
"PROTEÇÃO P/ REFLETOR KAVO",1266689,82,3,ATIVO,UNIDADE,172.41,57.47
"Proteção da lampada kavo",1266690,81,5,ATIVO,UNIDADE,188.25,37.65
"Pressostato integral vertical s45/s50/s60",1266691,80,3,ATIVO,UNIDADE,439.92,146.64
"Pressostato 80q120 psi",1266692,79,6,ATIVO,UNIDADE,386.4,64.4
"PLACA CENTRAL KLINIC",1266693,77,2,ATIVO,UNIDADE,1036.36,518.18
"Placa controle digital u. Som dabi",1266694,72,4,ATIVO,UNIDADE,1129.48,282.37
"Placa de valvulas para compressor cristofoli",1266695,75,4,ATIVO,UNIDADE,194.2,48.55
"PLACA ELETRONICA ENCOLDER ENCOSTO",1266696,74,2,ATIVO,UNIDADE,95.12,47.56
"PLACA ELETRONICA CADEIRA SYNCRUS GL PAD",1266697,73,3,ATIVO,UNIDADE,1391.07,463.69
"RESISTENCIA TIPO W AISI 304 220V (AHMC5)IN",1266698,89,5,ATIVO,UNIDADE,401.25,80.25
"PLACA CABEÇOTE DE LED OLSEN",1266699,71,1,ATIVO,UNIDADE,334.89,334.89
"PAINEL DE ABS PARA COMANDO (AHMC5",1266700,70,4,ATIVO,UNIDADE,610.32,152.58
"PAINEL DE ABS QUADRA 21",1266701,69,5,ATIVO,UNIDADE,743.1,148.62
"MICRO CHAVE BR 15 IL QAAA",1266702,68,5,ATIVO,UNIDADE,48.55,9.71
"MANIPULO BAQUELITE (ODONTO) AHMC5",1266703,67,5,ATIVO,PEÇA,748.05,149.61
"MANOMETRO VT 12/21",1266704,66,5,ATIVO,UNIDADE,782.7,156.54
"MESA ODONTOLOGICA UNIK",1266705,65,3,ATIVO,UNIDADE,757.95,252.65
"MOTORREDUTOR DA BASE UNIK",1266706,64,2,ATIVO,UNIDADE,1823.04,911.52
"MOTORREDUTOR DO ENCOSTO UNIK",1266707,63,2,ATIVO,UNIDADE,1823.04,911.52
"Placa de comando ahmc5 220v sem bv 121q127 ega",1266708,76,2,ATIVO,UNIDADE,2169.82,1084.91
"Resistencia tubo reta vt 21 220v",1266709,90,5,ATIVO,UNIDADE,386.4,77.28
"ROLAMENTO CONTRA ANGULO DABI",1266710,94,30,ATIVO,UNIDADE,2021.1,67.37
"VALVULA SOLENOIDE 12VCC CUSP. GNATUS",1266711,119,3,ATIVO,UNIDADE,211.05,70.35
"MOTOR INTEGRAL COMORESSOR 220V 1400W",1266712,62,2,ATIVO,UNIDADE,3130.88,1565.44
"VALVULA INTERRUPTORA EQUIPO SYNCRUS",1266713,118,10,ATIVO,UNIDADE,515.2,51.52
"VALVULA DO SUPORTE DE PONTAS OLSEN",1266714,117,4,ATIVO,UNIDADE,210.04,52.51
"VALVULA DE RETENÇÃO OLSEN",1266715,116,4,ATIVO,UNIDADE,162.48,40.62
