descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Detergente para gorduras carbonizadas",1298714,34,350,ATIVO,UNIDADE,41562.5,118.75
"Álcool etílico em gel 70% (70 INPM) 500",1298717,6,4112,ATIVO,FRASCO,22616,5.5
"SAPÓLIO CREMOSO",1300793,111,11560,ATIVO,FRASCO,44968.4,3.89
"Detergente Líquido Neutro de uso geral 500 mL.",1304870,33,7600,ATIVO,UNIDADE,9044,1.19
"Lustra móveis 200mL.",1306920,60,275,ATIVO,UNIDADE,825,3
"Sabão em pó,  grão azul, em embalagens plásticas  com 1Kg",1306921,96,10470,ATIVO,UNIDADE,50256,4.8
"Água Sanitária 5 Litros;",1306925,2,9615,ATIVO,GALAO,56536.2,5.88
"Alvejante a base de hipoclorito de sódio 5 litros.",1306926,8,8565,ATIVO,GALAO,77085,9
"Detergente Líquido de uso geral 5 litros;",1308911,32,2225,ATIVO,GALAO,18133.75,8.15
"Cera auto brilho liquida  01 litro",1308917,15,1227,ATIVO,CAIXA,66258,54
"Pastilhas de agente de conservação para forno",1308927,84,7,ATIVO,BALDE,3780,540
"Pastilhas de detergente para forno",1308928,85,12,ATIVO,BALDE,6300,525
"Alvejante a base de hipoclorito de sódio 5 litros.",1310972,9,2855,ATIVO,GALAO,25695,9
"Silicone em Gel automotivo",1310974,112,405,ATIVO,UNIDADE,3726,9.2
"Detergente Líquido de uso geral 5 litros;",1312921,31,6675,ATIVO,GALAO,54401.25,8.15
"Cera em pasta 05 quilos",1312924,18,217,ATIVO,LATA,17034.5,78.5
"Conjunto Balde/Espremedor",1312925,20,45,ATIVO,CONJUNTO,18310.5,406.9
"Agua Sanitária 1 Litro.",1315120,1,5175,ATIVO,UNIDADE,8797.5,1.7
"Amaciante para tecidos 5 litros.",1315122,10,1880,ATIVO,GALAO,13724,7.3
"SODA CAUSTICA",1315127,113,210,ATIVO,UNIDADE,2520,12
"Cera em pasta 05 quilos",1317148,17,653,ATIVO,LATA,51260.5,78.5
"Desinfetante de uso geral 500mL.",1317150,24,2620,ATIVO,UNIDADE,3144,1.2
"Escovão para Limpeza de chão",1319174,40,1270,ATIVO,UNIDADE,5080,4
"Água Sanitária 5 Litros;",1319176,3,3205,ATIVO,GALAO,18845.4,5.88
"Cera auto brilho liquida  01 litro",1319177,16,408,ATIVO,CAIXA,22032,54
"Restaurador de alumínio 5Litros",1319179,92,435,ATIVO,UNIDADE,7569,17.4
