descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Alavanca apical reta",1268270,7,10,ATIVO,UNIDADE,308.8,30.88
"Espátula para manipulação nº 72",1268272,58,10,ATIVO,UNIDADE,74.5,7.45
"Espátula Para Resina com Calcador N° 3",1268273,59,100,ATIVO,UNIDADE,5143,51.43
"Estojo Endodontico 48 furos 20x10x5cm",1268274,65,2,ATIVO,UNIDADE,274,137
"Porta-amálgama de plástico, autoclavável",1268275,96,2,ATIVO,UNIDADE,18.56,9.28
"Porta-matriz, tipo Toflemire adulto, em aço inox",1268276,97,10,ATIVO,UNIDADE,201.5,20.15
"Sonda milimetrada em aço inox",1268277,107,20,ATIVO,UNIDADE,195,9.75
"Água destilada - Galão 5 (cinco) litros",1268278,124,1200,ATIVO,GALAO,7428,6.19
"Alginato tipo II",1268279,130,200,ATIVO,PACOTE,1932,9.66
"Avental RX para Paciente Adulto",1268280,142,1,ATIVO,UNIDADE,349,349
"Avental RX para Paciente Infantil",1268281,143,1,ATIVO,UNIDADE,284,284
"Broca de alta rotação diamantada nº3080, cônica, topo inativ",1268282,176,70,ATIVO,UNIDADE,109.2,1.56
"BROCA ENDO Z - 21 MM",1268283,197,30,ATIVO,UNIDADE,444,14.8
"Caixa Para Aparelho Ortodôntico sortidos",1268284,213,60,ATIVO,EMBALAGEM,545.4,9.09
"Câmara Escura Para Revelação",1268285,214,1,ATIVO,UNIDADE,130,130
"Canudo plástico descartável 5x210mm (21cm).",1268286,217,10,ATIVO,PACOTE,13.4,1.34
"Cartela 2 furos para rx odontológico",1268287,219,10,ATIVO,PACOTE,62.4,6.24
"Compressas de Gaze Hidrófila 9 fios, 100% Algodão 7,5 x 7,5",1268288,230,1200,ATIVO,PACOTE,17280,14.4
"Edta gel 24%. Embalagem com 2 seringas com 3g de gel cada.",1268289,263,15,ATIVO,CAIXA,329.55,21.97
"Elástico Intraoral Látex 1/2 - MÉDIO.",1268290,265,10,ATIVO,EMBALAGEM,90,9
"Elástico Intraoral Látex 1/4 - médio",1268291,266,10,ATIVO,EMBALAGEM,106.2,10.62
"Elástico Separador Anel AZUL",1268292,270,10,ATIVO,EMBALAGEM,101.9,10.19
"Elástico Separador Anel VERDE",1268293,271,10,ATIVO,EMBALAGEM,103.4,10.34
"Envelope auto selante 190X330mm",1268294,272,1200,ATIVO,CAIXA,50268,41.89
"Escova de Robson reta, para contra angulo",1268295,283,1000,ATIVO,UNIDADE,1020,1.02
"Evidenciador de placa",1268296,293,30,ATIVO,FRASCO,152.1,5.07
"Fio agulhado NYLON preto 3.0 /EP2",1268297,298,340,ATIVO,CAIXA,10166,29.9
"FITA AUTOCLAVE",1268298,308,50,ATIVO,ROLO,149.5,2.99
"Fixador para radiografia",1268299,312,30,ATIVO,FRASCO,242.7,8.09
"Formocresol - 10ml",1268300,314,50,ATIVO,FRASCO,175,3.5
"Dobrador de amarilho",1268301,52,1,ATIVO,UNIDADE,14.45,14.45
"Gesso Pedra Tipo VI",1268302,320,200,ATIVO,PACOTE,2470,12.35
"Descolador Freer Duplo",1268303,51,2,ATIVO,UNIDADE,120,60
"CURETA GRACEY 7-8 - EM AÇO INOX",1268304,48,15,ATIVO,UNIDADE,120.6,8.04
"Acalcador de Banda c/ Ponta Quadrada",1268315,1,1,ATIVO,UNIDADE,11.97,11.97
"Acalcador de Banda c/ Ponta Triangular Invertida",1268316,2,1,ATIVO,UNIDADE,12.16,12.16
"Acalcador de Banda c/ Ponta triangular. Tipo mordedor",1268317,3,1,ATIVO,UNIDADE,11.66,11.66
"Alavanca apical curva Esquerda",1268318,5,10,ATIVO,UNIDADE,308.8,30.88
"Alavanca apical curva Direita",1268319,6,10,ATIVO,UNIDADE,308.8,30.88
"Alicate Ortodôntico Bico De Papagaio 137",1268321,13,1,ATIVO,UNIDADE,69,69
"Alicate Ortodôntico De La Rosa 109",1268322,17,1,ATIVO,UNIDADE,74.5,74.5
"Alicate Ortodôntico Removedor de Bráquete 346R",1268323,19,1,ATIVO,UNIDADE,73.9,73.9
"Alicate ortodôntico universal 325",1268324,22,1,ATIVO,UNIDADE,73.9,73.9
"APLICADOR DE DYCAL",1268325,27,20,ATIVO,UNIDADE,148,7.4
"Arco Young Adulto",1268326,30,5,ATIVO,UNIDADE,40.25,8.05
"CABO P/ ESPELHO ODONTOLOGICO",1268327,32,120,ATIVO,UNIDADE,343.2,2.86
"Cabo para bisturi nº3",1268328,33,40,ATIVO,UNIDADE,316,7.9
"Calcador de banda",1268329,36,1,ATIVO,UNIDADE,35.3,35.3
"Cuba Inox Redonda 13cm",1268330,41,6,ATIVO,UNIDADE,139.38,23.23
"Cureta dentina (escavador), nº 05 PEQUENA",1268331,43,15,ATIVO,UNIDADE,84.75,5.65
"CURETA GRACEY 11-12 - EM AÇO INOX",1268332,45,15,ATIVO,UNIDADE,120.6,8.04
"CURETA GRACEY 5-6 - EM AÇO INOX",1268333,47,50,ATIVO,UNIDADE,402,8.04
"Descolador cirurgico Molt Nº 09",1268334,50,100,ATIVO,UNIDADE,1170,11.7
"Haste flexível em algodão (cotonete).",1268335,324,100,ATIVO,CAIXA,195,1.95
"Hemostático Líquido - 10ml",1268336,325,40,ATIVO,UNIDADE,534,13.35
"Hidróxido de cálcio Pró-Análise - 10g",1268337,326,60,ATIVO,POTE,222,3.7
"Moldeira Total Perfurada Plástico",1268371,382,2,ATIVO,kit,118.46,59.23
