acao,ano,descricaoElemento,fonteRecurso,funcao,id,numeroElemento,orgao,portaria,programa,subfuncao,unidade
1045,2021,"APLICAÇÕES DIRETAS","Transf. do SUS/União",10,5,33900000,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,301,
1045,2021,"APLICAÇÕES DIRETAS","Transf. do SUS/Estado",10,5,33900000,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,301,
1049,2021,"APLICAÇÕES DIRETAS","Transf. do SUS/União",10,8,33900000,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,304,
1050,2021,"APLICAÇÕES DIRETAS","Transf. do SUS/União",10,11,33900000,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,301,
1052,2021,"APLICAÇÕES DIRETAS","Transf. do SUS/União",10,17,33900000,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,305,
1054,2021,"APLICAÇÕES DIRETAS","Transf. do SUS/União",10,21,33900000,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,301,
1054,2021,"APLICAÇÕES DIRETAS","Transf. do SUS/Estado",10,21,33900000,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,301,
1055,2021,"APLICAÇÕES DIRETAS","Transf. do SUS/União",10,25,33900000,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,301,
1057,2021,"APLICAÇÕES DIRETAS","Transf. do SUS/União",10,31,33900000,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,301,
1202,2021,"APLICAÇÕES DIRETAS","Transf. do SUS/União",10,55,33900000,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,303,
1202,2021,"APLICAÇÕES DIRETAS","Transf. do SUS/Estado",10,55,33900000,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,303,
1206,2021,"APLICAÇÕES DIRETAS","Transf. do SUS/União",10,62,33900000,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,305,
1048,2021,"APLICAÇÕES DIRETAS","Transf. do SUS/União",10,70,33900000,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,301,
1048,2021,"APLICAÇÕES DIRETAS","Transf. do SUS/Estado",10,70,33900000,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,301,
