acao,ano,descricaoElemento,fonteRecurso,funcao,id,numeroElemento,orgao,portaria,programa,subfuncao,unidade
1013,2021,"APLICAÇÕES DIRETAS","Convênio de Trânsito - Prefeitura",4,17,33900000,"GABINETE DO PREFEITO"," ",1001,122,
1024,2021,"APLICAÇÕES DIRETAS","Recursos Ordinários",4,84,33900000,"SEC. MUN. DA FAZENDA"," ",1004,122,
1032,2021,"APLICAÇÕES DIRETAS","Receitas de Impostos e de Transf. de Impostos-Educação",12,123,33900000,"SEC. MUN. DE EDUCAÇÃO"," ",1005,361,
1032,2021,"APLICAÇÕES DIRETAS","Salário Educação",12,123,33900000,"SEC. MUN. DE EDUCAÇÃO"," ",1005,361,
1067,2021,"APLICAÇÕES DIRETAS","Transf. do Sist. Unico de Assist. Social-SUAS/União",8,7,33900000,"SEC. MUN. DE PLANEJ. E DESENVOLV. ECONOMICO"," ",1014,243,
1067,2021,"APLICAÇÕES DIRETAS","Recursos Ordinários",8,7,33900000,"SEC. MUN. DE PLANEJ. E DESENVOLV. ECONOMICO"," ",1014,243,
1088,2021,"APLICAÇÕES DIRETAS","Recursos Ordinários",13,1,33900000,"FUNDAÇÃO MUN. DE CULTURA"," ",1018,122,
1093,2021,"APLICAÇÕES DIRETAS","Recursos Ordinários",27,3,33900000,"FUNDAÇÃO MUN. DE ESPORTES"," ",1019,122,
1095,2021,"APLICAÇÕES DIRETAS","Outras Especificações",18,3,33900000,"FUNDAÇÃO MUN. DO MEIO AMBIENTE"," ",1020,122,
1045,2021,"APLICAÇÕES DIRETAS","Transf. do SUS/União",10,5,33900000,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,301,
1050,2021,"APLICAÇÕES DIRETAS","Transf. do SUS/União",10,11,33900000,"FUNDO MUNICIPAL DE SAÚDE"," ",1013,301,
