descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Cabo PP 4x2,5mm",4641350,150,PERDEU," ",1345.3,8.9687
"Cano cobre ½;",4641350,50,PERDEU," ",1154.29,23.0858
"Cano cobre ¼;",4641350,50,PERDEU," ",855.27,17.1054
"Cano cobre ¾;",4641350,50,PERDEU," ",1594.52,31.8904
"Cano cobre 3/8;",4641350,50,PERDEU," ",1002.98,20.0596
"Cano cobre 5/8;",4641350,50,PERDEU," ",1260.75,25.215
"Cano esponjoso ¼;",4641350,70,PERDEU," ",197.66,2.8237
"Cano esponjoso ½.",4641350,70,PERDEU," ",199.76,2.8537
"Cano esponjoso ¾;",4641350,70,PERDEU," ",201.22,2.8746
"Cano esponjoso 3/8;",4641350,70,PERDEU," ",194.16,2.7737
"Cano esponjoso 5/8.",4641350,70,PERDEU," ",200.46,2.8637
"Capacitor 380V 2 UF",4641350,8,PERDEU," ",87.77,10.9712
"Capacitor 380V 4 UF",4641350,8,PERDEU," ",104.35,13.0438
"Capacitor 380V 6 UF",4641350,8,PERDEU," ",114.96,14.37
"Capacitor 380V 25 UF",4641350,8,PERDEU," ",152.92,19.115
"Capacitor 380V 30 UF",4641350,8,PERDEU," ",180.62,22.5775
"Capacitor 380V 35 UF",4641350,8,PERDEU," ",189.44,23.68
"Capacitor 380V 40 UF",4641350,8,PERDEU," ",194.32,24.29
"Capacitor 380V 45 UF",4641350,8,PERDEU," ",238.29,29.7862
"Capacitor 380V 55 UF",4641350,8,PERDEU," ",233.01,29.1262
"Chave contactora CWM 09",4641350,4,PERDEU," ",656.07,164.0175
"Chave contactora CWM 10",4641350,4,PERDEU," ",663.88,165.97
"Compressor para Split 9000 BTUS",4641350,2,PERDEU," ",611.43,305.715
"Compressor para Split 12000 BTUS",4641350,2,PERDEU," ",757.15,378.575
"Compressor para Split 18000 BTUS",4641350,2,PERDEU," ",898.51,449.255
"Compressor para Split 24000 BTUS",4641350,2,PERDEU," ",1033.71,516.855
"Compressor para Split 30000 BTUS",4641350,2,PERDEU," ",1114.97,557.485
"Compressor para Split 60000 BTUS",4641350,1,PERDEU," ",1182.87,1182.87
"Controle remoto univ. ar split",4641350,10,PERDEU," ",550.54,55.054
"Hélice ar cond. 7000 a 24.000 BTUS",4641350,10,PERDEU," ",1485.37,148.537
"90328929 PLACA ELETRONICA",4641350,5,PERDEU," ",753.61,150.722
"87426773	MOTOR DO VENTILADOR",4641350,2,PERDEU," ",244.74,122.37
"Suporte split 7/12000btus",4641350,30,PERDEU," ",6471.8,215.7267
"Suporte split 18/30000btus",4641350,30,PERDEU," ",5564.68,185.4893
"Termostato do ar condicionado",4641350,3,PERDEU," ",81.85,27.2833
"Turbina  do ventilador",4641350,10,PERDEU," ",336.13,33.613
"Gás R22 (carga).",4641350,100,PERDEU," ",4725.37,47.2537
"Gas R410 A (carga).",4641350,100,PERDEU," ",16621.8,166.218
"Limpeza de ar split 9/24.000 btus sem retirada do aparelho",4641350,200,PERDEU," ",10228.8,51.144
"Limpeza completa do ar split com retirada do aparelho",4641350,190,PERDEU," ",14576.04,76.716
"Serviços de Manutenção, Conserto e Instalação dos Aparelhos (hora)",4641350,210,PERDEU," ",20018.63,95.3268
