descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",994.68,331.56
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",1830.87,610.29
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",549.54,183.18
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",640.05,213.35
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",1412.31,470.77
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",1360.44,453.48
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",724.11,241.37
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,200,VENCEU," ",5590,27.95
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,200,VENCEU," ",4794,23.97
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,100,VENCEU," ",3072,30.72
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,200,VENCEU," ",6142,30.71
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,200,VENCEU," ",5840,29.2
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",992.7,330.9
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",1824.75,608.25
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",547.71,182.57
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",637.92,212.64
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",1407.57,469.19
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",1355.67,451.89
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",721.68,240.56
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,200,VENCEU," ",5572,27.86
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,200,VENCEU," ",4778,23.89
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,200,VENCEU," ",6120,30.6
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,200,VENCEU," ",6122,30.61
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,200,VENCEU," ",5820,29.1
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",563.73,187.91
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",669.72,223.24
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",2129.4,709.8
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",1881.3,627.1
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",1183.56,394.52
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",2098.38,699.46
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",2965.66,988.553
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",1183.56,394.52
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",536.19,178.73
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,150,VENCEU," ",4191,27.94
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,150,VENCEU," ",3594,23.96
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,150,VENCEU," ",4603.5,30.69
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",570.24,190.08
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",920.16,306.72
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",1658.88,552.96
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",1924.56,641.52
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",2449.44,816.48
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",5114.67,1704.89
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",1373.76,457.92
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",1393.2,464.4
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",641.52,213.84
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,150,VENCEU," ",4203,28.02
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,150,VENCEU," ",3604.5,24.03
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,150,VENCEU," ",4617,30.78
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,150,VENCEU," ",4617,30.78
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,150,VENCEU," ",4390.5,29.27
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,4,VENCEU," ",1106.04,276.51
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,4,VENCEU," ",1569.64,392.41
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,4,VENCEU," ",1290.36,322.59
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,5,VENCEU," ",653.66,130.732
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,5,VENCEU," ",684.3,136.86
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,200,VENCEU," ",5574,27.87
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,200,VENCEU," ",4780,23.9
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,200,VENCEU," ",6122,30.61
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,6,VENCEU," ",1314.12,219.02
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,6,VENCEU," ",886.44,147.74
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,6,VENCEU," ",598.74,99.79
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,8,VENCEU," ",425.12,53.14
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,8,VENCEU," ",808.72,101.09
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,200,VENCEU," ",5604,28.02
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,200,VENCEU," ",4806,24.03
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,200,VENCEU," ",6156,30.78
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,4,VENCEU," ",952.65,238.162
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,4,VENCEU," ",574.72,143.68
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",314.55,104.85
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,4,VENCEU," ",150.12,37.53
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,4,VENCEU," ",289.96,72.49
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,150,VENCEU," ",4197,27.98
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,150,VENCEU," ",3600,24
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,150,VENCEU," ",4611,30.74
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,4,VENCEU," ",816.36,204.09
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,4,VENCEU," ",401.36,100.34
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,4,VENCEU," ",144.08,36.02
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,4,VENCEU," ",493.96,123.49
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,2,VENCEU," ",542.86,271.43
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,4,VENCEU," ",349.88,87.47
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,150,VENCEU," ",4171.5,27.81
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,150,VENCEU," ",3577.5,23.85
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,150,VENCEU," ",4582.5,30.55
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",653.19,217.73
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",540.42,180.14
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,4,VENCEU," ",684.28,171.07
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,4,VENCEU," ",679.12,169.78
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,4,VENCEU," ",979.76,244.94
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,100,VENCEU," ",2802,28.02
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,100,VENCEU," ",2403,24.03
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,100,VENCEU," ",3078,30.78
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",1096.41,365.47
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,3,VENCEU," ",579.3,193.1
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,2,VENCEU," ",150.34,75.17
"Troca de Óleo e Filtros para Equipamentos Rodoviários",0,5,VENCEU," ",589.7,117.94
