descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Açucar Branco Refinado 1Kg",0,800,PERDEU," ",2576,3.22
"Açucar Mascavo 1Kg",0,150,PERDEU," ",1417.5,9.45
"Adoçante liquido 80 Ml (Stevia)",0,50,PERDEU," ",715,14.3
"Água de Coco 1 Lt",0,400,PERDEU," ",3876,9.69
"Agua de coco 200ml",0,60,PERDEU," ",2010,33.5
"Azeite de Oliva",0,20,PERDEU," ",382,19.1
"Balas (chocolate, Coco, Caramelo) embalagem 750g",0,50,PERDEU," ",605,12.1
"Banana Branca",0,120,PERDEU," ",573.6,4.78
"BISCOITO AGUA E SAL",0,350,PERDEU," ",1533,4.38
"Biscoito amanteigado sabores diversos embalagem 400g",0,200,PERDEU," ",1398,6.99
"Biscoito Chocolate 330g",0,60,PERDEU," ",334.8,5.58
"Biscoito coco embalagem 400g",0,30,PERDEU," ",159,5.3
"Biscoito milho embalagem 400g",0,30,PERDEU," ",159,5.3
"Biscoito wafer sabores diversos embalagem 160g",0,150,PERDEU," ",382.5,2.55
"Bolachão mel 400 g",0,50,PERDEU," ",307.5,6.15
"Bomboniere em vidro com tampe e pé 2,5 litros",0,10,PERDEU," ",548,54.8
"bule de 3 litros de aluminio",0,5,PERDEU," ",320,64
"Café moido a vácuo embalagem 500gr",0,800,PERDEU," ",9040,11.3
"Chá Diversos Caixa com 10 Sachets",0,250,PERDEU," ",987.5,3.95
"Chaleira elétrica",0,3,PERDEU," ",258,86
"Coador de café em flanela 100% algodão",0,10,PERDEU," ",102,10.2
"Filtro de Papel 103 caixa com 30 unidades",0,200,PERDEU," ",630,3.15
"Garfo descartavel sobremesa",0,150,PERDEU," ",697.5,4.65
"Garrafa Térmica de 1 litro",0,30,PERDEU," ",1440,48
"Garrafa térmica de 1.8 litro",0,40,PERDEU," ",2872,71.8
"Guardanapo 23x23cm com 50 unidades",0,200,PERDEU," ",420,2.1
"Jogo Talher com 24 unidades",0,5,PERDEU," ",362.5,72.5
"LEITE EM PO 400g INSTANTANEO",0,60,PERDEU," ",750,12.5
"Leite Integral caixa com 12 litros",0,210,PERDEU," ",8148,38.8
"Maça Fugi",0,50,PERDEU," ",462.5,9.25
"Manteiga Com Sal Tablet 200 g",0,50,PERDEU," ",457.5,9.15
"Mexedor descartável para café (emb.com 200 unidades)",0,20,PERDEU," ",150,7.5
"OLEO DE SOJA",0,40,PERDEU," ",308,7.7
"Ovos Tipo Colonial",0,60,PERDEU," ",342,5.7
"Palito caixa com 100 und",0,30,PERDEU," ",55.5,1.85
"Pano de louça para copa",0,200,PERDEU," ",700,3.5
"Papel Toalha de copa e cozinha",0,60,PERDEU," ",215.4,3.59
"Pêra Dagua Nacional",0,75,PERDEU," ",716.25,9.55
"Pratos plastico desc medio pc com 10 un",0,10,PERDEU," ",28.5,2.85
"Pratos plastico descartavel pequeno com 10 un",0,500,PERDEU," ",1160,2.32
"Refrigerante 2 Litros",0,200,PERDEU," ",1370,6.85
"Refrigerante Sabores Diversos 350 ml",0,600,PERDEU," ",1650,2.75
"SAL REFINADO",0,30,PERDEU," ",49.5,1.65
"SALGADOS SORTIDOS",0,280,PERDEU," ",17360,62
"Suco Natural Sabores Variados 1 Litro",0,460,PERDEU," ",3105,6.75
"Suporte para filtro café 103",0,10,PERDEU," ",86,8.6
VINAGRE,0,20,PERDEU," ",44,2.2
