descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Apontador de lápis em plástico",4402481,1000,DESCLASSIFICADO,CX,24800,24.8
"Apagador, quadro negro escolar",4402482,200,PERDEU,UND,780,3.9
"Apagador para Quadro Branco.",4402483,200,VENCEU,UND,678,3.39
"Bastão de Cola Quente Grosso",4402484,100,VENCEU,UND,100,1
"Borracha  branca escolar - para apagar escrita a lápis -nº 4",4402485,600,DESCLASSIFICADO,CX,4896,8.16
"Barbante cru nº6. 1 KG",4402486,150,NAO_COTOU,RL,0,0
"Caneta destaca texto.",4402487,200,DESCLASSIFICADO,CX,2494,12.47
"Caneta esferografica azul ponta fina",4402488,400,VENCEU,CX,8200,20.5
"Caneta esferografica vermelha ponta fina",4402489,70,VENCEU,CX,1435,20.5
"Cola Branca - cola extra",4402490,70,VENCEU,UND,519.4,7.42
"Caixa de arquivo morto.",4402491,400,PERDEU,UND,2160,5.4
"Caderno Pequeno brochura.",4402492,500,PERDEU,UND,7625,15.25
"Caderno Pequeno brochura.",4402493,1500,PERDEU,UND,25590,17.06
"Caixa em papelão para arquivo morto.",4402494,350,PERDEU,UND,1239,3.54
"CAIXA ORGANIZADORA plástica 6 litros",4402495,200,PERDEU,UND,4080,20.4
"CAIXA ORGANIZADORA plástica alta 36 litros",4402496,300,NAO_COTOU,UND,0,0
"Cartolina com gramatura mínima 180/gm2",4402497,500,PERDEU,PCT,20900,41.8
"Cartolina tamanho ofício 210mmx297mm",4402498,20000,PERDEU,UND,4800,0.24
"Caderno quadriculado com arame. 1,0x1,0Cm",4402499,100,VENCEU,UND,204,2.04
"Cola Branca não toxica",4402500,5000,PERDEU,UND,8500,1.7
"Compasso corpo de metal",4402501,50,DESCLASSIFICADO,UND,512.5,10.25
"COLA  EXTRA ADESIVO 1KG",4402502,150,NAO_COTOU,UND,0,0
"Caderno brochurão com capa flexível grande",4402503,5000,PERDEU,UND,10450,2.09
"Caneta hidrográfica 24 cores",4402504,100,PERDEU,PCT,648,6.48
"Caixa organizadora NA SEGUINTE MEDIDA: 42,0cm x 31,0cm x 20,",4402505,500,PERDEU,UND,17650,35.3
"ESQUADROS DE 28 CM",4402506,50,VENCEU,UND,183.5,3.67
"ESTILETE PROFISSIONAL 6Polegadas",4402507,100,NAO_COTOU,UND,0,0
"Folha de Isopor 2,5 mm",4402508,30,NAO_COTOU,FL,0,0
"Folha em EVA COM GLITTER",4402509,2000,DESCLASSIFICADO,UND,11300,5.65
"Folha em EVA 600x400x2mm",4402510,3000,PERDEU,UND,3900,1.3
"Fita adesiva plastica transparente",4402511,6000,PERDEU,UND,22140,3.69
"FOLHA OFÍCIO colorida, 210x297mm. 75g/m2",4402512,500,DESCLASSIFICADO,PCT,2975,5.95
"Fita adesiva em papel crepado",4402513,6000,PERDEU,UND,31860,5.31
"Fita adesiva colorida 12x30mt",4402514,200,VENCEU,PCT,436,2.18
"Grafite - Mina 2.0mm",4402515,250,VENCEU,CX,1987.5,7.95
"Giz branco plastificado",4402516,500,PERDEU,CX,1530,3.06
"Giz colorido plastificado",4402517,500,PERDEU,CX,1970,3.94
"Grampeador médio de mesa metálico, 26/6",4402518,300,DESCLASSIFICADO,UND,5355,17.85
"Grampeador profissional 28 cm P/ 100 FL",4402519,70,DESCLASSIFICADO,UND,4421.9,63.17
"Grampo para grampeador  Galvanizado, 26/6",4402520,600,PERDEU,CX,2148,3.58
"Grampo para grampeador Galvanizado, 23/13",4402521,300,PERDEU,CX,4800,16
"Grampo para grampeador de madeira galvanizado, 106/6",4402522,100,PERDEU,CX,815,8.15
"Grampeador para madeira de pressão 106/6mm",4402523,10,PERDEU,UND,447.4,44.74
"Guache Cores básicas",4402524,1000,VENCEU,UND,2540,2.54
"Giz de cera: tons de pele",4402525,1000,PERDEU,CX,7300,7.3
"Giz de Cera: colorido",4402526,5000,PERDEU,UND,11950,2.39
"Lápis preto de grafite nº 2.",4402527,1000,NAO_COTOU,CX,0,0
"Lápis colorido - Caixa contendo 12 unidades em cores diferen",4402528,5000,DESCLASSIFICADO,CX,33300,6.66
"Lápis preto grafite 6B",4402529,300,NAO_COTOU,CX,0,0
"Massa de modelar macia",4402530,5000,PERDEU,CX,11350,2.27
"Papel Almaço com pauta e margem n 05 somente no lado esquerd",4402531,100,PERDEU,RES,2961,29.61
"Papel cartão COLORIDO NOS DOIS LADOS 180 Gr/m2",4402532,5000,PERDEU,UND,3250,0.65
"Perfurador 2 furos para ate 20 folhas.",4402533,100,DESCLASSIFICADO,UND,1671,16.71
"Plástico autoadesivo de fácil aplicação",4402534,65,VENCEU,UND,3250,50
"Papel Duplex, (colorido de um só lado) COM BRILHO",4402535,6000,DESCLASSIFICADO,UND,10200,1.7
"Papel SEDA, COM BRILHO",4402536,4000,NAO_COTOU,UND,0,0
"Papel Almaço quadriculado 20x27,5 A4 (1x1cm).",4402537,30,VENCEU,PCT,264.3,8.81
"Papel Off-set, alcalino, formato A-4.",4402538,200,PERDEU,CX,36000,180
"Pasta Arquivo polipropileno",4402539,400,PERDEU,UND,1620,4.05
"Pincel chato - numero 8",4402540,1000,PERDEU,UND,920,0.92
"Pincel chato - numero 12",4402541,1000,DESCLASSIFICADO,UND,1080,1.08
"Pincel marcador permanete 2pontas: grossa e fina",4402542,80,PERDEU,CX,1552,19.4
"Pincel para Quadro Branco Recarregável",4402543,5000,DESCLASSIFICADO,UND,11300,2.26
"Pincel Atômico, com pontas de feltro, chanfrada",4402544,2000,PERDEU,UND,2800,1.4
"Pistola p/ Cola Quente elétrico,(GRANDE)",4402545,150,PERDEU,UND,2272.5,15.15
"Régua geométrica, 0,2 x 9 x 22,5 cm",4402546,50,PERDEU,PCT,802,16.04
"Régua escritório.",4402547,7000,VENCEU,UND,8400,1.2
"Tesoura de ponta arredondada",4402548,5000,DESCLASSIFICADO,UND,17500,3.5
"Tesoura Doméstica",4402549,500,DESCLASSIFICADO,UND,2240,4.48
"Tesoura corte ondulador para picote 22cm",4402550,100,DESCLASSIFICADO,UND,4308,43.08
"Tecido TNT",4402551,70,PERDEU,UND,8183,116.9
"Tinta recarga para quadro branco de 500ml",4402552,140,PERDEU,UND,5866,41.9
"Bobina de Papel Kraft",4402553,150,PERDEU,UND,25377,169.18
"Bobina de Papel Kraft",4402554,450,PERDEU,UND,76131,169.18
"Bobina de Papel Pardo Kraft 1,20 M largura",4402555,200,PERDEU,UND,51884,259.42
