descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Material lúdico “Zé Bocheca”",5376137,15,VENCEU,UN,2985,199
"Super Prato (jogo de tabuleiro)",5376138,15,VENCEU,UN,7650,510
"FITA METRICA",5376139,150,VENCEU,UN,690,4.6
"Réplica de Intestino Lúdico",5376140,20,VENCEU,UN,4200,210
"Material lúdico “Microbiota Combate”",5376141,15,VENCEU,UN,8250,550
"Material  lúdico “Nutri Célula”",5376142,15,VENCEU,UN,5011.5,334.1
"Avental Alimentar - Alimentar DigestivoAvental",5376143,15,VENCEU,UN,2835,189
"Livro Didático: A Cesta da Dona Maricota",5376144,15,VENCEU,UN,322.5,21.5
"Kit com Estojo Ilustrativo de quantidade de nutrientes nos alimentos",5376152,15,VENCEU,UN,22275,1485
"Seio em Silicone",5376153,50,VENCEU,UN,6575,131.5
"Avental com Mamas",5376154,25,VENCEU,UN,2375,95
"Kit didático para simulação do parto e amamentação.",5376155,12,VENCEU,UN,11340,945
"Material com tipo “baralho de cartas” intitulado: Nutrição Com-portamental",5376156,20,VENCEU,UN,710,35.5
"Material tipo “baralho de cartas”",5376157,20,VENCEU,UN,2364,118.2
"Livro Lista de Substituição de Alimentos",5376160,20,VENCEU,UN,3935,196.75
