descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"APARELHO TELEFONICO SEM FIO",4448328,100,PERDEU,UND,13033,130.33
"Calculadora de mesa 12 digitos",4448329,100,PERDEU,UND,2056,20.56
"Dispensador de senha com pedestal",4448330,10,VENCEU,UN,2848,284.8
"Grampeador para papeis",4448331,220,DESCLASSIFICADO,UN,2855.6,12.98
"Pasta plástica de arquivo, com no minimo 25 mm",4448332,400,PERDEU,UN,1364,3.41
"Pasta plástica de arquivo, com no minimo 30 mm",4448333,600,PERDEU,UN,2382,3.97
"Pasta plástica de arquivo, com no minimo 50 mm",4448334,200,PERDEU,UN,1038,5.19
"Rolo de senha de papel",4448335,200,VENCEU,UNI,2160,10.8
"Tesoura Doméstica",4448336,250,DESCLASSIFICADO,UND,1492.5,5.97
"Balão tamanho no. 7",4448337,300,PERDEU,PCT,1881,6.27
BARBANTE,4448338,75,PERDEU,RL,599.25,7.99
"Caixa organizadora retangular capac. 10 lt",4448339,150,DESCLASSIFICADO,UN,3445.5,22.97
"Caixa organizadora retangular capac. 20 lt",4448340,150,DESCLASSIFICADO,UN,4936.5,32.91
"Lápis colorido",4448341,30,PERDEU,CX,155.1,5.17
"Papel cartão colorido fosco (46cm x 66cm)",4448342,300,DESCLASSIFICADO,UNI,333,1.11
"Pasta suspensa craft 331x200",4448343,25,INABILITADO,CX,1735.5,69.42
"TNT (TECIDO NÃO TEXTURIZADO)",4448344,30,VENCEU,ROLO,2595,86.5
"Escada tipo doméstica de alumino com mínimo de 5 degraus",4448345,70,DESCLASSIFICADO,UN,11690,167
"Papel Higiênico 30m, fardo com 64  unidades",4448346,600,DESCLASSIFICADO,FRD,43740,72.9
"Papel toalha interfolhado na cor branca",4448347,6000,DESCLASSIFICADO,PCT,53580,8.93
