descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"MOBILIÁRIO SOB MEDIDA COZINHA - CONFORME PROJETO",0,1,NAO_COTOU," ",0,0
"MOBILIÁRIO SOB MEDIDA LAVANDERIA - CONFORME PROJETO",0,1,NAO_COTOU," ",0,0
"MOBILIÁRIO SOB MEDIDA CIRCULAÇÃO - CONFORME PROJETO",0,1,NAO_COTOU," ",0,0
"CADEIRA GIRATÓRIA ESPALDAR BAIXO, BRAÇOS REGULAVEIS OPERACIONAL",0,22,NAO_COTOU," ",0,0
"CADEIRA EMPILHÁVEL COM ASSENTO E ENCOSTO MONOBLOCO",0,115,NAO_COTOU," ",0,0
"PUFF HEXAGONAL REGULAR E IRREGULAR",0,52,NAO_COTOU," ",0,0
"ARMÁRIO BAIXO 02 PORTAS 01 PRATELEIRA MED. APROX. 800.460.740 MM",0,82,NAO_COTOU," ",0,0
"ARMÁRIO SUPER ALTO COM 02 PORTAS, COM 04 PRATELEIRAS MED. APROX. 900.500.2000 MM",0,10,NAO_COTOU," ",0,0
"GAVETEIRO VOLANTE COM 03 GAVETAS RASA BAIXA MED. APROX. 400.460.540 MM",0,7,NAO_COTOU," ",0,0
"MESA ANGULAR  ORGANICA TAMPO ÚNICO MED. APROX. 1600.1600.600/740 MM  e  MED. APROX. 1600.1600.600/740 MM",0,5,NAO_COTOU," ",0,0
"MESA ANGULAR  ORGANICA TAMPO ÚNICO MED. APROX. 1400.1400.600/740 MM  e  MED. APROX. 1400.1400.600/740 MM",0,1,NAO_COTOU," ",0,0
"MESA RETANGULAR COM PÉ DE AÇO MED. APROX. 1200.600.740 MM",0,15,NAO_COTOU," ",0,0
"MESA RETANGULAR COM PÉ DE AÇO MED. APROX. 1400.600.740MM",0,1,NAO_COTOU," ",0,0
"MESA DE REUNIÃO REDONDA COM PÉ DE AÇO MED. 1200.1200.740 MM",0,1,NAO_COTOU," ",0,0
"MESA DE REUNIÃO RETANGULAR TAMPO BIPARTIDO PÉ DE AÇO MED. 3150.1200.740 MM",0,2,NAO_COTOU," ",0,0
"MESA DE REUNIÃO RETANGULAR TAMPO BIPARTIDO PÉ DE AÇO MED. 2500.1200.740 MM",0,2,NAO_COTOU," ",0,0
"MESA DE REUNIÃO RETANGULAR TAMPO ÚNICO PÉ DE AÇO MED. 2000.1200.740 MM",0,2,NAO_COTOU," ",0,0
"MESA RETANGULAR COM PÉS METÁLICOS E BANCOS PARA REFEITÓRIO MED. APROX. 1400.686.730MM E 1400.350.",0,4,NAO_COTOU," ",0,0
"BALCAO DE ATENDIMENTO CURVO MED. 1600.1600.735 MM E MED. 1160.600.300 MM",0,1,NAO_COTOU," ",0,0
