descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"CADEIRA DE ESCRITÓRIO FIXA",4401410,18,VENCEU,UND,10800,600
"CADEIRA DE ESCRITÓRIO GIRATÓRIA",4401411,3,PERDEU,UND,2757,919
"CADEIRA LONGARINA AEROPORTO",4401412,2,PERDEU,UND,3254,1627
"CADEIRA ESCRITÓRIO PRESIDENTE",4401413,18,PERDEU,UND,24750,1375
"MESA DE ESCRITÓRIO RETANGULAR",4401414,13,NAO_COTOU,UND,0,0
"MESA DIRETOR ESQUERDA",4401415,5,NAO_COTOU,UND,0,0
"MESA DIRETOR DIREITA",4401416,3,NAO_COTOU,UND,0,0
"MESA DE REUNIÃO RETANGULAR PÉ PAINEL",4401417,2,NAO_COTOU,UND,0,0
GAVETEIRO,4401418,11,NAO_COTOU,UND,0,0
"ARMÁRIO ALTO DUAS PORTAS",4401419,8,NAO_COTOU,UND,0,0
"ARMÁRIO DUAS PORTAS E DUAS PRATELEIRAS",4401420,5,NAO_COTOU,UND,0,0
"BALCÃO 4 PORTAS",4401421,2,NAO_COTOU,UND,0,0
"BALCÃO 2 PORTAS",4401422,2,NAO_COTOU,UND,0,0
"DIVISÓRIA LEVE ESCRITÓRIO",4401423,23.08,NAO_COTOU,M2,0,0
"PAREDE DE GESSO ACARTONADO",4401424,37.65,NAO_COTOU,M2,0,0
GELADEIRA,4401425,1,NAO_COTOU,UND,0,0
Microondas,4401426,1,NAO_COTOU,UND,0,0
"Cafeteira elétrica",4401427,1,NAO_COTOU,UND,0,0
"SANDUICHEIRA GRILL",4401428,1,NAO_COTOU,UND,0,0
