descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Mochila infantil",0,8000,DESCLASSIFICADO_LANCE," ",547760,68.47
"mochila fundamental",0,14500,DESCLASSIFICADO_LANCE," ",1029500,71
"Tênis Unissex",0,22500,DESCLASSIFICADO_LANCE," ",2003625,89.05
"Meias tipo colegial unissex",0,45000,DESCLASSIFICADO_LANCE," ",462600,10.28
"Camisetas clube da matemática",0,1000,VENCEU," ",28310,28.31
"Camisetas Manga Longa",0,300,VENCEU," ",9360,31.2
"Camisas PROJAE - manga curta",0,3000,VENCEU," ",84420,28.14
"Camisetas Unissex-cores a serem definidas",0,2000,VENCEU," ",51520,25.76
"Camisas polos",0,2500,VENCEU," ",91275,36.51
"bermuda masculina/feminina sem bolso e detalhes na lateral",0,3000,VENCEU," ",109110,36.37
"Bermuda feminina",0,4800,DESCLASSIFICADO_LANCE," ",152304,31.73
"Bermuda Masculina",0,12000,DESCLASSIFICADO_LANCE," ",420120,35.01
"Short saia feminina",0,9000,DESCLASSIFICADO_LANCE," ",375930,41.77
"Camiseta manga curta unissex-uniforme",0,45000,DESCLASSIFICADO_LANCE," ",1691100,37.58
"Calça masculina",0,11250,DESCLASSIFICADO_LANCE," ",407475,36.22
"CALÇA FEMININA",0,11250,DESCLASSIFICADO_LANCE," ",372600,33.12
"Jaqueta moleton",0,22500,DESCLASSIFICADO_LANCE," ",1507275,66.99
"Jaqueta Tactel",0,22000,DESCLASSIFICADO_LANCE," ",2036540,92.57
