descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Câmera do tipo webcam",4448024,2,PERDEU,UN,1110,555
"Kit teclado e mouse com conexão sem fio",4448025,3,VENCEU,UN,510,170
"Fone de ouvido do tipo headset",4448026,65,INABILITADO,UN,12675,195
"Microfone do tipo condensador",4448027,2,VENCEU,UN,700,350
"Caixa de som do tipo soundbar",4448028,65,VENCEU,UN,14625,225
"Licença comercial, perpétua, software Corel Draw",4448030,1,VENCEU,UN,3650,3650
"CAIXA DE SOM COM MICROFONE SEM FIO",4448032,2,VENCEU,UN,3300,1650
"MICROFONE Sem fio",4448033,2,VENCEU,UN,650,325
"Gravador digital de audio display LCD monocromatico",4448034,2,VENCEU,UN,2020,1010
"Microfone de lapela com fio de 6 metros",4448037,4,VENCEU,UN,860,215
