descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Eletrodo Para Monitorização Cardíaca c/ Gel - Adulto.",4447630,72000,PERDEU,UNI,25200,0.35
"Fio cirúrgico preto monofilamentar de poliamida no. 3,0",4447632,150,PERDEU,CX,5061,33.74
"Fio cirúrgico preto monofilamentar de poliamida no. 4,0.",4447633,150,PERDEU,CX,4678.5,31.19
"Fita Cirúrgica Microporosa Hipoalergênica largura 2,5cm x 4,",4447634,3500,PERDEU,UNI,7035,2.01
"Fita Cirúrgica Microporosa largura 10cm x 4,5m, na cor bege",4447635,3000,VENCEU,UN,16470,5.49
"Luva Látex não Estéril tamanho  PP.",4447638,500,PERDEU,CX,46800,93.6
"Luva Látex não Estéril tamanho  PP.",4447639,1500,DESCLASSIFICADO,CX,140400,93.6
"Luva Látex não Estéril tamanho  P.",4447640,800,PERDEU,CX,74080,92.6
"Luva Látex não Estéril tamanho  P.",4447642,5700,DESCLASSIFICADO,CX,527820,92.6
"Luva Látex não Estéril tamanho  M.",4447643,800,PERDEU,CX,74080,92.6
"Luva Látex não Estéril tamanho  M.",4447644,7200,DESCLASSIFICADO,CX,666720,92.6
"Luva Látex não Estéril tamanho  G.",4447645,800,PERDEU,CX,75520,94.4
"Luva Látex não Estéril tamanho  G.",4447646,1200,DESCLASSIFICADO,CX,113280,94.4
"Luva Nitrilica não Estéril tamanho PP cor azul.",4447647,600,VENCEU,CX,57774,96.29
"Luva Nitrilica não Estéril tamanho P cor azul.",4447648,625,VENCEU,CX,59393.75,95.03
"Luva Nitrilica não Estéril tamanho P cor azul.",4447649,1875,PERDEU,CX,183750,98
"Luva Nitrilica não Estéril tamanho M cor azul.",4447650,750,PERDEU,CX,73500,98
"Luva Nitrilica não Estéril tamanho M cor azul.",4447651,2250,PERDEU,CX,220500,98
"Luva Nitrilica não Estéril tamanho G cor azul.",4447652,250,PERDEU,CX,24500,98
"Luva Nitrilica não Estéril tamanho G cor azul.",4447653,750,PERDEU,CX,73500,98
"Luvas Látex não Estéril tamanho P, SEM PÓ",4447655,600,VENCEU,CX,57720,96.2
"Luvas Látex não Estéril tamanho M, SEM PÓ",4447656,200,VENCEU,CX,19240,96.2
"Máscara de oxigênio com bolsa",4447657,250,PERDEU,UN,3937.5,15.75
"oleo de girassol",4447658,3000,DESCLASSIFICADO,UN,15690,5.23
"oleo de girassol",4447659,9000,DESCLASSIFICADO,UN,47070,5.23
"Seringa 3ml, sem agulha",4447661,150000,PERDEU,UN,45000,0.3
"Seringa 5ml, sem agulha",4447662,50000,VENCEU,UN,14500,0.29
"Seringa 10ml, sem agulha",4447663,50000,PERDEU,UNI,21500,0.43
"Seringa 20ml, sem agulha",4447664,45000,VENCEU,UNI,27900,0.62
"Seringa 60ml, sem agulha",4447665,3000,PERDEU,UN,6930,2.31
"Sonda nasal para alimentação enteral nº 12",4447666,600,PERDEU,UNI,6900,11.5
"Sonda uretral nº 10 descartável",4447667,30000,VENCEU,UN,14700,0.49
"Sonda uretral nº 14 descartável",4447668,30000,PERDEU,UN,15900,0.53
"Otoscopio com iluminação halógena por Fibra Ótica",4447669,60,PERDEU,UN,44490,741.5
"Tampa Universal LuerLock, estéril, epirogênica",4447671,3000,VENCEU,UNI,1140,0.38
