descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"SALA DE ESTAR FUNCIONÁRIOS/BALCÃO DA PIA",0,1,INABILITADO," ",936,936
"SALA DE ESTAR FUNCIONÁRIOS/MESA/BANCADA",0,1,INABILITADO," ",583,583
"SALA DE ESTAR FUNCIONÁRIOS/PAINEL DE TV",0,1,INABILITADO," ",927,927
"SALA DE ESTAR FUNCIONÁRIOS/ARMÁRIO PARA GUARDAR PERTENCES DO",0,1,INABILITADO," ",1820,1820
"CONSULTÓRIOS/MESA ESCRIVANINHA",0,6,INABILITADO," ",3948,658
"CONSULTÓRIOS/ARMÁRIO DUAS PORTAS",0,6,INABILITADO," ",8712,1452
"CONSULTÓRIOS/GAVETEIRO COM RODIZIO",0,12,INABILITADO," ",5928,494
"CONSULTÓRIOS/BALCÃO DE APOIO",0,8,INABILITADO," ",6224,778
"SALA DE REUNIÕES/MESA DE REUNIÕES",0,1,INABILITADO," ",2240,2240
"SALA DE REUNIÕES/PAINEL DE TV",0,1,INABILITADO," ",976,976
"SALA DE INFORMÁTICA/Mesa escrivaninha",0,1,INABILITADO," ",658,658
"SALA DE MEDICAMENTOS/BALCÃO DE PIA",0,1,INABILITADO," ",1953,1953
"SALA DE MEDICAMENTOS/Armário Aéreo",0,1,INABILITADO," ",1484,1484
"ALMOXARIFADO/ARMÁRIO ABERTO 1/ARMÁRIO ABERTO PRATELEIRA 1",0,1,INABILITADO," ",2607,2607
"ALMOXARIFADO/ARMÁRIO ABERTO PRATELEIRA 2 -",0,1,INABILITADO," ",3206,3206
"SALA DE SUTURAS E CURATIVOS ASSEPTICOS/BALCÃO DA PIA",0,1,INABILITADO," ",875,875
"SALA DE SUTURAS E CURATIVOS ASSEPTICOS/ARMÁRIO AÉREO",0,1,INABILITADO," ",942,942
"SALA DE SUTURAS E CURATIVOS SÉPTICOS/Balcão da pia",0,1,INABILITADO," ",875,875
"SALA DE SUTURAS E CURATIVOS SÉPTICOS/ARMÁRIO AÉREO",0,1,INABILITADO," ",942,942
"DML (DEPÓSITO DE MATERIAL DE LIMPEZA)/ARMÁRIO",0,1,INABILITADO," ",1515,1515
"SALA ADMINISTRATIVA/ARMÁRIO DUAS PORTAS COM CHAVE",0,2,INABILITADO," ",3030,1515
"SALA ADMINISTRATIVA/MESA SALA ADMINISTRATIVA EM L",0,1,INABILITADO," ",1743,1743
"SALA DE TELEFONIA/MESA ESCRIVANINHA",0,1,INABILITADO," ",658,658
"SALA DE TELEFONIA/ARMÁRIO DUAS PORTAS COM CHAVE",0,1,INABILITADO," ",1515,1515
"SALA DE ARQUIVO MÉDICO/ARMÁRIO ABERTO PRATELEIRA",0,1,INABILITADO," ",2814,2814
"SALA DE TRIAGEM DE ENFERMAGEM/MESA ESCRIVANINHA",0,1,INABILITADO," ",658,658
"SALA DE TRIAGEM DE ENFERMAGEM/ARMÁRIO DUAS PORTAS COM CHAVE",0,1,INABILITADO," ",1515,1515
"SALA DE ESPERA PACIENTE/PAINEL DE TV/Painel da TV",0,1,INABILITADO," ",1043,1043
"SALA DE ESPERA PACIENTE/BALCÃO/BANCADA DE ÁGUA",0,1,INABILITADO," ",875,875
"SALA DE OBSERVAÇÃO E QUARTO DE ISOLAMENTO, (GUARDA PERTENCES",0,4,INABILITADO," ",3948,987
"PRATELEIRA (SALA DE RECUPERAÇÃO E APLICAÇÃO DE MEDICAMENTOS",0,14,INABILITADO," ",3976,284
"SALA DE SERVIÇO DE ENFERMAGEM/BALCÃO DA PIA",0,1,INABILITADO," ",1521,1521
"POSTO DE ENFERMAGEM/BALCÃO EM L, DE ATENDIMENTO E DE LAUDO M",0,1,INABILITADO," ",2422,2422
"POSTO DE ENFERMAGEM/BALCÃO DA PIA",0,1,INABILITADO," ",1736,1736
