descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"ABÓBORA - NAS ESCOLAS",4400410,7201,CREDENCIADO,KG,17642.45,2.45
"ABOBRINHA  -  NAS ESCOLAS",4400411,1791,CREDENCIADO,KG,6966.99,3.89
"AIPIM SEM CASCA, CONGELADO - NAS ESCOLAS",4400412,3049,CREDENCIADO,KG,14635.2,4.8
"ALFACE CONVENCIONAL - NAS ESCOLAS",4400413,1227,CREDENCIADO,KG,14601.3,11.9
"ACELGA/COUVE CHINESA - NAS ESCOLAS",4400414,2392,CREDENCIADO,KG,9328.8,3.9
"BATATA DOCE - NAS ESCOLAS",4400415,2540,CREDENCIADO,KG,8991.6,3.54
"BATATA INGLESA - NAS ESCOLAS",4400416,8595,CREDENCIADO,KG,27933.75,3.25
"BETERRABA - NAS ESCOLAS",4400417,6352,CREDENCIADO,KG,26996,4.25
"BRÓCOLIS - NAS ESCOLAS",4400418,1120,CREDENCIADO,KG,12096,10.8
"CEBOLA DE CABEÇA - NAS ESCOLAS",4400419,17370,CREDENCIADO,KG,62358.3,3.59
"CENOURA - NAS ESCOLAS",4400420,9554,CREDENCIADO,KG,40986.66,4.29
"CHUCHU - NAS ESCOLAS",4400421,1654,CREDENCIADO,KG,4962,3
"COUVE MANTEIGA - NAS ESCOLAS",4400422,1641,NAO_COTOU,KG,18297.15,11.15
"COUVE FLOR - NAS ESCOLAS",4400423,1786,CREDENCIADO,KG,14645.2,8.2
"PEPINO - NAS ESCOLAS",4400424,1604,CREDENCIADO,KG,6175.4,3.85
"REPOLHO VERDE- NAS ESCOLAS",4400425,9533,CREDENCIADO,KG,16682.75,1.75
"REPOLHO ROXO - NAS ESCOLAS",4400426,709,CREDENCIADO,KG,1985.2,2.8
"TEMPERO VERDE - NAS ESCOLAS",4400427,595,CREDENCIADO,KG,5860.75,9.85
"TOMATE - NAS ESCOLAS",4400428,25931,CREDENCIADO,KG,125765.35,4.85
"ABACAXI - NAS ESCOLAS",4400429,2850,CREDENCIADO,UND,13708.5,4.81
"BANANA ORGÂNICA - NAS ESCOLAS",4400430,15979,CREDENCIADO,KG,71905.5,4.5
"BANANA CONVENCIONAL - NAS ESCOLAS",4400431,156104,CREDENCIADO,KG,544802.96,3.49
"CAQUI - NAS ESCOLAS",4400432,8700,NAO_COTOU,KG,0,0
"LARANJA - NAS ESCOLAS",4400433,47221,CREDENCIADO,KG,153468.25,3.25
"MAÇÃ - NAS ESCOLAS",4400434,53664,CREDENCIADO,KG,287102.4,5.35
"MELANCIA - NAS ESCOLAS",4400435,11161,NAO_COTOU,KG,0,0
"NECTARINA - NAS ESCOLAS",4400436,6836,NAO_COTOU,KG,0,0
"PERA - NAS ESCOLAS",4400437,8434,NAO_COTOU,KG,0,0
"TANGERINA - NAS ESCOLAS",4400438,52191,CREDENCIADO,KG,202501.08,3.88
"OVOS DE GALINHA - NA CENTRAL",4400439,200,NAO_COTOU,DZ,0,0
"OVOS DE GALINHA - NAS ESCOLAS",4400440,40517,CREDENCIADO,DZ,262955.33,6.49
"POLPA DE FRUTA NATURAL, CONGELADA, SEM ADIÇÃO DE ÁGUA E AÇÚC",4400441,18939,CREDENCIADO,KG,350182.11,18.49
"AÇÚCAR MASCAVO - NA CENTRAL",4400442,3675,NAO_COTOU,KG,0,0
"ARROZ BRANCO - NA CENTRAL",4400443,2139,NAO_COTOU,KG,0,0
"ARROZ PARBOILIZADO -  NA CENTRAL",4400444,87707,CREDENCIADO,KG,385033.73,4.39
"FARINHA DE MANDIOCA TORRADA - NA CENTRAL",4400445,888,NAO_COTOU,KG,0,0
"FARINHA DE MILHO - NA CENTRAL",4400446,3601,CREDENCIADO,KG,17284.8,4.8
"FEIJÃO CARIOCA - NA CENTRAL",4400447,100,NAO_COTOU,KG,0,0
"FEIJÃO PRETO - NA CENTRAL",4400448,50077,CREDENCIADO,KG,330007.43,6.59
"LEITE INTEGRAL EM PÓ INSTANTÂNEO VITAMINADO - NA CENTRAL",4400449,39414,NAO_COTOU,KG,0,0
"MELADO DE CANA - NA CENTRAL",4400450,10,NAO_COTOU,KG,0,0
"QUEIJO COLONIAL, FRACIONADO - NAS ESCOLAS",4400451,458,NAO_COTOU,KG,0,0
"CARNE BOVINA, MOÍDA, CONGELADA - NAS ESCOLAS",4400452,14285,NAO_COTOU,KG,0,0
"CARNE BOVINA, EM CUBOS, CONGELADA - NAS ESCOLAS",4400453,7752,NAO_COTOU,KG,0,0
"CARNE SUÍNA, EM CUBOS, CONGELADO - NAS ESCOLAS",4400454,6051,NAO_COTOU,KG,0,0
"PEIXE, MOÍDO, CONGELADO - NAS ESCOLAS",4400455,1188,CREDENCIADO,KG,41568.12,34.99
