descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"ACOPLAMENTO P/ GARRAFA MONTADA  MOD. KAVO",0,3,VENCEU," ",464.76,154.92
"ANEL DE VEDAÇÃO  DE SILICONE 30/40/50 AH STERMAX",0,4,VENCEU," ",619.68,154.92
"ANEL DE VEDAÇÃO SILICONE 21 VT CINZA CRISTOFOLI",0,10,VENCEU," ",1067.6,106.76
"ANEL DE VEDAÇÃO SILICONE CLASS 21 AZUL CRISTOFOLI",0,10,VENCEU," ",1067.6,106.76
"ANEL INTEGRAL DO PISTAO COMPRESSOR S45/S55 SHUSTER",0,10,VENCEU," ",1663.4,166.34
"APLIC ODONTO 5000ML DABI ATLANTE",0,20,VENCEU," ",1737.8,86.89
"BASE C/ CAPA PARA RODIZIO CINZA MOCHO",0,3,VENCEU," ",473.7,157.9
"BOBINA DA VALV. SOLENOIDE 220V COMPRESSOR",0,3,VENCEU," ",289.29,96.43
"BOBINA SOLENOIDE THERMOVAL 24V  PROFI SCHUSTER /GNATUS",0,3,VENCEU," ",347.07,115.69
"BLOCO MONIFOLDER 220V THERMOVAL (AUTOCLAVE QUADRA 21)",0,2,VENCEU," ",1070.54,535.27
"BOMBA COMPLETA PERISTALTICA SL BP / JLS BP / JLS BP II LED S",0,2,VENCEU," ",242.3,121.15
"BRACO DE SELAGEM SELADORA PLUS CRISTOFOLI",0,5,VENCEU," ",531.3,106.26
"BUCHA DENTADA KAVO-GUIA TERMINAL BORDEN METAL",0,3,VENCEU," ",110.22,36.74
"CABECA ARO MRS-400 DABI ATLANTE",0,6,VENCEU," ",1132.08,188.68
"CABECA C.A KAVO ANTIGO [ROSQUEADA]",0,4,VENCEU," ",1298.92,324.73
"CABECA C/ REFRIGERACAO C.A. DENTSCLER",0,4,VENCEU," ",532.28,133.07
"CABEÇA COM TUBOS KAVO (605 ANT)",0,6,VENCEU," ",700.14,116.69
"CABECA DO CONTRA ANGULO DABI ATLANTE",0,5,VENCEU," ",764.65,152.93
"CABEÇA MONTADA 1:1 KAVO 505",0,4,VENCEU," ",1326.76,331.69
"CABECA E TUBOS SUPREMA MICRODENT",0,4,VENCEU," ",635.56,158.89
"CABO MANGA PLENA/ QUADRA 12/21 CRISTOFOLI",0,2,VENCEU," ",168.82,84.41
"CABO DO FOTO LD MAX GNATUS",0,1,VENCEU," ",139.03,139.03
"CABO MANGA 2 VIAS 250 VAC 3 A TIPO FASTON FEMEA 2P 65 CM  CO",0,1,VENCEU," ",83.42,83.42
"CAMISA DO CILINDRO (ALT. 47,5 X DIAM. INT 63,7)",0,2,VENCEU," ",200.6,100.3
"CANETA COMPLETA ULTRASSOM JLS/JLS BP /JLS BPII SCHUSTER",0,2,VENCEU," ",1884.86,942.43
"CANETA ULTRASOM DABI (PROF NEO/CLASS/SONIC DOU/ JET SONIC)",0,1,VENCEU," ",873.9,873.9
"CANETA ULTRASSOM GNATUS JET SONIC",0,1,VENCEU," ",958.32,958.32
"CANETA ULTRASSON ALT",0,1,VENCEU," ",958.32,958.32
"CANETA JATO DE BICARBONATO GNATUS",0,1,VENCEU," ",334.67,334.67
"CANETA JATO DE PO (2007) DABI",0,2,VENCEU," ",707.06,353.53
"CAPA ACABAMENTO CANETA ULTRASSOM PROFI SCHUSTER",0,2,VENCEU," ",129.1,64.55
"CAPA DA VALVULA STERMAX",0,5,VENCEU," ",43.45,8.69
"CAPA EXTERNA CANETA ULTRA SOM DABI",0,2,VENCEU," ",84.42,42.21
"CAPA PEDAL CAD. SYNCRUS C/ LED GNATUS",0,2,VENCEU," ",94.34,47.17
"CARENAGEM BASE BIPARTIDA SPRINT OLSEN",0,1,VENCEU," ",376.37,376.37
"CARENAGEM DIREITA DO ASSENTO SIENA OLSEN",0,1,VENCEU," ",268.13,268.13
"CARENAGEM ESQUERDA DO ASSENTO SIENA OLSEN",0,1,VENCEU," ",119.17,119.17
"CARENAGEM INFERIOR BANDEJA SIENA OLSEN",0,1,VENCEU," ",250.25,250.25
"CARENAGEM SUPERIROR DA BANDEJA OLSEN",0,1,VENCEU," ",162.86,162.86
"CARENAGEM TRASEIRA PANTOGRAFO SIENA OLSEN",0,1,VENCEU," ",120.16,120.16
"CASSETE BOMBA PERISTALTICA 35ML SAEVO",0,3,VENCEU," ",226.41,75.47
"CHICOTE ATUADOR ASSENTO CAD SYNCRUS GNATUS",0,2,VENCEU," ",131.08,65.54
"CHICOTE ATUADOR ENCOSTO CAD SYNCRUS BRL 4.12 GNATUS",0,2,VENCEU," ",97.32,48.66
"CHICOTE PARCIAL CANETA ULTRASSOM JLS/JLS BP/JLS II CABO SCHU",0,2,VENCEU," ",186.7,93.35
"CIRCUITO ELETRONICO DE POTENCIA VCA",0,1,VENCEU," ",843.12,843.12
"CIRCUITO ELETRONICO DE POTENCIA VCF - CLASS",0,2,VENCEU," ",1146,573
"CIRCUITO PAINEL IHM VCF CLASS",0,1,VENCEU," ",278.06,278.06
"CIRCUITO POTENCIA PLENA BIV (QUADRA 21) CRISTÓFOLI",0,2,VENCEU," ",1149.98,574.99
"CJ. DO SENSOR PT 100 BULBO LISO (AHMC5)",0,2,VENCEU," ",264.16,132.08
"CJ. EIXO PINÇA COM ROTOR DABI MRS PB",0,5,VENCEU," ",859,171.8
"CJ. EIXO PINÇA COM ROTOR KAVO 605 PB",0,5,VENCEU," ",863.95,172.79
"CJ. EIXO PRINCIPAL CONTRA ANGULO DABI",0,5,VENCEU," ",819.3,163.86
"CJ. FECHO DO MANIPULO STERMAX",0,4,VENCEU," ",460.8,115.2
"CJ. HIDRAULICO 220V AUTOCLAVE AHMC5 SERCON",0,2,VENCEU," ",754.74,377.37
"COLUNA GAS 200MM C9241 PRETO SAEVO",0,3,VENCEU," ",458.79,152.93
"CONECTOR FCL C/ CAPACITOR SOLDADO CRISTOFOLI",0,5,VENCEU," ",148.95,29.79
"CONJUNTO DE MANIPULO TRAPEZOIDAL STERMAX - TR 14",0,4,VENCEU," ",564.08,141.02
"CONTROLADOR DIGITAL INV. 32107 (40L) STERMAX",0,1,VENCEU," ",665.36,665.36
"COPO DA VALVULA DE ESCAPE STERMAX",0,5,VENCEU," ",223.45,44.69
"COPO FILTRO DE AR JET SONIC GNATUS",0,2,VENCEU," ",141.02,70.51
"CORPO FILTRO SUCTOR GNATUS",0,5,VENCEU," ",116.7,23.34
"CORPO INFERIOR FOTO LD MAX GNATUS",0,2,VENCEU," ",74.48,37.24
"CORPO SUPERIOR FOTO LD MAX GNATUS",0,2,VENCEU," ",74.48,37.24
"COTOVELO INTEGRAL SAIDA AR MOTOR S45/S50/S60 SCHUSTER",0,2,VENCEU," ",41.7,20.85
