descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Gandola tecido Rip",0,30,PERDEU," ",4262.4,142.08
"THI SHIRT tecido dry fitt",0,30,PERDEU," ",4160.7,138.69
"Jaqueta tecido Corta Vento",0,30,PERDEU," ",4270.2,142.34
"Camisa gola degote V manga curta",0,100,PERDEU," ",4003,40.03
"Camisa gola degote V manga longa",0,30,PERDEU," ",1536,51.2
"Colete com gola tecido corta",0,30,PERDEU," ",3948.3,131.61
"Jaqueta Napa",0,30,PERDEU," ",4533.6,151.12
"Suéter de Lã degote V",0,20,PERDEU," ",2359.8,117.99
"Calça brim Rip",0,50,PERDEU," ",5786,115.72
"Cinto Nylon",0,20,PERDEU," ",2663.4,133.17
BONE,0,50,PERDEU," ",1242,24.84
"MASCARA DE PROTECAO",0,50,PERDEU," ",334,6.68
"Camiseta gola degote V",0,15,PERDEU," ",600.45,40.03
