descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Blocos de Montar Gigante",4401569,28,NAO_COTOU,CX,0,0
"Blocos de Montar 1000 peças",4401570,30,PERDEU,UND,6600,220
"Conjunto de Dados para RPG",4401571,60,INABILITADO,UND,2940,49
"Desafios de Lógica",4401572,850,NAO_COTOU,UND,0,0
"Livro Mais 300 Sudoku-8 (Português).",4401573,850,INABILITADO,UND,24650,29
"Mosaico Geométrico",4401574,450,PERDEU,UND,9675,21.5
"Quadro de Vidro",4401575,1,NAO_COTOU,UND,0,0
"Pincel Para Quadro Branco WBMA",4401576,30,NAO_COTOU,KIT,0,0
"Refil para pincel WBMA",4401577,30,NAO_COTOU,UND,0,0
"Pilha Palito AAA",4401578,100,NAO_COTOU,CAR,0,0
"Revistas Passatempos Com Números",4401579,850,INABILITADO,UND,16150,19
"Resta 1. Jogo em madeira",4401580,420,VENCEU,UND,7135.8,16.99
Tangram,4401581,420,VENCEU,UND,7938,18.9
"Temporizador De Alta Velocida Para Cubo Magico",4401582,65,NAO_COTOU,UND,0,0
"Tetris De Madeira",4401583,450,VENCEU,UND,24187.5,53.75
