descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"TERMOMETRO CLINICO DIGITAL",1269124,44,300,ATIVO,UNIDADE,3948,13.16
"Otoscopio com iluminação halógena por Fibra Ótica",1269125,41,60,ATIVO,UNIDADE,40851.6,680.86
"Sonda uretral nº 14 descartável",1269126,40,30000,ATIVO,UNIDADE,15870,0.529
"Lanceta para coleta de sangue por punção digital",1269127,9,35000,ATIVO,UNIDADE,7000,0.2
"Seringa 60ml, sem agulha",1269128,37,3000,ATIVO,UNIDADE,6900,2.3
"Seringa 3ml, sem agulha",1269129,33,150000,ATIVO,UNIDADE,40500,0.27
"Luva Nitrilica não Estéril tamanho G cor azul.",1269130,24,250,ATIVO,CAIXA,23750,95
"Fio cirúrgico preto monofilamentar de poliamida no. 3,0",1269131,5,150,ATIVO,CAIXA,4290,28.6
"Eletrodo Para Monitorização Cardíaca c/ Gel - Adulto.",1269132,3,72000,ATIVO,UNIDADE,20880,0.29
"Cateter para oxigênio tipo óculos nº 12",1269133,2,3000,ATIVO,UNIDADE,2370,0.79
"Agulhas hipodérmicas 25 X 6 mm.",1269134,1,2200,ATIVO,CAIXA,29700,13.5
"Sonda nasal para alimentação enteral nº 12",1269136,38,600,ATIVO,UNIDADE,5382,8.97
"Esparadrapo Impermeável e Hipoalérgico, com capa, 5cmx4,5m",1269159,4,7500,ATIVO,UNIDADE,30450,4.06
