descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Grupo Focal Veicular Repetidor 3x200mm I a LED, padrão SEM",1301403,2,30,ATIVO,UNIDADE,57810,1927
"Grupo Focal Veicular Principal 3x200mm I a LED, padrão SEM",1301404,1,10,ATIVO,UNIDADE,24990,2499
"Módulo a LED veicular 200mm - Cor: Vermelho",1301405,4,130,ATIVO,UNIDADE,42640,328
"Suporte simples, abraçadeira diâmetro 101mm, em alumínio, na",1301406,11,35,ATIVO,UNIDADE,4760,136
"Módulo a LED veicular 200mm - Cor: Amarelo",1303474,5,100,ATIVO,UNIDADE,32800,328
"Botoeira para pedestre - tipo convencional",1305473,7,10,ATIVO,UNIDADE,4080,408
"Suporte basculante, abraçadeira diâmetro 101mm, em alumínio,",1307541,13,40,ATIVO,UNIDADE,7344,183.6
"Botoeira para pedestre - Tipo sonora, conforme resolução 704",1309557,8,60,ATIVO,UNIDADE,114060,1901
"Anteparo solar para grupo focal padrão SEMCO 3x200, em alumí",1311601,14,60,ATIVO,UNIDADE,23256,387.6
"Módulo a LED pedestre 200mm ou 200x200mm - Cor Verde",1315737,10,50,ATIVO,UNIDADE,29849.5,596.99
"Grupo Focal Pedestre 2x200mm a LED, padrão SEMCO, com cronôm",1317787,3,70,ATIVO,UNIDADE,129920,1856
"Cabo PP 3x1,5mm",1317788,16,1000,ATIVO,METRO,9380,9.38
"Módulo a LED veicular 200mm - Cor: Verde",1317789,6,130,ATIVO,UNIDADE,50830,391
"Suporte simples, abraçadeira diâmetro 114mm, em alumínio, na",1317790,12,35,ATIVO,UNIDADE,4910.5,140.3
"Cabo PP 2x1,5mm",1319815,17,1500,ATIVO,METRO,11925,7.95
"Módulo a LED pedestre 20mm ou 200x200mm - Cor Vermelho (C/ c",1319816,9,50,ATIVO,UNIDADE,28750,575
"Cabo PP 4x1,5mm",1319817,15,1500,ATIVO,METRO,14685,9.79
