descricao,idItem,numero,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"FERMENTO QUÍMICO, EM PÓ - NA CENTRAL",1301321,37,870,ATIVO,kg,13737.3,15.79
"LEITE INTEGRAL ZERO LACTOSE, EM PÓ - NA CENTRAL",1303388,65,689,ATIVO,kg,30722.51,44.59
"CREME VEGETAL, SEM LEITE - NA CENTRAL",1303390,23,4793,ATIVO,kg,75921.12,15.84
"LEITE SEMI DESNATADO ZERO LACTOSE , LÍQUIDO - NA CENTRAL",1305404,64,3608,ATIVO,UNIDADE,13854.72,3.84
"CAFÉ TORRADO MOÍDO, TRADICIONAL - NA CENTRAL",1305409,18,8952,ATIVO,kg,107424,12
"MACARRÃO DE SÊMOLA, FORMATO FUSILLI OU PARAFUSO - NA CENTRAL",1307462,39,13881,ATIVO,kg,52608.99,3.79
"AÇÚCAR REFINADO - NA CENTRAL",1309468,2,40041,ATIVO,kg,115318.08,2.88
"BISCOITO MARIA AVEIA E MEL - SEM LACTOSE - NA CENTRAL",1309469,3,5338,ATIVO,kg,66938.52,12.54
"BISCOITO MARIA INTEGRAL - SEM LACTOSE - NA CENTRAL",1309470,9,4823,ATIVO,kg,63181.3,13.1
"FARINHA DE TRIGO, INTEGRAL, 1 KG - NA CENTRAL",1313505,34,488,ATIVO,kg,1693.36,3.47
"CAFÉ TORRADO MOÍDO, TRADICIONAL - NA CENTRAL",1315657,17,2984,ATIVO,kg,35808,12
"AÇÚCAR REFINADO - NA CENTRAL",1319723,1,13346,ATIVO,kg,38436.48,2.88
"DOCE DE FRUTAS, SORTIDO - NA CENTRAL",1319725,25,5403,ATIVO,kg,40630.56,7.52
