descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"COMPUTADOR INTERMEDIÁRIO COMPLETO + TELA SECUNDÁRIA",8219790,287,NAO_COTOU,UND,0,0
"COMPUTADOR INTERMEDIÁRIO COMPLETO + TELA SECUNDÁRIA",9089875,13,NAO_COTOU,UND,0,0
"COMPUTADOR BÁSICO COMPLETO",8219791,581,NAO_COTOU,UND,0,0
"COMPUTADOR BÁSICO COMPLETO",9089876,19,NAO_COTOU,UND,0,0
Notebooks,8219792,15,NAO_COTOU,UNI,0,0
"TELEVISOR SMART 65""",8219793,23,PERDEU,UND,92437,4019
"TELEVISOR SMART 65""",9089997,7,PERDEU,UND,28133,4019
TABLET,8219794,473,NAO_COTOU,UND,0,0
TABLET,9089878,57,NAO_COTOU,UND,0,0
"MÁQUINA DE CORTE A LASER",8219795,28,NAO_COTOU,UNI,0,0
"MÁQUINA DE CORTE A LASER",9089880,5,NAO_COTOU,UNI,0,0
"IMPRESSORA 3D - ÁREA 300x300x340",8219796,2,NAO_COTOU,UNI,0,0
"IMPRESSORA 3D - ÁREA 200x200x250",8219797,15,NAO_COTOU,UND,0,0
"KIT ROBÓTICA EDUCACIONAL",8219798,12,NAO_COTOU,UND,0,0
"KIT ROBÓTICA EDUCACIONAL",9089881,3,NAO_COTOU,UND,0,0
"CABO HDMI 15 METROS",8219799,30,NAO_COTOU,UND,0,0
"MÁQUINA DE DATILOGRAFIA BRAILLE",8219800,1,NAO_COTOU,UND,0,0
"TECLADO BRAILLE",8219801,1,NAO_COTOU,UND,0,0
"IMPRESSORA BRAILLE",8219802,1,NAO_COTOU,UND,0,0
"LUPA ELETRÔNICA PORTÁTIL",8219803,1,NAO_COTOU,UND,0,0
"SSD INTERNO",8219804,50,NAO_COTOU,UND,0,0
"SUITE DE APLICAÇÕES DE PRODUTIVIDADE PARA ESCRITÓRIO",8219805,22,NAO_COTOU,UND,0,0
"SISTEMA OPERACIONAL",8219806,254,NAO_COTOU,UND,0,0
"SISTEMA OPERACIONAL",9089882,46,NAO_COTOU,UND,0,0
"SWITCH 24 PORTAS",8219807,98,NAO_COTOU,UND,0,0
"SWITCH 24 PORTAS",9089890,32,NAO_COTOU,UND,0,0
"SWITCH 48 PORTAS",8219808,49,NAO_COTOU,UNI,0,0
"SWITCH 48 PORTAS",9089874,16,NAO_COTOU,UNI,0,0
"ROTEADOR WIRELESS",8219809,98,NAO_COTOU,UN,0,0
"ROTEADOR WIRELESS",9089891,32,NAO_COTOU,UN,0,0
Nobreak,8219810,130,PERDEU,UND,72185.1,555.27
"ESTABILIZADOR DE TENSÃO",8219811,1,NAO_COTOU,UND,0,0
