descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"EFFA CAMINHONETE C. FECHADA V21 2017",9135780,1,DESCLASSIFICADO_LANCE,UND,2539.06,49
"FIAT/ ARGO 1.0 FLEX 2021",9135781,17,DESCLASSIFICADO_LANCE,UND,43164.02,49
"FIAT DOBLO (17 -20 ) ESSENCE 7L E 1.8 8V Flex 2017 - 2020",9135782,3,DESCLASSIFICADO_LANCE,UND,7617.18,49
"FIAT DOBLO (09 - 10) HLX 1.8 8V Flex 2010",9135783,1,DESCLASSIFICADO_LANCE,UND,2539.06,49
"FIAT DUCATO (06 -09) MULTI TETO ALTO 2.8 Turbo Diesel JTD 2009",9135784,1,PERDEU,UND,2539.06,63
"FIAT DUCATO (14 -21) VAN MINIBUS 2.3 Multijet Economy 16v 2014 – 2021",9135785,2,PERDEU,UND,5078.12,52
"FIAT FIORINO  (21) ENDURANCE FURGÃO 2021",9135786,1,DESCLASSIFICADO_LANCE,UND,2539.06,49
"FIAT MOBI EASY 1.0 FLEX 4P 2018",9135787,39,DESCLASSIFICADO_LANCE,UND,99023.34,49
"FIAT MOBI LIKE 1.0 FLEX 4P 2019 – 2020",9135788,2,DESCLASSIFICADO_LANCE,UND,5078.12,49
"FIAT PALIO FASE II 4P FIRE 1.0mpi Fire Flex 8v 2015",9135789,1,DESCLASSIFICADO_LANCE,UND,2539.06,49
"FIAT PALIO FASE III 4P ATTRACTIVE 1.0mpi Fire 8v Flex 2017",9135790,1,DESCLASSIFICADO_LANCE,UND,2539.06,49
"FIAT PALIO WEEK.(13 - ) ATTRACTIVE 1.4mpi 8V Flex 2015 – 2020",9135791,12,DESCLASSIFICADO_LANCE,UND,30468.72,49
"FIAT SIENA FASE IV EL 1.0 Fire 8V Flex 2014",9135792,2,DESCLASSIFICADO_LANCE,UND,5078.12,49
"FIAT SIENA 1.4 Fire 8V Flex 2021",9135793,2,DESCLASSIFICADO_LANCE,UND,5078.12,49
"FIAT STRADA HD WORKING CC E GASOLINA 2017",9135794,1,DESCLASSIFICADO_LANCE,UND,2539.06,49
"FIAT UNO (10 - ) 4P VIVACE 1.0 Evo Flex 2014",9135795,1,DESCLASSIFICADO_LANCE,UND,2539.06,49
"FORD KÁ SE 1.5 SD B 2018",9135796,1,DESCLASSIFICADO_LANCE,UND,2539.06,49
"GM MONTANA LS2 1.4 8V 2020",9135797,4,DESCLASSIFICADO_LANCE,UND,10156.24,49
"GM ONIX PLUS 10TMT LT1 2022",9135798,1,DESCLASSIFICADO_LANCE,UND,2539.06,49
"GM S-10 (09 - 11) CAB. DUPLA COLINA 2.8 Turbo Diesel 4x4 2009",9135799,1,DESCLASSIFICADO_LANCE,UND,2539.06,49
"GM S-10 RODEIO 2.8 D 4X4 DIESEL 2011",9135800,1,DESCLASSIFICADO_LANCE,UND,2539.06,49
"GM S-10 LT DD4 2015",9135801,1,DESCLASSIFICADO_LANCE,UND,2539.06,49
"GM S-10 LTZ FD4A 2020",9135802,1,DESCLASSIFICADO_LANCE,UND,2539.06,49
"GM SPIN 1.8L MT LTZ 8v Econo.Flex (2015-2019)",9135803,3,DESCLASSIFICADO_LANCE,UND,7617.18,49
"GM SPIN 1.8L AT PREMIER FLEX 2020 - 2022",9135804,3,DESCLASSIFICADO_LANCE,UND,7617.18,49
"GM SPIN 1.8L MT PREMIER FLEX 2021 – 2022",9135805,6,DESCLASSIFICADO_LANCE,UND,15234.36,49
"HYUNDAI HB20 S10 TA PLATIN 2022",9135806,1,DESCLASSIFICADO_LANCE,UND,2539.06,49
"HYUNDAI HB20 S10 TM PLATIN 2022",9135807,4,DESCLASSIFICADO_LANCE,UND,10156.24,49
"HYUNDAI HR HDB 2013 - 2020",9135808,8,PERDEU,UND,20312.48,62
"IVECO MIC.ONIB. VAN DAILY 55C16 TCA 2018",9135809,1,PERDEU,UND,2539.06,52
"IVECO CAMIN. FURGÃO DAILY 35s14 HDG FURGÃO 2018",9135810,1,VENCEU,UND,2539.06,62
"KIA BONGO K2500 LD 2009",9135811,1,PERDEU,UND,2539.06,52
"KIA BONGO UK2500 HD 2021",9135812,1,VENCEU,UND,2539.06,62
"M. BENZ 416 CDI SPRINTER FURGÃO 2021",9135813,2,VENCEU,UND,5078.12,61
"M. BENZ 415 EUROLAF AMB 2018",9135814,1,VENCEU,UND,2539.06,61
"M. BENZ 515 CDI SPRINTER TCA AMB 2019 – 2021",9135815,4,VENCEU,UN,10156.24,61
"M. BENZ 515 CDI SPRINTER MICROONIBUS 2019",9135816,1,VENCEU,UND,2539.06,61
"M. BENZ 515 CDI SPRINTER TCA AMB 2019",9135817,2,PERDEU,UND,5078.12,52
"M. BENZ 516 CDI SPRINTER MICROONIBUS 2021",9135818,1,PERDEU,UND,2539.06,52
"M. BENZ 415 CDI SPRINTER FURGÃO 2018",9135819,1,PERDEU,UND,2539.06,52
"M. BENZ 415 CDI SPRINTER MICROONIBUS 2019",9135820,1,PERDEU,UND,2539.06,52
"NISSAN FRONTIER SV ATTACK AT. 4x4 2.5 Turbo-Diesel 174cv 2015",9135821,1,DESCLASSIFICADO_LANCE,UND,2539.06,49
"PEUGEOT 207 HB ACTIVE 1.4 8v Flex 2015",9135822,1,DESCLASSIFICADO_LANCE,UND,2539.06,49
"PEUGEOT BOXER (02 - ) BOXER M350 LH  2.3 126cv TB Diesel 2015",9135823,3,VENCEU,UND,7617.18,61
"PEUGEOT BOXER BUSIN L3 2021",9135824,1,VENCEU,UND,2539.06,61
"PEUGEOT BOXER EUROLAF 2021",9135825,2,PERDEU,UND,5078.12,52
"PEUGEOT PARTNER 1.6 2021- 2022",9135826,4,DESCLASSIFICADO_LANCE,UND,10156.24,49
"RENAULT DUSTER 20 D 4X2A 2015",9135827,1,DESCLASSIFICADO_LANCE,UND,2539.06,49
"RENAULT MASTER ROTANAMB FURGÃO 2.5 16v Diesel 2016",9135828,2,VENCEU,UND,5078.12,61
"RENAULT MASTER EURO AMB FURGÃO 2017",9135829,1,VENCEU,UND,2539.06,61
"RENAULT MASTER FURGÃO L2H2 2.5 16V DIESEL 2020",9135830,2,VENCEU,UND,5078.12,61
"TOYOTA COROLLA XEI 2.0 FLEX (2018 - 2022)",9135831,2,DESCLASSIFICADO_LANCE,UND,5078.12,49
"VW FOX CONNECT MB 2021",9135832,1,DESCLASSIFICADO_LANCE,UND,2539.06,49
"VW GOL 1.6L MB5 4P (2019 - 2020)",9135833,8,DESCLASSIFICADO_LANCE,UND,20312.48,49
"VW GOL IV Geração G4 1.0 4P 1.0 Mi AT FLEX 68/71cv 2011",9135834,1,DESCLASSIFICADO_LANCE,UND,2539.06,49
"VW GOL TRENDLINE 1.6 8V FLEX 2017-2018",9135835,4,DESCLASSIFICADO_LANCE,UND,10156.24,49
