descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Agendamento de odontologia",7273650,10000,VENCEU,UNI,600,0.06
"Atestado Médico",7273651,1000,PERDEU,BLC,2650,2.65
"Atestado Médico para Gestantes",7273652,100,VENCEU,BLC,355.5,3.555
"Auto para coleta de água para consumo humano- 2 vias autocop",7273653,50,PERDEU,BLC,595.5,11.91
"Auto de intimação vigilancia sanitaria",7273654,70,VENCEU,BLCO,919.8,13.14
"AUTORIZAÇÃO PARA TRATAMENTO DENTÁRIO",7273655,120,PERDEU,BLC,414.72,3.456
"Bacteriologia da tuberculose .",7273656,30,PERDEU,BLC,150,5
"BOLETIM DE ATENDIMENTO MEDICO",7273657,500,PERDEU,BLC,1475,2.95
"Boletim de Campo FAD RG 01",7273658,800,PERDEU,BLCO,2360,2.95
"Boletim de Campo FAD RG 02",7273659,400,DESCLASSIFICADO_LANCE,BLCO,2360,5.9
"BPA individualiazado 2 vias autocopiativo",7273660,30,PERDEU,BLC,375,12.5
"Condição Sócio Econômica- CAPS II",7273661,10,PERDEU,BLC,150,15
"Consentimento informado - 2 vias autocopiativo",7273662,35,PERDEU,BLC,402.5,11.5
"Controle de TOD",7273663,100,PERDEU,BLCO,360,3.6
"Cuidados para vasectomia- 23x16 cm 2 vias autocopiativo",7273664,40,PERDEU,BLC,318,7.95
"Dados do atendimento do paciente- RAAS CAPS II",7273665,40,PERDEU,BLC,200,5
"Dados do atendimento do paciente- RAAS CAPS III",7273666,40,PERDEU,BLC,200,5
"Declaração de Comparecimento",7273667,500,PERDEU,BLC,1323,2.646
"DOTS- Planilha Acompanhamento de Tratamento",7273668,7,PERDEU,BLC,140,20
"Estudo sócio-econômica CAPS II ad-",7273669,10,PERDEU,BLC,140,14
"Etique laboratório Dengue (picotado)",7273670,10,PERDEU,BLC,140,14
"Ficha clínica odontológica.",7273671,250,PERDEU,BLC,937.5,3.75
"Ficha clínica Tuberculose",7273672,10,PERDEU,BLC,140,14
"Ficha Controle de Atendimento frente e verso",7273673,20000,PERDEU,UNI,1000,0.05
"Ficha de acolhimento CAPS II ad 4 páginas",7273674,40,PERDEU,BLC,560,14
"Ficha de acolhimento CAPS II.",7273675,40,PERDEU,BLC,220,5.5
"Ficha de acolhimento CAPS III",7273676,40,PERDEU,BLC,220,5.5
"Ficha de atendimento SAMU .",7273677,400,PERDEU,BLC,3480,8.7
"Ficha de cadastro individual e-sus frente e verso",7273678,300,PERDEU,BLC,1050,3.5
"ficha de Observação do animal agressor",7273679,20,PERDEU,BLCO,161.82,8.091
"Ficha de Procedimento e-sus- frente e verso",7273680,50,PERDEU,BLC,240,4.8
"Ficha de Visita Domiciliar E-SUS",7273681,100,PERDEU,BLC,400,4
"Ficha individual: de notificação de laqueadura tubária e vas",7273682,100,PERDEU,BLC,1000,10
"Ficha nominal- Programa Tuberculose- (papel offset 180gr)",7273683,300,PERDEU,UN,120,0.4
"Fluxo e contra-fluxo",7273684,300,PERDEU,BLC,900,3
"Memorando interno.",7273685,250,PERDEU,BLC,1375,5.5
"Monitoramento das doenças Diarreicas Agudas- distribuição de",7273686,20,PERDEU,BLCO,200,10
"Monitoramento das doenças Diarreicas Agudas-",7273687,20,PERDEU,BLCO,200,10
"Orientações CAPS III-30x21cm - 1x1",7273688,40,PERDEU,BLCO,240,6
"Planilha de visitas domiciliares- CAPS II",7273689,10,PERDEU,BLC,130,13
"Plano Terapêutico singular CAPS II ad- 30x21cm",7273690,20,PERDEU,BLCO,189.6,9.48
"Prescrição de Óculos",7273691,20,PERDEU,BLC,180,9
"Programa de Combate a Tuberculose.",7273692,15,PERDEU,BLC,195,13
