descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Abacate: de 1ª qualidade,",8163578,60,PERDEU,KG,418.8,6.98
"Abacaxi espinho",8163579,200,PERDEU,UNI,1392,6.96
ACELGA,8163582,100,PERDEU,UND,585,5.85
"Abobrinha verde",8163585,200,PERDEU,KG,1008,5.04
"Açucar Mascavo 1Kg",8163588,50,PERDEU,PCT,733.5,14.67
AGRIÃO,8163591,100,PERDEU,UND,509,5.09
"Aipim: Mandioca limpa, descascada e congelada. Deve apresent",8163596,200,PERDEU,KG,1288,6.44
"ALFACE AMERICANA",8163598,400,PERDEU,UND,1872,4.68
"Alface crespa",8163602,600,PERDEU,UND,1884,3.14
"Alho: selecionado classe 4. Deve apresentar características",8163604,350,PERDEU,UN,2551.5,7.29
"Ameixa fresca nacional",8163607,150,PERDEU,KG,1558.5,10.39
"Amendoim descascado: grãos selecionados de boa coloração, li",8163611,70,PERDEU,UN,352.1,5.03
"Banana Branca: Classificada. Deve apresentar características",8163613,1000,PERDEU,KG,4660,4.66
"Batata doce: Produto selecionado de 1ª qualidade, classe méd",8163615,150,PERDEU,KG,463.5,3.09
"Batata Inglesa.",8163618,500,PERDEU,KG,2040,4.08
BERINJELA,8163621,50,PERDEU,KG,306.5,6.13
BETERRABA,8163624,250,PERDEU,KG,1487.5,5.95
BRÓCOLIS,8163626,300,PERDEU,KG,2259,7.53
"CANJICA MILHO BRANCA",8163629,50,PERDEU,UND,441.5,8.83
"Caqui de 1º qualidade",8163632,200,PERDEU,kg,1232,6.16
"Cebola de  Cabeça",8163635,600,PERDEU,KG,2424,4.04
"Cenoura sem folhas: Cenoura de 1ª qualidade, classe média Ti",8163638,400,PERDEU,KG,3652,9.13
CHICORIA,8163641,100,PERDEU,KG,343,3.43
Chuchu,8163643,300,PERDEU,KG,1368,4.56
"Couve chinesa",8163646,100,PERDEU,UNI,531,5.31
"Couve flor",8163648,300,PERDEU,KG,1887,6.29
"Couve folha: (couve manteiga) Deve apresentar folhas bem def",8163651,400,PERDEU,UN,1344,3.36
"Espinafre: Deve apresentar folhas bem definidas, de cor verd",8163654,50,PERDEU,UN,195.5,3.91
"Farinha de mandioca.",8163656,200,PERDEU,KG,1014,5.07
"Farinha de milho.",8163659,200,PERDEU,KG,946,4.73
"Feijão branco tipo I",8163662,50,PERDEU,UN,429,8.58
"Feijão Vermelho: tipo 2",8163665,600,PERDEU,KG,6108,10.18
GOIABA,8163667,100,PERDEU,KG,799,7.99
"Grão de bico",8163671,70,PERDEU,UN,825.3,11.79
Hortelã,8163673,50,PERDEU,MÇO,184,3.68
"Laranja  Pêra",8163675,700,PERDEU,KG,2331,3.33
Lentilha,8163679,70,PERDEU,UN,711.2,10.16
LIMÃO,8163681,100,VENCEU,KG,349,3.49
"Maçã Vermelha",8163683,600,PERDEU,KG,4116,6.86
"Tempeiro Manjericão",8163687,30,PERDEU,UNI,150.9,5.03
MANGA,8163689,200,PERDEU,KG,1092,5.46
"Mamão comum",8163692,300,PERDEU,KG,2364,7.88
MARACUJA.,8163694,50,PERDEU,KG,483,9.66
MELANCIA,8163698,250,PERDEU,KG,852.5,3.41
MELAO,8163700,200,PERDEU,KG,1706,8.53
"Milho de Pipoca",8163703,150,PERDEU,UNI,819,5.46
"MILHO VERDE  - in natura",8163707,100,PERDEU,KG,739,7.39
"Moranga preta",8163709,200,PERDEU,KG,696,3.48
"MORANGO IN NATURA",8163712,300,PERDEU,BDJA,2409,8.03
"OVOS  DE GALINHA",8163715,600,PERDEU,DZ,5382,8.97
PEPINO,8163718,200,PERDEU,KG,890,4.45
"Pera 01 Qualidade",8163720,200,PERDEU,KG,1492,7.46
PESSEGO,8163723,200,PERDEU,KG,1958,9.79
PIMENTAO,8163726,200,PERDEU,KG,1426,7.13
PINHAO,8163728,100,PERDEU,KG,1245,12.45
"Polpa de frutas natural congelada",8163732,600,PERDEU,UN,1794,2.99
Ponkan,8163735,400,PERDEU,KG,1856,4.64
RADICHE,8163738,100,PERDEU,UND,338,3.38
"REPOLHO ROXO",8163740,100,PERDEU,KG,643,6.43
"REPOLHO VERDE.",8163744,150,PERDEU,UND,1044,6.96
RUCULA,8163746,150,PERDEU,UND,661.5,4.41
"TEMPERO VERDE;",8163748,400,PERDEU,MLHO,1412,3.53
"Tomate Salada",8163752,500,PERDEU,KG,4480,8.96
"Uva: tipo rubi, cachos bem formados",8163755,300,PERDEU,KG,3228,10.76
VAGEM,8163757,200,PERDEU,KG,2728,13.64
"Bebida Láctea com iogurte e polpa de frutas",8163761,500,PERDEU,L,3230,6.46
"APRESUNTADO FATIADO",8163763,250,VENCEU,KG,7875,31.5
"Bacon defumado em pedaços",8163764,50,VENCEU,KG,2160,43.2
"Carne bovina: Acém resfriado",8163766,300,VENCEU,KG,10650,35.5
"Carne bovina: Bucho bovino",8163767,200,VENCEU,KG,6700,33.5
"Carne bovina: Coxão de fora resfriado (coxão duro)",8163768,300,VENCEU,KG,10950,36.5
"Carne bovina de coxão mole",8163770,400,VENCEU,KG,17400,43.5
"Carne bovina: Fraldinha resfriada",8163771,400,VENCEU,KG,15600,39
"Carne bovina: Fígado",8163772,200,VENCEU,KG,6220,31.1
"Carne bovina: Moída",8163774,400,VENCEU,KG,13800,34.5
"Carne bovina: músculo",8163775,100,VENCEU,KG,3400,34
"Carne bovina: Tatu",8163777,200,VENCEU,KG,7500,37.5
"Carne de frango congelada: Coxa e sobrecoxa com osso e com p",8163778,400,VENCEU,KG,6600,16.5
"Carne de frango congelada: Filé de peito (sassami)",8163779,400,VENCEU,KG,7120,17.8
"Carne de frango congelada: Galinha caipira",8163781,300,VENCEU,KG,5040,16.8
"Carne de frango congelada: Moela - Congelada",8163782,200,VENCEU,KG,3300,16.5
"Carne de frango congelada: Peito com osso",8163784,200,VENCEU,KG,3900,19.5
"Carne suína congelada: Costela",8163785,300,VENCEU,KG,7650,25.5
"Carne suína congelada: Lombo médio sem osso",8163786,300,VENCEU,KG,7125,23.75
