descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"50 H37L 6 173 MOTOR CORD (CABO)",6866693,2,VENCEU," ",212.81,106.405
"53 H37L 1 153 ARMATURE ASSY - LT (INDUZIDO)",6866693,2,VENCEU," ",287.01,143.505
"54 SH37LN 6 173 MOTOR CORD",6866693,2,VENCEU," ",213.81,106.905
"ABAFADOR EXTERNO KAVO*",6866693,5,VENCEU," ",91.5,18.3
"ABRAÇADEIRA DE CUPILHA 5 X 13",6866693,50,VENCEU," ",383.51,7.6702
"AC ELETRICO P/ TORNEIRA HIGIPRATIC 220V",6866693,6,VENCEU," ",1157.44,192.9068
"ACABAMENTO DO SUP. DA RESIST. SELADORA PLUS",6866693,3,VENCEU," ",129.1,43.0333
"ACION. ELÉTRICO DO SUP. DE PONTAS P/ BOMBA VACUO",6866693,20,VENCEU," ",1810.47,90.5236
"ANEL DE VEDAÇÃO SILICONE CLASS 21 AZUL CRISTOFOLI",6866693,8,VENCEU," ",878.43,109.8039
"ANEL DO PISTÃO ( INT.49MM XLARG 9MM ) COMPRESSOR",6866693,8,VENCEU," ",933.84,116.7301
"ANEL DO PISTÃO INT.48MM X LARG 1,03MM DO COMPRESSO",6866693,8,VENCEU," ",1005.24,125.6551
"ANEL INTEGRAL PISTAO S45/S55",6866693,8,VENCEU," ",1385.05,173.1313
"ANEL ORING DO ROLAMENTO CANETA KAVO",6866693,40,VENCEU," ",118.8,2.97
"ANEL PARA COMPRESSOR SCHULZ",6866693,8,VENCEU," ",387.81,48.4762
"ANEL DE VEDAÇÃO DE SILICONE DESTILADORA GNATUS",6866693,3,VENCEU," ",279.01,93.0033
"ANEL DE VEDACAO 21L SAEVO/GNATUS AZUL",6866693,2,VENCEU," ",261.21,130.605
"ANEL  DE VEDAÇÃO SILICONE 21L AZUL  VT CRISTOFOLI",6866693,4,VENCEU," ",467.02,116.755
"ANEL DE VEDAÇÃO SILICONE VT21/PLENA 70A75 SHORE",6866693,6,VENCEU," ",700.43,116.7383
"APOIO TERMINAL ARO/JATO/SUG. VENTURI CINZA",6866693,10,VENCEU," ",277.01,27.701
"APOIO TERMINAL SERINGA / FOTO CINZA",6866693,5,VENCEU," ",101.5,20.3
"ANEL DE VEDAÇÃO (GUARNIÇÃO) DE SILICONE 30/40/50 AH CINZA",6866693,4,VENCEU," ",744.03,186.0076
"ANEL DE VEDAÇÃO / GUARNIÇÃO DE SILICONE AHMC5 SERCON",6866693,8,VENCEU," ",1472.06,184.0076
"SERINGA TRIPLICE IMPORTADA OLSEN",6866693,4,VENCEU," ",779.63,194.9076
"TERMINAL BORDEN DABI/OLSEN",6866693,8,VENCEU," ",1084.24,135.5301
"TERMOSTATO CERAMICO",6866693,8,VENCEU," ",1076.44,134.5551
"TERMOSTATO LAMINADO CRISTOFOLI",6866693,6,VENCEU," ",564.02,94.0033
"ANEL DE VEDAÇÃO DA PORTA ALT",6866693,2,VENCEU," ",257.21,128.605
"ANEL DE VEDAÇÃO SILICONE VITALE CLASS CD 54L",6866693,2,VENCEU," ",277.01,138.505
"TERMINAL TRIPLO BORDEN (LUVA REG) GN32 GNATUS",6866693,10,VENCEU," ",1345.45,134.5451
"TERMOSTATO CERAMICO 250°C NF -250V/16A",6866693,6,VENCEU," ",813.23,135.5384
"BASE C/ CAPA PARA RODIZIO CINZA MOCHO",6866693,5,VENCEU," ",791.43,158.2861
"BIELA PARA SCHULZ E PRESSURE",6866693,6,VENCEU," ",457.22,76.2033
"BLOCO MONIFOLDER 220V THERMOVAL",6866693,2,VENCEU," ",1068.44,534.2201
"BLOCO VALVULA SOLENOIDE NF BIVOLT STERMAX",6866693,4,VENCEU," ",1503.66,375.9151
"BOBINA BB024DS 24 VCC 7W DANFOSS",6866693,4,VENCEU," ",712.43,178.1075
"BOBINA DA VALV. SOL. (RETANGULAR) 220V COMPRESSOR",6866693,4,VENCEU," ",217.81,54.4525
"BOBINA SOLDADA 220V 50/60HZ  DANFOSS CRISTOFOLI",6866693,4,VENCEU," ",902.23,225.5576
"BOBINA SOLENOIDE SERCON 220V X 8W",6866693,4,VENCEU," ",403.62,100.905
"BOBINA SOLENOIDE THERMOVAL 24V 8W  PROFI SCHUSTER/GNATUS/SAEVO",6866693,4,VENCEU," ",846.83,211.7076
"BOMBA COMPLETA PERISTALTICA SCHUSTER",6866693,4,VENCEU," ",510.62,127.655
"BORRACHA ADAPTADOR CANULA SUGADOR SALIVA",6866693,10,VENCEU," ",148.41,14.841
"BORRACHA DE VEDACAO PEDAL PROGRESSIVO GNATUS",6866693,5,VENCEU," ",15,3
"BOTAO AGUA  SERINGA OLSEN",6866693,5,VENCEU," ",198.01,39.602
"BOTAO DO REFLETOR SIENA OLSEN",6866693,5,VENCEU," ",59.4,11.88
"BRACO DE SELAGEM SELADORA PLUS",6866693,5,VENCEU," ",707.43,141.486
"BUCHA FIXAÇÃO CANETA JATO DE PO",6866693,2,VENCEU," ",99,49.5
"BUCHA ROSCADA TRAPEZOIDAL AHA/AHD STERMAX",6866693,2,VENCEU," ",73.2,36.6
"BUCHA TRASEIRA MM DABI",6866693,4,VENCEU," ",130.6,32.65
"CABECA ARO MRS-400 DABI ATLANTE",6866693,5,VENCEU," ",949.84,189.9681
"CABECA C.A KAVO ANTIGO [ROSQUEADA]",6866693,5,VENCEU," ",1810.47,362.0941
"CABECA C/ REFRIGERACAO C.A. DENTSCLER",6866693,5,VENCEU," ",692.63,138.526
"CABEÇA COM TUBOS KAVO (605 ANT)",6866693,5,VENCEU," ",618.42,123.684
"CABECA DO CONTRA ANGULO DABI ATLANTE",6866693,5,VENCEU," ",766.83,153.3661
"CABECA E TUBOS CANETA SUPREMA MICRODENT",6866693,5,VENCEU," ",816.23,163.2461
"CABEÇA MONTADA 1:1 KAVO 505",6866693,5,VENCEU," ",1632.26,326.4521
"CABO ALIMENTACAO  10 A  3 PINOS / CONECTOR FCL",6866693,4,VENCEU," ",221.61,55.4025
